,Version,Success,Description
0,1.10.10,Y,
1,1.10.11,Y,
2,1.10.12,Y,
3,1.10.4,Y,
4,1.10.5,Y,
5,1.10.6,Y,
6,1.10.7,Y,
7,1.10.8,Y,
8,1.10.9,Y,
9,1.11.0,Y,
10,1.11.1,Y,
11,1.11.10,Y,
12,1.11.11,Y,
13,1.11.12,Y,
14,1.11.13,Y,
15,1.11.14,Y,
16,1.11.15,Y,
17,1.11.2,Y,
18,1.11.3,Y,
19,1.11.4,Y,
20,1.11.5,Y,
21,1.11.6,Y,
22,1.11.7,Y,
23,1.11.8,Y,
24,1.11.9,Y,
25,1.12.0,Y,
26,1.12.1,Y,
27,1.12.10,Y,
28,1.12.11,Y,
29,1.12.12,Y,
30,1.12.13,Y,
31,1.12.14,Y,
32,1.12.15,Y,
33,1.12.16,Y,
34,1.12.17,Y,
35,1.12.18,Y,
36,1.12.19,Y,
37,1.12.2,Y,
38,1.12.20,Y,
39,1.12.21,Y,
40,1.12.22,Y,
41,1.12.23,Y,
42,1.12.24,Y,
43,1.12.25,Y,
44,1.12.26,Y,
45,1.12.3,Y,
46,1.12.4,Y,
47,1.12.5,Y,
48,1.12.6,Y,
49,1.12.7,Y,
50,1.12.8,Y,
51,1.12.9,Y,
52,1.13.0,Y,
53,1.13.1,Y,
54,1.13.10,Y,
55,1.13.11,Y,
56,1.13.12,Y,
57,1.13.13,Y,
58,1.13.2,Y,
59,1.13.3,Y,
60,1.13.4,Y,
61,1.13.5,Y,
62,1.13.6,Y,
63,1.13.7,Y,
64,1.13.8,Y,
65,1.13.9,Y,
66,1.14.0,Y,
67,1.14.1,Y,
68,1.14.10,Y,
69,1.14.11,Y,
70,1.14.12,Y,
71,1.14.13,Y,
72,1.14.14,Y,
73,1.14.15,Y,
74,1.14.16,Y,
75,1.14.17,Y,
76,1.14.2,Y,
77,1.14.3,Y,
78,1.14.4,Y,
79,1.14.5,Y,
80,1.14.6,Y,
81,1.14.7,Y,
82,1.14.8,Y,
83,1.14.9,Y,
84,1.15.0,Y,
85,2.0.0,Y,
86,2.0.1,Y,
87,2.0.2,Y,
88,2.0.3,Y,
89,2.0.4,Y,
90,2.1.0,Y,
91,2.10.0,Y,
92,2.10.1,Y,
93,2.11.0,Y,
94,2.11.1,Y,
95,2.11.2,Y,
96,2.11.3,Y,
97,2.11.4,Y,
98,2.12.0,Y,
99,2.12.1,Y,
100,2.12.2,Y,
101,2.12.3,Y,
102,2.12.4,Y,
103,2.12.5,Y,
104,2.12.6,Y,
105,2.13.0,Y,
106,2.13.1,Y,
107,2.13.2,Y,
108,2.13.3,Y,
109,2.13.4,Y,
110,2.13.5,Y,
111,2.13.6,Y,
112,2.13.7,Y,
113,2.2.0,Y,
114,2.3.0,Y,
115,2.3.1,Y,
116,2.3.2,Y,
117,2.4.0,Y,
118,2.4.1,Y,
119,2.4.10,Y,
120,2.4.2,Y,
121,2.4.3,Y,
122,2.4.4,Y,
123,2.4.5,Y,
124,2.4.6,Y,
125,2.4.7,Y,
126,2.4.8,Y,
127,2.4.9,Y,
128,2.5.0,Y,
129,2.6.0,Y,
130,2.6.1,Y,
131,2.6.2,Y,
132,2.6.3,Y,
133,2.7.0,Y,
134,2.7.1,Y,
135,2.7.2,Y,
136,2.7.3,Y,
137,2.7.4,Y,
138,2.8.0,Y,
139,2.8.1,Y,
140,2.8.2,Y,
141,2.9.0,Y,
142,2.9.1,Y,
143,2.9.2,Y,
144,2.9.3,Y,
145,2.9.4,Y,
146,3.0.0,Y,
147,3.0.1,Y,
148,3.0.10,Y,
149,3.0.11,Y,
150,3.0.12,Y,
151,3.0.13,Y,
152,3.0.14,Y,
153,3.0.15,Y,
154,3.0.16,Y,
155,3.0.2,Y,
156,3.0.3,Y,
157,3.0.4,Y,
158,3.0.5,Y,
159,3.0.6,Y,
160,3.0.7,Y,
161,3.0.8,Y,
162,3.0.9,Y,
163,3.1.0,Y,
164,3.1.1,Y,
165,3.2.0,Y,
166,3.2.1,Y,
167,3.3.0,Y,
168,3.3.1,Y,
169,3.3.10,Y,
170,3.3.11,Y,
171,3.3.12,Y,
172,3.3.2,Y,
173,3.3.3,Y,
174,3.3.4,Y,
175,3.3.5,Y,
176,3.3.7,Y,
177,3.3.9,Y,
178,3.4.0,Y,
179,3.4.1,Y,
180,3.5.0,Y,
181,3.5.1,Y,
182,3.5.2,Y,
183,3.5.3,Y,
184,3.6.0,Y,
185,3.6.1,Y,
186,3.6.2,Y,
187,3.6.3,Y,
188,3.6.4,Y,
189,3.6.5,Y,
