,Version,Success,Description
0,1.0.6,N,Library loading error.
1,1.0.7,N,Library loading error.
2,2.0.0,N,Library loading error.
3,2.0.1,N,Library loading error.
4,2.0.2,N,Library loading error.
5,2.0.3,N,Library loading error.
6,2.0.4,N,Library loading error.
7,2.0.5,N,Library loading error.
8,2.0.6,N,Library loading error.
9,2.0.7,N,Library loading error.
10,2.0.8,N,Library loading error.
11,2.0.9,N,Library loading error.
12,2.1.0,N,Library loading error.
13,3.0.0,Y,
14,3.0.1,Y,
15,3.0.2,Y,
16,3.0.3,Y,
17,3.0.4,Y,
18,3.1.0,Y,
19,3.2.0,Y,
20,3.2.1,Y,
21,3.2.2,Y,
22,3.2.3,Y,
23,3.2.4,Y,
24,3.2.5,Y,
25,3.2.6,Y,
26,3.2.7,Y,
27,3.3.0,Y,
28,3.4.0,Y,
29,3.4.1,Y,
30,3.5.0,Y,
31,3.5.1,Y,
32,3.5.2,Y,
33,3.6.0,N,Library loading error.
