,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.10.0,Y,
3,0.10.0-alpha,Y,
4,0.10.0-beta,Y,
5,0.10.0-rc,Y,
6,0.10.0-rc.1,Y,
7,0.10.1,Y,
8,0.10.2,Y,
9,0.11.0,Y,
10,0.11.1,Y,
11,0.12.0,Y,
12,0.13.0,Y,
13,0.13.1,Y,
14,0.13.10,Y,
15,0.13.11,Y,
16,0.13.12,Y,
17,0.13.13,Y,
18,0.13.14,Y,
19,0.13.16,Y,
20,0.13.17,Y,
21,0.13.18,Y,
22,0.13.19,Y,
23,0.13.2,Y,
24,0.13.20,Y,
25,0.13.21,Y,
26,0.13.22,Y,
27,0.13.23,Y,
28,0.13.24,Y,
29,0.13.3,Y,
30,0.13.4,Y,
31,0.13.5,Y,
32,0.13.6,Y,
33,0.13.7,Y,
34,0.13.8,Y,
35,0.13.9,Y,
36,0.14.0,Y,
37,0.14.1,Y,
38,0.15.0,Y,
39,0.15.1,Y,
40,0.15.2,Y,
41,0.15.3,Y,
42,0.15.4,Y,
43,0.15.5,Y,
44,0.15.6,Y,
45,0.16.0,Y,
46,0.16.1,Y,
47,0.16.2,Y,
48,0.16.3,Y,
49,0.16.4,Y,
50,0.16.5,Y,
51,0.16.6,Y,
52,0.16.7,Y,
53,0.16.8,Y,
54,0.16.9,Y,
55,0.2.0,Y,
56,0.3.0,Y,
57,0.4.0,Y,
58,0.4.3,Y,
59,0.5.0,Y,
60,0.5.1,Y,
61,0.6.0,Y,
62,0.7.0,Y,
63,0.7.1,Y,
64,0.8.0,Y,
65,0.8.1,Y,
66,0.8.2,Y,
67,0.8.3,Y,
68,0.9.0,Y,
69,0.9.0-alpha,Y,
70,0.9.0-alpha1,Y,
71,0.9.0-alpha2,Y,
72,0.9.0-beta,Y,
73,0.9.0-beta1,Y,
