,Version,Success,Description
0,3.0.0,Y,
1,3.0.1,Y,
2,3.1.0,Y,
3,3.1.1,Y,
4,3.1.2,Y,
5,3.1.3,Y,
6,3.1.4,Y,
7,4.0.0,Y,
8,4.0.1,Y,
9,4.0.2,Y,
10,4.0.3,Y,
11,4.0.4,Y,
12,4.0.5,Y,
13,4.0.6,Y,
14,4.0.7,Y,
15,4.1.0,Y,
16,4.1.1,Y,
17,4.1.2,Y,
18,4.1.3,Y,
19,4.1.4,Y,
20,4.2.0,Y,
21,4.3.0,Y,
22,4.3.1,Y,
23,4.3.2,Y,
24,4.3.3,Y,
25,4.3.4,Y,
26,4.3.5,Y,
27,4.3.6,Y,
28,4.3.7,Y,
29,4.4.0,Y,
30,4.5.0,Y,
31,4.5.1,Y,
32,4.6.0,Y,
33,4.6.1,Y,
34,4.6.2,Y,
35,4.6.3,Y,
36,5.0.0,Y,
37,5.0.0-beta.0,Y,
38,5.0.1,Y,
39,5.0.2,Y,
40,5.1.0,Y,
41,5.1.1,Y,
42,5.2.0,Y,
43,5.3.0,Y,
44,5.3.1,Y,
45,5.3.2,Y,
46,5.4.0,Y,
47,5.4.1,Y,
