,Version,Success,Description
0,0.0.3,Y,
1,0.0.4,Y,
2,4.0.0,Y,
3,4.0.1,Y,
4,4.0.2,Y,
5,4.0.3,Y,
6,4.0.4,Y,
7,4.0.5,Y,
8,4.0.6,Y,
9,4.0.7,Y,
10,4.0.8,Y,
11,4.0.9,Y,
12,5.0.0,Y,
13,5.0.1,Y,
14,5.0.2,Y,
15,5.0.3,Y,
16,5.0.4,Y,
17,5.0.5,Y,
18,5.0.6,Y,
19,5.0.7,Y,
20,5.0.8,Y,
21,5.0.9,Y,
22,5.1.0,Y,
23,5.1.1,Y,
24,5.1.2,Y,
25,5.1.3,Y,
26,5.1.4,Y,
27,5.1.5,Y,
28,5.1.6,Y,
29,5.1.7,Y,
30,5.1.8,Y,
31,5.1.9,Y,
32,5.2.0,Y,
33,5.2.1,Y,
34,5.2.2,Y,
35,5.2.3,N,Library loading error.
36,5.2.4,Y,
37,5.2.5,Y,
38,5.2.6,Y,
39,5.2.7,Y,
40,5.2.8,Y,
41,5.2.9,Y,
42,5.3.0,Y,
43,5.3.1,Y,
44,5.3.2,Y,
45,5.3.3,Y,
46,5.3.4,Y,
47,5.3.5,Y,
48,5.3.6,Y,
49,5.3.7,Y,
50,5.3.8,Y,
51,5.3.9,Y,
52,5.4.0,Y,
53,5.4.1,Y,
54,5.4.2,Y,
55,5.4.3,Y,
56,5.4.4,Y,
57,5.4.5,Y,
58,5.4.6,Y,
59,5.4.7,Y,
60,5.4.8,Y,
61,5.4.9,Y,
62,5.5.0,Y,
63,5.5.1,Y,
64,5.5.2,Y,
65,5.5.3,Y,
66,5.5.4,Y,
67,5.5.5,Y,
68,5.5.6,Y,
69,5.5.7,Y,
70,5.5.8,Y,
71,5.5.9,Y,
72,5.6.0,Y,
73,5.6.1,Y,
74,5.6.2,Y,
