,Version,Success,Description
0,0.1.5,Y,
1,0.1.8,Y,
2,0.3.0,Y,
3,0.4.1,Y,
4,0.5.0,Y,
5,0.5.1,Y,
6,0.5.2,Y,
7,0.7.0,Y,
8,0.7.1,Y,
9,1.0.0,Y,
10,1.0.1,Y,
11,1.1.0,Y,
12,1.1.1,Y,
13,1.10.0,Y,
14,1.10.0-rc1,Y,
15,1.10.0-rc2,Y,
16,1.10.0-rc3,Y,
17,1.10.1,Y,
18,1.10.2,Y,
19,1.11.2-alpha.0,Y,
20,1.11.2-alpha.1,Y,
21,1.11.2-alpha.2,Y,
22,1.11.2-alpha.3,Y,
23,1.13.0,Y,
24,1.14.0,Y,
25,1.15.0,Y,
26,1.15.1,Y,
27,1.2.0,Y,
28,1.2.1,Y,
29,1.3.0,Y,
30,1.4.0,Y,
31,1.4.1,Y,
32,1.4.2,Y,
33,1.5.0,Y,
34,1.5.0-rc1,Y,
35,1.5.1,Y,
36,1.6.0,Y,
37,1.7.0,Y,
38,1.8.0,Y,
39,1.8.0-rc1,Y,
40,1.8.1,Y,
41,1.8.2,Y,
42,1.8.3,Y,
43,1.8.4,Y,
44,1.9.0,Y,
