,Version,Success,Description
0,0.0.101,N,Library loading error.
1,0.0.104,N,Library loading error.
2,0.0.105,N,Library loading error.
3,0.0.106,N,Library loading error.
4,0.0.107,N,Library loading error.
5,0.0.108,N,Library loading error.
6,0.0.109,N,Library loading error.
7,0.0.110,N,Library loading error.
8,0.0.111,N,Library loading error.
9,0.0.112,N,Library loading error.
10,0.0.113,Y,
11,0.0.116,N,Library loading error.
12,0.0.117,N,Library loading error.
13,0.0.118,N,Library loading error.
14,0.0.119,N,Library loading error.
15,0.0.120,N,Library loading error.
16,0.0.121,N,Library loading error.
17,0.0.122,Y,
18,0.0.123,Y,
19,0.0.124,Y,
20,0.0.125,Y,
21,0.0.126,Y,
22,0.0.128,Y,
23,0.0.47,Y,
24,0.0.48,Y,
25,0.0.49,Y,
26,0.0.50,Y,
27,0.0.51,Y,
28,0.0.52,Y,
29,0.0.54,Y,
30,0.0.55,Y,
31,0.0.56,Y,
32,0.0.57,Y,
33,0.0.59,Y,
34,0.0.60,Y,
35,0.0.61,Y,
36,0.0.62,Y,
37,0.0.63,Y,
38,0.0.64,Y,
39,0.0.65,Y,
40,0.0.66,Y,
41,0.0.67,Y,
42,0.0.68,Y,
43,0.0.69,Y,
44,0.0.70,N,Library loading error.
45,0.0.71,N,Library loading error.
46,0.0.72,N,Library loading error.
47,0.0.73,N,Library loading error.
48,0.0.79,N,Library loading error.
49,0.0.80,N,Library loading error.
50,0.0.84,N,Library loading error.
51,0.0.86,N,Library loading error.
52,0.0.87,N,Library loading error.
53,0.0.88,N,Library loading error.
54,0.0.89,N,Library loading error.
55,0.0.90,N,Library loading error.
56,0.0.91,N,Library loading error.
57,0.0.92,N,Library loading error.
58,0.0.93,N,Library loading error.
59,0.0.94,N,Library loading error.
60,0.0.95,N,Library loading error.
61,0.0.97,N,Library loading error.
62,0.0.99,N,Library loading error.
63,0.1.0,Y,
64,0.1.1,Y,
65,0.1.2,Y,
66,0.1.3,Y,
67,0.1.4,Y,
68,0.1.5,Y,
69,0.1.6,Y,
70,0.1.7,Y,
71,0.2.0,Y,
72,0.2.1,Y,
73,0.3.0,Y,
74,0.4.0,Y,
75,0.4.1,Y,
76,0.4.2,Y,
77,0.4.3,Y,
78,1.0.0,Y,
79,1.2.0,Y,
80,1.2.1,Y,
81,1.3.0,Y,
82,1.3.1,Y,
83,1.3.2,Y,
84,1.3.3,Y,
85,1.3.4,Y,
86,1.3.5,Y,
87,1.4.0,Y,
88,2.0.0,Y,
89,2.0.1,Y,
90,2.0.2,Y,
91,3.0.13,Y,
92,3.0.14,Y,
93,3.0.15,Y,
94,3.0.16,Y,
95,3.0.17,Y,
96,3.0.18,Y,
97,3.1.0,Y,
98,3.1.1,Y,
99,3.1.2,Y,
100,3.10.0,Y,
101,3.10.1,Y,
102,3.10.2,Y,
103,3.10.3,Y,
104,3.10.4,Y,
105,3.10.5,Y,
106,3.11.1,Y,
107,3.11.2,Y,
108,3.11.3,Y,
109,3.11.7,Y,
110,3.12.1,Y,
111,3.12.2,Y,
112,3.13.0,Y,
113,3.13.1,Y,
114,3.13.2,Y,
115,3.14.0,Y,
116,3.14.1,Y,
117,3.14.2,Y,
118,3.14.3,Y,
119,3.2.0,Y,
120,3.3.3,Y,
121,3.4.0,Y,
122,3.4.1,Y,
123,3.5.0,Y,
124,3.5.1,Y,
125,3.5.2,Y,
126,3.5.2-alpha.d2c36ee7,Y,
127,3.5.3,Y,
128,3.6.1,Y,
129,3.6.2,Y,
130,3.6.3,Y,
131,3.7.0,Y,
132,3.7.1,Y,
133,3.7.3,Y,
134,3.7.4,Y,
135,3.7.5,Y,
136,3.7.6,Y,
137,3.7.7,Y,
138,3.8.0,Y,
139,3.9.0,Y,
140,4.0.0,Y,
141,4.0.1,Y,
142,4.0.2,Y,
143,4.1.0,Y,
144,4.2.0,Y,
145,4.3.0,Y,
146,4.3.1,Y,
147,4.4.0,Y,
148,4.5.2,Y,
149,4.6.1,Y,
150,4.7.1,Y,
151,4.7.2,Y,
152,4.7.3,Y,
153,5.0.4,Y,
154,5.1.0,N,Library loading error.
155,5.1.1,N,Library loading error.
156,5.1.2,N,Library loading error.
157,5.1.3,N,Library loading error.
158,5.1.5,Y,
159,5.1.6,Y,
160,6.2.0,Y,
161,6.2.0-alpha.2,Y,
162,6.2.0-alpha.3,Y,
163,6.3.0,Y,
164,6.4.0,Y,
165,6.5.0,Y,
166,7.0.0-alpha.0,Y,
167,7.0.0-alpha.1,Y,
168,7.0.0-alpha.2,Y,
