,Version,Success,Description
0,0.5.20,Y,
1,0.5.22,N,Library loading error.
2,0.5.23,N,Library loading error.
3,0.5.25,Y,
4,0.5.27,Y,
5,0.6.0,Y,
6,0.6.2,Y,
7,0.7.0,Y,
8,0.7.1,Y,
9,0.7.10,Y,
10,0.7.11,Y,
11,0.7.12,Y,
12,0.7.13,Y,
13,0.7.14,Y,
14,0.7.15,Y,
15,0.7.16,Y,
16,0.7.17,Y,
17,0.7.18,Y,
18,0.7.19,Y,
19,0.7.20,Y,
20,0.7.21,Y,
21,0.7.22,Y,
22,0.7.23,Y,
23,0.7.24,Y,
24,0.7.25,Y,
25,0.7.26,Y,
26,0.7.27,Y,
27,0.7.28,Y,
28,0.7.29,Y,
29,0.7.3,Y,
30,0.7.30,Y,
31,0.7.31,Y,
32,0.7.32,Y,
33,0.7.33,Y,
34,0.7.34,Y,
35,0.7.35,Y,
36,0.7.36,Y,
37,0.7.37,Y,
38,0.7.4,Y,
39,0.7.6,Y,
40,0.7.7,Y,
41,0.7.9,Y,
42,0.8.0,Y,
43,0.8.1,Y,
44,1.0.0,Y,
45,1.0.1,Y,
46,1.0.2,Y,
47,1.0.32,Y,
48,1.0.33,Y,
49,1.0.34,Y,
50,1.0.35,Y,
51,1.0.36,Y,
52,1.0.37,Y,
53,2.0.0-alpha.1,Y,
54,2.0.0-alpha.2,Y,
55,2.0.0-alpha.3,Y,
56,2.0.0-beta.1,Y,
