,Version,Success,Description
0,1.0.0,Y,
1,1.0.2,Y,
2,1.0.3,Y,
3,1.0.4,Y,
4,1.0.5,Y,
5,1.0.6,Y,
6,1.0.7,Y,
7,1.0.8,Y,
8,1.0.9,Y,
9,15.0.0,N,Library loading error.
10,2.0.0,Y,
11,2.0.2,Y,
12,2.0.3,Y,
13,2.0.4,Y,
14,2.1.0,Y,
15,2.10.0,Y,
16,2.11.0,Y,
17,2.12.0,Y,
18,2.13.0,Y,
19,2.13.1,Y,
20,2.14.0,Y,
21,2.14.1,Y,
22,2.15.0,N,Library loading error.
23,2.16.0,Y,
24,2.17.0,Y,
25,2.18.0,Y,
26,2.18.1,Y,
27,2.19.0,Y,
28,2.19.2,Y,
29,2.19.3,Y,
30,2.2.0,Y,
31,2.20.0,Y,
32,2.21.0,Y,
33,2.22.0,Y,
34,2.23.0,Y,
35,2.23.1,Y,
36,2.23.2,Y,
37,2.24.0,Y,
38,2.24.2,Y,
39,2.24.3,Y,
40,2.3.0,Y,
41,2.3.1,Y,
42,2.4.0,Y,
43,2.5.0-rc0,Y,
44,2.6.0rc,Y,
45,2.8.0-rc0,Y,
46,2.8.2-rc,Y,
47,2.8.3-rc0,Y,
48,2.8.4,Y,
49,2.8.5,Y,
50,2.8.6,Y,
51,2.9.0,Y,
