,Version,Success,Description
0,0.0.1,Y,
1,0.1.0,Y,
2,0.10.0,Y,
3,0.11.0,Y,
4,0.12.0,Y,
5,0.2.0,Y,
6,0.3.0,Y,
7,0.3.1,Y,
8,0.4.0,Y,
9,0.4.2,Y,
10,0.5.0,Y,
11,0.6.0,Y,
12,0.7.0,Y,
13,0.8.0,Y,
14,0.9.0,Y,
15,1.0.0,Y,
16,1.0.1,Y,
17,1.0.3,Y,
18,1.1.0,Y,
19,1.2.0,Y,
20,1.2.1,Y,
21,1.2.2,Y,
22,2.0.0,Y,
23,2.0.1,Y,
24,2.0.4,Y,
25,2.1.0,Y,
26,2.2.0,Y,
27,2.3.0,Y,
28,2.4.0,Y,
29,2.5.0,Y,
30,2.5.2,Y,
31,2.6.0,Y,
32,2.6.2,Y,
33,2.6.4,Y,
34,2.7.0,Y,
35,3.0.0,Y,
36,3.0.2,Y,
37,3.0.4,Y,
38,3.1.0,Y,
39,3.2.0,Y,
40,3.3.0,N,Library loading error.
41,4.0.0,N,Library loading error.
42,4.0.1,N,Library loading error.
43,4.0.10,N,Library loading error.
44,4.0.11,N,Library loading error.
45,4.0.12,N,Library loading error.
46,4.0.13,N,Library loading error.
47,4.0.2,N,Library loading error.
48,4.0.3,N,Library loading error.
49,4.0.4,N,Library loading error.
50,4.0.5,N,Library loading error.
51,4.0.6,N,Library loading error.
52,4.0.7,N,Library loading error.
53,4.0.8,N,Library loading error.
54,4.0.9,N,Library loading error.
55,5.0.0,N,Library loading error.
56,5.0.1,N,Library loading error.
57,5.0.2,N,Library loading error.
58,5.0.3,N,Library loading error.
59,5.1.0,N,Library loading error.
60,5.1.1,N,Library loading error.
61,5.1.2,N,Library loading error.
62,5.2.0,N,Library loading error.
63,5.2.1,N,Library loading error.
64,5.3.0,N,Library loading error.
65,5.4.0,N,Library loading error.
66,5.4.1,N,Library loading error.
67,5.5.0,N,Library loading error.
68,5.5.1,N,Library loading error.
69,5.5.2,N,Library loading error.
70,5.5.3,N,Library loading error.
71,5.6.0,N,Library loading error.
72,5.6.1,N,Library loading error.
73,5.6.2,N,Library loading error.
74,5.7.0,N,Library loading error.
75,5.7.1,N,Library loading error.
76,5.7.2,N,Library loading error.
77,5.7.3,N,Library loading error.
78,5.7.4,N,Library loading error.
79,6.0.0,Y,
80,6.0.1,Y,
81,6.0.2,Y,
82,6.0.3,Y,
83,6.0.4,Y,
84,6.0.5,Y,
85,6.0.6,Y,
86,6.0.7,Y,
87,6.1.0,Y,
88,6.1.1,Y,
89,6.2.0,Y,
90,6.2.1,Y,
91,6.3.0,Y,
92,6.4.0,Y,
93,6.4.1,Y,
94,6.4.2,Y,
95,7.0.0,Y,
96,7.1.0,Y,
97,7.1.1,Y,
98,7.2.0,Y,
99,7.3.0,Y,
100,7.3.1,Y,
101,7.4.0,Y,
102,7.4.1,Y,
103,8.0.0,Y,
104,8.0.1,Y,
105,8.0.2,Y,
106,8.0.3,Y,
107,8.0.4,Y,
108,8.0.5,Y,
109,8.1.0,Y,
110,8.1.1,Y,
111,8.10.0,Y,
112,8.11.0,Y,
113,8.11.1,Y,
114,8.11.2,Y,
115,8.11.3,Y,
116,8.2.0,Y,
117,8.2.1,Y,
118,8.2.2,Y,
119,8.2.3,Y,
120,8.2.4,Y,
121,8.3.0,Y,
122,8.4.0,Y,
123,8.4.1,Y,
124,8.5.0,Y,
125,8.6.0,Y,
126,8.7.0,Y,
127,8.7.1,Y,
128,8.8.0,Y,
129,8.8.1,Y,
130,8.8.2,Y,
131,8.9.0,Y,
