,Version,Success,Description
0,2.2.5,Y,
1,2.3.0,Y,
2,2.3.1,Y,
3,2.3.2,Y,
4,2.3.3,Y,
5,2.3.4,Y,
6,2.3.5,Y,
7,2.4.0,Y,
8,2.4.1,Y,
9,2.5.0,Y,
10,2.6.0,Y,
11,2.7.0,Y,
12,2.7.1,Y,
13,2.7.2,Y,
14,2.7.3,Y,
15,2.8.0,Y,
16,2.8.1,Y,
17,2.8.2,Y,
18,3.0.0,Y,
19,3.0.1,Y,
20,3.0.2,Y,
21,3.0.3,Y,
22,3.0.4,Y,
23,3.0.5,Y,
24,3.0.6,Y,
25,3.0.7,Y,
26,3.0.8,Y,
27,3.0.9,Y,
28,3.1.0,Y,
29,3.1.1,Y,
30,3.10.0,Y,
31,3.10.1,Y,
32,3.10.2,Y,
33,3.10.3,Y,
34,3.10.4,Y,
35,3.10.5,Y,
36,3.11.0,Y,
37,3.11.1,Y,
38,3.12.0,Y,
39,3.12.1,Y,
40,3.12.2,Y,
41,3.12.3,Y,
42,3.13.0,Y,
43,3.13.1,Y,
44,3.13.2,Y,
45,3.13.3,Y,
46,3.2.0,Y,
47,3.2.1,Y,
48,3.2.2,Y,
49,3.2.3,Y,
50,3.2.4,Y,
51,3.3.0,Y,
52,3.3.1,Y,
53,3.3.2,Y,
54,3.3.3,Y,
55,3.3.4,Y,
56,3.3.5,Y,
57,3.4.0,Y,
58,3.4.1,Y,
59,3.4.2,Y,
60,3.5.0,Y,
61,3.5.1,Y,
62,3.5.2,Y,
63,3.6.0,Y,
64,3.6.1,Y,
65,3.7.0,Y,
66,3.7.1,Y,
67,3.8.0,Y,
68,3.8.1,Y,
69,3.9.0,Y,
70,3.9.1,Y,
71,3.9.2,Y,
72,3.9.3,Y,
73,3.9.4,Y,
74,3.9.5,Y,
75,3.9.6,Y,
