,Version,Success,Description
0,0.10.0,Y,
1,0.10.1,Y,
2,0.10.2,Y,
3,0.11.0,N,Library loading error.
4,0.12.0,N,Library loading error.
5,0.12.1,N,Library loading error.
6,0.12.2,N,Library loading error.
7,0.12.3,N,Library loading error.
8,0.13.0,N,Library loading error.
9,0.13.1,N,Library loading error.
10,0.13.10,N,Library loading error.
11,0.13.11,N,Library loading error.
12,0.13.12,N,Library loading error.
13,0.13.2,N,Library loading error.
14,0.13.3,N,Library loading error.
15,0.13.4,N,Library loading error.
16,0.13.5,N,Library loading error.
17,0.13.6,N,Library loading error.
18,0.13.7,N,Library loading error.
19,0.13.8,N,Library loading error.
20,0.13.9,N,Library loading error.
21,0.14.0,N,Library loading error.
22,0.14.1,N,Library loading error.
23,0.14.2,N,Library loading error.
24,0.14.3,N,Library loading error.
25,0.14.4,N,Library loading error.
26,0.14.5,N,Library loading error.
27,0.15.0,N,Library loading error.
28,0.15.1,N,Library loading error.
29,0.15.2,N,Library loading error.
30,0.15.3,N,Library loading error.
31,0.15.4,N,Library loading error.
32,0.15.5,N,Library loading error.
33,0.15.6,N,Library loading error.
34,0.16.0,Y,
35,0.16.10,Y,
36,0.16.2,Y,
37,0.16.3,Y,
38,0.16.4,Y,
39,0.16.5,Y,
40,0.16.6,Y,
41,0.16.7,Y,
42,0.16.8,Y,
43,0.16.9,Y,
44,0.17.0,Y,
45,0.17.1,Y,
46,0.17.2,Y,
47,0.17.3,Y,
48,0.17.4,Y,
49,0.17.5,Y,
50,0.17.6,Y,
51,0.17.7,Y,
52,0.17.8,Y,
53,0.17.9,Y,
54,0.18.0,Y,
55,0.18.1,Y,
56,0.18.2,Y,
57,0.18.3,Y,
58,0.18.4,Y,
59,0.18.5,Y,
60,0.18.6,Y,
61,0.3.0,Y,
62,0.4.0,Y,
63,0.5.0,Y,
64,0.6.0,Y,
65,0.7.0,Y,
66,0.8.0,Y,
67,0.9.0,Y,
