,Version,Success,Description
0,1.0.0,N,Library loading error.
1,1.0.0-beta2,N,Library loading error.
2,1.0.0-rc1,N,Library loading error.
3,1.0.1,N,Library loading error.
4,2.0.0,N,Library loading error.
5,2.0.0-beta1,N,Library loading error.
6,2.0.0-dp1,N,Library loading error.
7,2.1.0,N,Library loading error.
8,2.1.0-beta1,N,Library loading error.
9,2.2.0,N,Library loading error.
10,2.2.1,N,Library loading error.
11,2.3.0,N,Library loading error.
12,2.4.0,N,Library loading error.
13,2.4.1,Y,
14,2.4.2,Y,
15,2.5.0,Y,
16,2.5.1,Y,
17,2.5.2,Y,
18,2.6.0,Y,
19,2.6.1,Y,
20,2.6.2,Y,
21,2.7.0,Y,
22,2.7.1,Y,
23,2.7.2,Y,
