,Version,Success,Description
0,1.3.29,Y,
1,1.3.30,Y,
2,1.3.31,Y,
3,1.3.4,Y,
4,1.3.5,Y,
5,1.3.6,Y,
6,1.3.7,Y,
7,1.3.8,Y,
8,1.3.9,Y,
9,1.4.0,Y,
10,1.5.0,Y,
11,1.5.1,Y,
12,1.5.2,Y,
13,1.5.3,Y,
14,1.5.4,Y,
15,1.5.5,Y,
16,1.5.6,Y,
17,1.5.7,Y,
18,1.5.8,Y,
19,1.5.9,Y,
20,2.0.0,N,Library loading error.
21,2.0.1,Y,
22,2.1.0,Y,
23,2.2.0,Y,
24,2.2.1,Y,
25,2.2.2,Y,
26,2.2.3,Y,
27,2.2.4,Y,
28,2.2.5,Y,
29,2.3.0,Y,
30,2.3.1,Y,
31,2.3.10,Y,
32,2.3.11,Y,
33,2.3.12,Y,
34,2.3.13,Y,
35,2.3.14,Y,
36,2.3.15,Y,
37,2.3.16,Y,
38,2.3.17,Y,
39,2.3.18,Y,
40,2.3.19,Y,
41,2.3.2,Y,
42,2.3.20,Y,
43,2.3.21,Y,
44,2.3.22,Y,
45,2.3.23,Y,
46,2.3.24,Y,
47,2.3.25,Y,
48,2.3.26,Y,
49,2.3.27,Y,
50,2.3.3,Y,
51,2.3.4,Y,
52,2.3.5,Y,
53,2.3.6,Y,
54,2.3.7,Y,
55,2.3.8,Y,
56,2.3.9,Y,
57,2.8.1,Y,
58,2.8.10,Y,
59,2.8.11,Y,
60,2.8.13,Y,
61,2.8.14,Y,
62,2.8.15,Y,
63,2.8.16,Y,
64,2.8.17,Y,
65,2.8.18,Y,
66,2.8.19,Y,
67,2.8.2,Y,
68,2.8.20,Y,
69,2.8.21,Y,
70,2.8.22,Y,
71,2.8.23,Y,
72,2.8.24,Y,
73,2.8.25,Y,
74,2.8.3,Y,
75,2.8.4,Y,
76,2.8.5,Y,
77,2.8.6,Y,
78,2.8.7,Y,
79,2.8.8,N,Library loading error.
80,2.8.9,Y,
81,2.9.0,Y,
82,2.9.1,Y,
