,Version,Success,Description
0,1.0.0,N,Library loading error.
1,1.0.0rc10,N,Library loading error.
2,1.0.0rc11,N,Library loading error.
3,1.0.0rc12,N,Library loading error.
4,1.0.0rc3,N,Library loading error.
5,1.0.0rc4,N,Library loading error.
6,1.0.0rc5,N,Library loading error.
7,1.0.0rc6,N,Library loading error.
8,1.0.0rc7,N,Library loading error.
9,1.0.0rc8,N,Library loading error.
10,1.0.0rc9,N,Library loading error.
11,1.0.1,N,Library loading error.
12,1.0.2,N,Library loading error.
13,1.0.3,N,Library loading error.
14,1.0.4,N,Library loading error.
15,1.0.5,N,Library loading error.
16,1.0.6,N,Library loading error.
17,1.0.7,N,Library loading error.
18,1.0.8,N,Library loading error.
19,1.1.0,N,Library loading error.
20,1.1.1,N,Library loading error.
21,1.1.2,N,Library loading error.
22,1.1.3,N,Library loading error.
23,1.1.4,N,Library loading error.
24,1.1.5,N,Library loading error.
25,1.2.0,N,Library loading error.
26,1.2.0-rc.2,N,Library loading error.
27,1.2.0-rc.3,N,Library loading error.
28,1.2.0rc1,N,Library loading error.
29,1.2.1,N,Library loading error.
30,1.2.10,N,Library loading error.
31,1.2.11,N,Library loading error.
32,1.2.12,N,Library loading error.
33,1.2.13,N,Library loading error.
34,1.2.14,N,Library loading error.
35,1.2.15,N,Library loading error.
36,1.2.16,N,Library loading error.
37,1.2.17,N,Library loading error.
38,1.2.18,N,Library loading error.
39,1.2.19,N,Library loading error.
40,1.2.2,N,Library loading error.
41,1.2.20,N,Library loading error.
42,1.2.21,N,Library loading error.
43,1.2.22,N,Library loading error.
44,1.2.23,N,Library loading error.
45,1.2.24,N,Library loading error.
46,1.2.25,N,Library loading error.
47,1.2.26,N,Library loading error.
48,1.2.27,N,Library loading error.
49,1.2.28,N,Library loading error.
50,1.2.29,N,Library loading error.
51,1.2.3,N,Library loading error.
52,1.2.30,N,Library loading error.
53,1.2.31,N,Library loading error.
54,1.2.32,N,Library loading error.
55,1.2.4,N,Library loading error.
56,1.2.5,N,Library loading error.
57,1.2.6,N,Library loading error.
58,1.2.7,N,Library loading error.
59,1.2.8,N,Library loading error.
60,1.2.9,N,Library loading error.
61,1.3.0,N,Library loading error.
62,1.3.0-beta.1,N,Library loading error.
63,1.3.0-beta.10,N,Library loading error.
64,1.3.0-beta.11,N,Library loading error.
65,1.3.0-beta.12,N,Library loading error.
66,1.3.0-beta.13,N,Library loading error.
67,1.3.0-beta.14,N,Library loading error.
68,1.3.0-beta.15,N,Library loading error.
69,1.3.0-beta.16,N,Library loading error.
70,1.3.0-beta.17,N,Library loading error.
71,1.3.0-beta.18,N,Library loading error.
72,1.3.0-beta.19,N,Library loading error.
73,1.3.0-beta.2,N,Library loading error.
74,1.3.0-beta.3,N,Library loading error.
75,1.3.0-beta.4,N,Library loading error.
76,1.3.0-beta.5,N,Library loading error.
77,1.3.0-beta.6,N,Library loading error.
78,1.3.0-beta.7,N,Library loading error.
79,1.3.0-beta.8,N,Library loading error.
80,1.3.0-beta.9,N,Library loading error.
81,1.3.0-rc.0,N,Library loading error.
82,1.3.0-rc.1,N,Library loading error.
83,1.3.0-rc.2,N,Library loading error.
84,1.3.0-rc.3,N,Library loading error.
85,1.3.0-rc.4,N,Library loading error.
86,1.3.0-rc.5,N,Library loading error.
87,1.3.1,N,Library loading error.
88,1.3.10,N,Library loading error.
89,1.3.11,N,Library loading error.
90,1.3.12,N,Library loading error.
91,1.3.13,N,Library loading error.
92,1.3.14,N,Library loading error.
93,1.3.15,N,Library loading error.
94,1.3.16,N,Library loading error.
95,1.3.17,N,Library loading error.
96,1.3.18,N,Library loading error.
97,1.3.19,N,Library loading error.
98,1.3.2,N,Library loading error.
99,1.3.20,N,Library loading error.
100,1.3.3,N,Library loading error.
101,1.3.4,N,Library loading error.
102,1.3.5,N,Library loading error.
103,1.3.6,N,Library loading error.
104,1.3.7,N,Library loading error.
105,1.3.8,N,Library loading error.
106,1.3.9,N,Library loading error.
107,1.4.0,N,Library loading error.
108,1.4.0-beta.0,N,Library loading error.
109,1.4.0-beta.1,N,Library loading error.
110,1.4.0-beta.2,N,Library loading error.
111,1.4.0-beta.3,N,Library loading error.
112,1.4.0-beta.4,N,Library loading error.
113,1.4.0-beta.5,N,Library loading error.
114,1.4.0-beta.6,N,Library loading error.
115,1.4.0-rc.0,N,Library loading error.
116,1.4.0-rc.1,N,Library loading error.
117,1.4.0-rc.2,N,Library loading error.
118,1.4.1,N,Library loading error.
119,1.4.10,N,Library loading error.
120,1.4.11,N,Library loading error.
121,1.4.12,N,Library loading error.
122,1.4.13,N,Library loading error.
123,1.4.14,N,Library loading error.
124,1.4.2,N,Library loading error.
125,1.4.3,N,Library loading error.
126,1.4.4,N,Library loading error.
127,1.4.5,N,Library loading error.
128,1.4.6,N,Library loading error.
129,1.4.7,N,Library loading error.
130,1.4.8,N,Library loading error.
131,1.4.9,N,Library loading error.
132,1.5.0,N,Library loading error.
133,1.5.0-beta.0,N,Library loading error.
134,1.5.0-beta.1,N,Library loading error.
135,1.5.0-beta.2,N,Library loading error.
136,1.5.0-rc.0,N,Library loading error.
137,1.5.0-rc.1,N,Library loading error.
138,1.5.0-rc.2,N,Library loading error.
139,1.5.1,N,Library loading error.
140,1.5.10,N,Library loading error.
141,1.5.11,N,Library loading error.
142,1.5.2,N,Library loading error.
143,1.5.3,N,Library loading error.
144,1.5.4,N,Library loading error.
145,1.5.5,N,Library loading error.
146,1.5.6,N,Library loading error.
147,1.5.7,N,Library loading error.
148,1.5.8,N,Library loading error.
149,1.5.9,N,Library loading error.
150,1.6.0,N,Library loading error.
151,1.6.0-rc.0,N,Library loading error.
152,1.6.0-rc.1,N,Library loading error.
153,1.6.0-rc.2,N,Library loading error.
154,1.6.1,N,Library loading error.
155,1.6.10,N,Library loading error.
156,1.6.2,N,Library loading error.
157,1.6.3,N,Library loading error.
158,1.6.4,N,Library loading error.
159,1.6.5,N,Library loading error.
160,1.6.6,N,Library loading error.
161,1.6.7,N,Library loading error.
162,1.6.8,N,Library loading error.
163,1.6.9,N,Library loading error.
164,1.7.0,N,Library loading error.
165,1.7.0-rc.0,N,Library loading error.
166,1.7.1,N,Library loading error.
167,1.7.2,N,Library loading error.
168,1.7.3,N,Library loading error.
169,1.7.4,N,Library loading error.
170,1.7.5,N,Library loading error.
171,1.7.6,N,Library loading error.
172,1.7.7,N,Library loading error.
173,1.7.8,N,Library loading error.
174,1.7.9,N,Library loading error.
175,1.8.0,N,Library loading error.
176,1.8.1,N,Library loading error.
177,1.8.2,N,Library loading error.
178,1.8.3,N,Library loading error.
