,Version,Success,Description
0,0.5.10,N,Library loading error.
1,0.5.8,N,Library loading error.
2,0.5.9,N,Library loading error.
3,0.6.0,N,Library loading error.
4,0.6.1,N,Library loading error.
5,0.6.2,N,Library loading error.
6,0.6.3,N,Library loading error.
7,0.6.4,N,Library loading error.
8,0.6.5,N,Library loading error.
9,0.6.6,N,Library loading error.
10,0.7.0,N,Library loading error.
11,0.7.1,N,Library loading error.
12,0.7.2,N,Library loading error.
13,0.7.3,N,Library loading error.
14,0.7.4,N,Library loading error.
15,0.7.5,N,Library loading error.
16,0.7.6,N,Library loading error.
17,0.7.7,N,Library loading error.
18,0.7.8,N,Library loading error.
19,2.0.0,N,Library loading error.
20,2.0.0-beta.1,N,Library loading error.
21,2.0.0-beta.2,N,Library loading error.
22,2.0.0-beta.3,N,Library loading error.
23,2.0.0-beta.4,N,Library loading error.
24,2.0.0-rc.1,N,Library loading error.
25,2.0.0-rc.2,N,Library loading error.
26,2.0.0-rc.3,N,Library loading error.
27,2.0.0-rc.4,N,Library loading error.
28,2.0.1,N,Library loading error.
29,2.0.2,N,Library loading error.
30,2.0.3,N,Library loading error.
31,2.0.4,N,Library loading error.
32,2.0.5,N,Library loading error.
33,2.1.0,N,Library loading error.
34,2.1.1,N,Library loading error.
35,2.1.2,N,Library loading error.
36,2.1.3,N,Library loading error.
37,2.1.4,N,Library loading error.
38,2.1.5,N,Library loading error.
39,2.1.6,N,Library loading error.
40,2.2.0,N,Library loading error.
41,2.2.1,N,Library loading error.
42,2.2.2,N,Library loading error.
43,2.2.3,N,Library loading error.
44,2.2.4,N,Library loading error.
45,2.3.0,N,Library loading error.
46,2.3.1,N,Library loading error.
47,2.3.10,N,Library loading error.
48,2.3.11,N,Library loading error.
49,2.3.12,N,Library loading error.
50,2.3.2,N,Library loading error.
51,2.3.3,N,Library loading error.
52,2.3.4,N,Library loading error.
53,2.3.5,N,Library loading error.
54,2.3.6,N,Library loading error.
55,2.3.7,N,Library loading error.
56,2.3.8,N,Library loading error.
57,2.3.9,N,Library loading error.
