,Version,Success,Description
0,1.2.27,N,Library loading error.
1,1.2.28,N,Library loading error.
2,1.2.29,N,Library loading error.
3,1.2.30,N,Library loading error.
4,1.2.31,N,Library loading error.
5,1.2.32,N,Library loading error.
6,1.3.0,N,Library loading error.
7,1.3.0-rc.5,N,Library loading error.
8,1.3.1,N,Library loading error.
9,1.3.10,N,Library loading error.
10,1.3.11,N,Library loading error.
11,1.3.12,N,Library loading error.
12,1.3.13,N,Library loading error.
13,1.3.14,N,Library loading error.
14,1.3.15,N,Library loading error.
15,1.3.16,N,Library loading error.
16,1.3.17,N,Library loading error.
17,1.3.18,N,Library loading error.
18,1.3.19,N,Library loading error.
19,1.3.2,N,Library loading error.
20,1.3.20,N,Library loading error.
21,1.3.3,N,Library loading error.
22,1.3.4,N,Library loading error.
23,1.3.4-build.3587,N,Library loading error.
24,1.3.5,N,Library loading error.
25,1.3.6,N,Library loading error.
26,1.3.7,N,Library loading error.
27,1.3.8,N,Library loading error.
28,1.3.9,N,Library loading error.
29,1.4.0,N,Library loading error.
30,1.4.0-beta.0,N,Library loading error.
31,1.4.0-beta.1,N,Library loading error.
32,1.4.0-beta.2,N,Library loading error.
33,1.4.0-beta.3,N,Library loading error.
34,1.4.0-beta.4,N,Library loading error.
35,1.4.0-beta.5,N,Library loading error.
36,1.4.0-beta.6,N,Library loading error.
37,1.4.0-rc.0,N,Library loading error.
38,1.4.0-rc.1,N,Library loading error.
39,1.4.0-rc.2,N,Library loading error.
40,1.4.1,N,Library loading error.
41,1.4.10,N,Library loading error.
42,1.4.11,N,Library loading error.
43,1.4.12,N,Library loading error.
44,1.4.13,N,Library loading error.
45,1.4.14,N,Library loading error.
46,1.4.2,N,Library loading error.
47,1.4.3,N,Library loading error.
48,1.4.4,N,Library loading error.
49,1.4.5,N,Library loading error.
50,1.4.6,N,Library loading error.
51,1.4.7,N,Library loading error.
52,1.4.8,N,Library loading error.
53,1.4.9,N,Library loading error.
54,1.5.0,N,Library loading error.
55,1.5.0-beta.0,N,Library loading error.
56,1.5.0-beta.2,N,Library loading error.
57,1.5.0-rc.0,N,Library loading error.
58,1.5.0-rc.1,N,Library loading error.
59,1.5.0-rc.2,N,Library loading error.
60,1.5.1,N,Library loading error.
61,1.5.10,N,Library loading error.
62,1.5.11,N,Library loading error.
63,1.5.2,N,Library loading error.
64,1.5.3,N,Library loading error.
65,1.5.5,N,Library loading error.
66,1.5.6,N,Library loading error.
67,1.5.7,N,Library loading error.
68,1.5.8,N,Library loading error.
69,1.5.9,N,Library loading error.
70,1.6.0,N,Library loading error.
71,1.6.0-rc.0,N,Library loading error.
72,1.6.0-rc.1,N,Library loading error.
73,1.6.0-rc.2,N,Library loading error.
74,1.6.1,N,Library loading error.
75,1.6.10,N,Library loading error.
76,1.6.2,N,Library loading error.
77,1.6.3,N,Library loading error.
78,1.6.4,N,Library loading error.
79,1.6.5,N,Library loading error.
80,1.6.6,N,Library loading error.
81,1.6.7,N,Library loading error.
82,1.6.8,N,Library loading error.
83,1.6.9,N,Library loading error.
84,1.7.0,N,Library loading error.
85,1.7.0-rc.0,N,Library loading error.
86,1.7.1,N,Library loading error.
87,1.7.2,N,Library loading error.
88,1.7.3,N,Library loading error.
89,1.7.4,N,Library loading error.
90,1.7.5,N,Library loading error.
91,1.7.6,N,Library loading error.
92,1.7.7,N,Library loading error.
93,1.7.8,N,Library loading error.
94,1.7.9,N,Library loading error.
95,1.8.0,N,Library loading error.
96,1.8.1,N,Library loading error.
97,1.8.2,N,Library loading error.
98,1.8.3,N,Library loading error.
