,Version,Success,Description
0,1.0.4,N,Library loading error.
1,1.0.5,N,Library loading error.
2,1.0.6,N,Library loading error.
3,1.0.7,N,Library loading error.
4,1.0.8,N,Library loading error.
5,1.0.9,N,Library loading error.
6,1.1.0,N,Library loading error.
7,1.1.1,N,Library loading error.
8,1.1.10,N,Library loading error.
9,1.1.11,N,Library loading error.
10,1.1.12,N,Library loading error.
11,1.1.13,N,Library loading error.
12,1.1.14,N,Library loading error.
13,1.1.15,N,Library loading error.
14,1.1.16,N,Library loading error.
15,1.1.17,N,Library loading error.
16,1.1.18,N,Library loading error.
17,1.1.19,N,Library loading error.
18,1.1.2,N,Library loading error.
19,1.1.20,N,Library loading error.
20,1.1.23,N,Library loading error.
21,1.1.24,N,Library loading error.
22,1.1.25,N,Library loading error.
23,1.1.26,N,Library loading error.
24,1.1.27,N,Library loading error.
25,1.1.28,N,Library loading error.
26,1.1.29,N,Library loading error.
27,1.1.3,N,Library loading error.
28,1.1.30,N,Library loading error.
29,1.1.31,N,Library loading error.
30,1.1.32,N,Library loading error.
31,1.1.33,N,Library loading error.
32,1.1.34,N,Library loading error.
33,1.1.36,N,Library loading error.
34,1.1.37,N,Library loading error.
35,1.1.38,N,Library loading error.
36,1.1.39,N,Library loading error.
37,1.1.40,N,Library loading error.
38,1.1.41,N,Library loading error.
39,1.1.42,N,Library loading error.
40,1.1.43,N,Library loading error.
41,1.1.44,N,Library loading error.
42,1.1.45,N,Library loading error.
43,1.1.46,N,Library loading error.
44,1.1.47,N,Library loading error.
45,1.1.48,N,Library loading error.
46,1.1.49,N,Library loading error.
47,1.1.5,N,Library loading error.
48,1.1.50,N,Library loading error.
49,1.1.51,N,Library loading error.
50,1.1.52,N,Library loading error.
51,1.1.53,N,Library loading error.
52,1.1.54,N,Library loading error.
53,1.1.55,N,Library loading error.
54,1.1.56,N,Library loading error.
55,1.1.57,N,Library loading error.
56,1.1.58,N,Library loading error.
57,1.1.59,N,Library loading error.
58,1.1.6,N,Library loading error.
59,1.1.60,N,Library loading error.
60,1.1.7,N,Library loading error.
61,1.1.8,N,Library loading error.
62,1.1.9,N,Library loading error.
63,1.2.0,N,Library loading error.
64,1.2.1,N,Library loading error.
65,1.2.2,N,Library loading error.
66,1.2.3,N,Library loading error.
67,1.2.5,N,Library loading error.
68,1.3.0,N,Library loading error.
69,1.3.1,N,Library loading error.
70,1.3.2,N,Library loading error.
71,1.3.3,N,Library loading error.
72,1.3.4,N,Library loading error.
73,1.3.5,N,Library loading error.
74,1.3.6-beta.1,N,Library loading error.
75,1.4.0,N,Library loading error.
76,1.4.1,N,Library loading error.
77,1.4.2,N,Library loading error.
78,1.4.3,N,Library loading error.
79,1.4.4,N,Library loading error.
80,1.4.5,N,Library loading error.
81,1.4.6,N,Library loading error.
82,1.5.1,N,Library loading error.
83,1.5.2,N,Library loading error.
84,1.6.0,N,Library loading error.
85,1.6.1,N,Library loading error.
86,1.6.2,N,Library loading error.
87,1.6.3,N,Library loading error.
88,1.6.4,N,Library loading error.
89,1.6.5,N,Library loading error.
90,2.0.0,N,Library loading error.
91,2.0.0-beta.1,N,Library loading error.
92,2.0.0-beta.2,N,Library loading error.
93,2.0.0-beta.3,N,Library loading error.
94,2.0.1-beta.5,N,Library loading error.
95,2.0.2,Y,
96,2.0.2-beta.0,N,Library loading error.
97,2.0.3,N,Library loading error.
98,2.0.3-beta.0,N,Library loading error.
99,2.0.4-beta.0,N,Library loading error.
100,2.0.5,N,Library loading error.
101,2.0.6,N,Library loading error.
102,2.0.6-beta.0,N,Library loading error.
103,2.0.6-beta.1,N,Library loading error.
104,2.0.6-beta.16,N,Library loading error.
105,2.0.6-beta.2,N,Library loading error.
106,2.0.6-beta.25,N,Library loading error.
107,2.0.6-beta.26,N,Library loading error.
108,2.0.6-beta.7,N,Library loading error.
109,2.0.7,N,Library loading error.
110,2.0.8,N,Library loading error.
111,2.1.0,N,Library loading error.
112,2.1.1,N,Library loading error.
113,2.1.2,N,Library loading error.
114,2.2.2,N,Library loading error.
115,3.0.0,Y,
