,Version,Success,Description
0,0.7.0,N,Library loading error.
1,0.8.0,N,Library loading error.
2,0.8.1,N,Library loading error.
3,1.0.0-alpha.1,N,Library loading error.
4,1.0.0-alpha.2,N,Library loading error.
5,1.0.0-alpha.3,N,Library loading error.
6,1.0.0-beta.1,N,Library loading error.
7,1.0.0-beta.2,N,Library loading error.
8,1.0.0-beta.3,N,Library loading error.
9,1.0.0-beta.4,N,Library loading error.
10,1.0.0-beta.5,N,Library loading error.
11,1.0.0-beta.6,N,Library loading error.
12,1.0.0-pre-alpha.1,Y,
13,1.0.0-pre-alpha.2,Y,
14,1.0.0-pre-alpha.3,N,Library loading error.
