,Version,Success,Description
0,4.0.1,Y,
1,4.0.2,Y,
2,4.1.1,Y,
3,4.2.0,Y,
4,4.2.1,Y,
5,4.3.0,Y,
6,4.4.1,Y,
7,4.4.2,Y,
8,4.4.3,Y,
9,4.4.4,Y,
10,4.4.5,Y,
11,4.4.6,Y,
12,4.5.0,Y,
13,4.5.1,Y,
14,4.5.2,Y,
15,4.5.3,Y,
16,4.5.4,Y,
17,4.5.5,Y,
18,4.6.0,Y,
19,4.6.1,Y,
20,4.6.3,Y,
21,4.6.4,Y,
22,4.6.5,Y,
23,4.6.6,Y,
24,4.7.0,Y,
25,4.7.1,Y,
26,4.7.10,Y,
27,4.7.11,Y,
28,4.7.12,Y,
29,4.7.13,Y,
30,4.7.14,Y,
31,4.7.15,Y,
32,4.7.16,Y,
33,4.7.2,Y,
34,4.7.3,Y,
35,4.7.4,Y,
36,4.7.5,Y,
37,4.7.6,Y,
38,4.7.7,Y,
39,4.7.8,Y,
40,4.7.9,Y,
41,5.0.0,Y,
42,5.0.0-beta2,Y,
43,5.0.0-beta3,Y,
44,5.0.0-beta4,Y,
45,5.0.1,Y,
46,5.0.10,Y,
47,5.0.11,Y,
48,5.0.12,Y,
49,5.0.13,Y,
50,5.0.2,Y,
51,5.0.3,Y,
52,5.0.4,Y,
53,5.0.5,Y,
54,5.0.6,Y,
55,5.0.7,Y,
56,5.0.8,Y,
57,5.0.9,Y,
58,5.1.0,Y,
59,5.1.1,Y,
60,5.1.10,Y,
61,5.1.11,Y,
62,5.1.12,Y,
63,5.1.13,Y,
64,5.1.2,Y,
65,5.1.3,Y,
66,5.1.4,Y,
67,5.1.5,Y,
68,5.1.6,Y,
69,5.1.7,Y,
70,5.1.8,Y,
71,5.1.9,Y,
72,5.2.0,Y,
73,5.2.1,Y,
74,5.2.10,Y,
75,5.2.11,Y,
76,5.2.12,Y,
77,5.2.13,Y,
78,5.2.14,Y,
79,5.2.15,Y,
80,5.2.16,Y,
81,5.2.17,Y,
82,5.2.2,Y,
83,5.2.3,Y,
84,5.2.4,Y,
85,5.2.5,Y,
86,5.2.6,Y,
87,5.2.7,Y,
88,5.2.9,Y,
89,5.3.0,Y,
90,5.3.1,Y,
91,5.3.2,Y,
92,5.3.3,Y,
93,5.4.0,Y,
94,5.4.1,Y,
95,5.4.2,Y,
96,5.4.3,Y,
97,5.4.4,Y,
98,5.4.5,Y,
99,5.4.6,Y,
100,5.4.7,Y,
101,5.5.0,Y,
102,5.5.1,Y,
103,5.5.2,Y,
104,5.5.3,Y,
105,5.5.4,Y,
106,5.5.5,Y,
107,5.5.6,Y,
108,5.5.7,Y,
109,5.5.8,Y,
110,5.6.1,Y,
111,5.6.10,Y,
112,5.6.11,Y,
113,5.6.12,Y,
114,5.6.14,Y,
115,5.6.15,Y,
116,5.6.16,Y,
117,5.6.18,Y,
118,5.6.19,Y,
119,5.6.2,Y,
120,5.6.20,Y,
121,5.6.3,Y,
122,5.6.4,Y,
123,5.6.5,Y,
124,5.6.6,Y,
125,5.6.7,Y,
126,5.7.0,Y,
127,5.7.1,Y,
128,5.7.2,Y,
129,5.7.3,Y,
130,5.7.4,Y,
131,5.8.1,Y,
132,5.8.12,Y,
133,5.8.14,Y,
134,5.8.19,Y,
135,5.8.2,Y,
136,5.8.20,Y,
137,5.8.21,Y,
138,5.8.22,Y,
139,5.8.23,Y,
140,5.8.24,Y,
141,5.8.25,Y,
142,5.8.29,Y,
143,5.8.3,Y,
144,5.8.30,Y,
145,5.8.31,Y,
146,5.8.32,Y,
147,5.8.33,Y,
148,5.8.34,Y,
149,5.8.35,Y,
150,5.8.38,Y,
151,5.8.5,Y,
152,5.8.6,Y,
153,5.8.8,Y,
154,5.8.9,Y,
155,6.0.0,Y,
156,6.0.1,Y,
157,6.0.12,Y,
158,6.0.14,Y,
159,6.0.15,Y,
160,6.0.16,Y,
161,6.0.17,Y,
162,6.0.18,Y,
163,6.0.19,Y,
164,6.0.2,Y,
165,6.0.20,Y,
166,6.1.10,N,Library loading error.
167,6.1.11,N,Library loading error.
168,6.1.12,N,Library loading error.
169,6.1.13,N,Library loading error.
170,6.1.14,N,Library loading error.
171,6.1.15,N,Library loading error.
172,6.1.16,N,Library loading error.
173,6.1.17,N,Library loading error.
174,6.1.18,N,Library loading error.
175,6.1.19,N,Library loading error.
176,6.1.2,N,Library loading error.
177,6.1.3,N,Library loading error.
178,6.1.4,N,Library loading error.
179,6.1.5,N,Library loading error.
180,6.1.6,N,Library loading error.
181,6.1.7,N,Library loading error.
182,6.1.8,N,Library loading error.
183,6.1.9,N,Library loading error.
