,Version,Success,Description
0,3.5.10,N,Library loading error.
1,4.0.14,N,Library loading error.
2,4.0.14-beta.2,N,Library loading error.
3,4.0.14-beta.3,N,Library loading error.
4,4.0.14-beta.4,N,Library loading error.
5,4.0.15,N,Library loading error.
6,4.0.15-beta.0,N,Library loading error.
7,4.0.15-beta.1,N,Library loading error.
8,4.0.15-beta.2,N,Library loading error.
9,4.0.15-beta.3,N,Library loading error.
10,4.0.15-beta.4,N,Library loading error.
11,4.0.15-beta.5,N,Library loading error.
12,4.0.15-beta.6,N,Library loading error.
13,4.0.16,N,Library loading error.
14,4.0.16-beta.0,N,Library loading error.
15,4.0.17,N,Library loading error.
16,4.0.17-beat.1,N,Library loading error.
17,4.0.17-beat.2,N,Library loading error.
18,4.0.17-beta.0,N,Library loading error.
19,4.1.0,N,Library loading error.
20,4.1.0-beta.0,N,Library loading error.
21,4.1.0-beta.1,N,Library loading error.
22,4.1.0-beta.2,N,Library loading error.
23,4.1.0-beta.3,N,Library loading error.
24,4.1.0-beta.4,N,Library loading error.
25,4.1.0-beta.5,N,Library loading error.
26,4.1.0-beta.6,N,Library loading error.
27,4.1.1,N,Library loading error.
28,4.1.1-beta.0,N,Library loading error.
29,4.1.10,N,Library loading error.
30,4.1.10-beta.1,N,Library loading error.
31,4.1.10-beta.3,N,Library loading error.
32,4.1.11,N,Library loading error.
33,4.1.11-beta.0,N,Library loading error.
34,4.1.11-beta.1,N,Library loading error.
35,4.1.11-beta.2,N,Library loading error.
36,4.1.12,N,Library loading error.
37,4.1.12-beta.0,N,Library loading error.
38,4.1.12-beta.1,N,Library loading error.
39,4.1.12-beta.3,N,Library loading error.
40,4.1.13,N,Library loading error.
41,4.1.14,N,Library loading error.
42,4.1.15,N,Library loading error.
43,4.1.15-beta.0,N,Library loading error.
44,4.1.15-beta.1,N,Library loading error.
45,4.1.15-beta.2,N,Library loading error.
46,4.1.15-beta.3,N,Library loading error.
47,4.1.15-beta.4,N,Library loading error.
48,4.1.15-beta.5,N,Library loading error.
49,4.1.16,N,Library loading error.
50,4.1.16-beta.0,N,Library loading error.
51,4.1.17,N,Library loading error.
52,4.1.18,N,Library loading error.
53,4.1.19,N,Library loading error.
54,4.1.2,N,Library loading error.
55,4.1.2-beta.0,N,Library loading error.
56,4.1.2-beta.1,N,Library loading error.
57,4.1.20,N,Library loading error.
58,4.1.21,N,Library loading error.
59,4.1.22,N,Library loading error.
60,4.1.23,N,Library loading error.
61,4.1.23-beta.0,N,Library loading error.
62,4.1.3,N,Library loading error.
63,4.1.3-beta.0,N,Library loading error.
64,4.1.3-beta.1,N,Library loading error.
65,4.1.4,N,Library loading error.
66,4.1.4-beta.0,N,Library loading error.
67,4.1.4-beta.1,N,Library loading error.
68,4.1.4-beta.2,N,Library loading error.
69,4.1.4-beta.3,N,Library loading error.
70,4.1.4-beta.4,N,Library loading error.
71,4.1.5,N,Library loading error.
72,4.1.5-beta.0,N,Library loading error.
73,4.1.6,N,Library loading error.
74,4.1.6-beta.0,N,Library loading error.
75,4.1.6-beta.1,N,Library loading error.
76,4.1.6-beta.2,N,Library loading error.
77,4.1.6-beta.3,N,Library loading error.
78,4.1.7,N,Library loading error.
79,4.1.7-beta.0,N,Library loading error.
80,4.1.7-beta.1,N,Library loading error.
81,4.1.7-beta.2,N,Library loading error.
82,4.1.7-beta.3,N,Library loading error.
83,4.1.7-beta.4,N,Library loading error.
84,4.1.8,N,Library loading error.
85,4.1.8-beta.0,N,Library loading error.
86,4.1.8-beta.1,N,Library loading error.
87,4.1.9,N,Library loading error.
