,Version,Success,Description
0,3.20.0,N,Library loading error.
1,3.21.0,N,Library loading error.
2,3.22.0,N,Library loading error.
3,3.22.1,N,Library loading error.
4,3.22.2,N,Library loading error.
5,3.22.3,N,Library loading error.
6,3.23.0,N,Library loading error.
7,3.23.1,N,Library loading error.
8,3.24.0,N,Library loading error.
9,3.25.0,N,Library loading error.
10,3.26.0,N,Library loading error.
11,3.26.1,N,Library loading error.
12,3.27.0,N,Library loading error.
13,3.28.0,N,Library loading error.
14,3.28.1,N,Library loading error.
15,3.28.2,N,Library loading error.
16,3.29.0,N,Library loading error.
17,3.30.0,N,Library loading error.
18,3.30.1,N,Library loading error.
19,3.31.0,N,Library loading error.
20,3.32.0,N,Library loading error.
21,3.32.1,N,Library loading error.
22,3.33.0,N,Library loading error.
23,3.34.0,N,Library loading error.
24,3.34.1,N,Library loading error.
25,3.35.0,N,Library loading error.
26,3.36.0,N,Library loading error.
27,3.37.0,N,Library loading error.
28,3.38.0,N,Library loading error.
29,3.38.1,N,Library loading error.
30,3.38.2,N,Library loading error.
31,3.39.0,N,Library loading error.
32,3.40.0,N,Library loading error.
33,3.40.1,N,Library loading error.
34,3.41.0,N,Library loading error.
35,3.42.0,N,Library loading error.
36,3.43.0,N,Library loading error.
37,3.44.0,N,Library loading error.
38,3.44.1,N,Library loading error.
39,3.44.2,N,Library loading error.
40,3.44.3,N,Library loading error.
41,3.45.0,N,Library loading error.
42,3.46.0,N,Library loading error.
43,3.47.0,N,Library loading error.
44,3.48.0,N,Library loading error.
45,3.49.0,N,Library loading error.
46,3.49.1,N,Library loading error.
47,3.50.0,N,Library loading error.
48,3.50.1,N,Library loading error.
49,3.50.2,N,Library loading error.
50,3.50.3,N,Library loading error.
51,3.50.4,N,Library loading error.
52,3.51.0,N,Library loading error.
53,3.51.1,N,Library loading error.
54,3.51.2,N,Library loading error.
55,3.51.3,N,Library loading error.
56,3.52.0,N,Library loading error.
57,3.53.0,N,Library loading error.
58,3.54.0,N,Library loading error.
59,4.0.0,N,Library loading error.
60,4.0.0-alpha.0,N,Library loading error.
61,4.0.0-beta.0,N,Library loading error.
62,4.0.0-beta.1,N,Library loading error.
63,4.0.0-beta.10,N,Library loading error.
64,4.0.0-beta.11,N,Library loading error.
65,4.0.0-beta.12,N,Library loading error.
66,4.0.0-beta.13,N,Library loading error.
67,4.0.0-beta.14,N,Library loading error.
68,4.0.0-beta.15,N,Library loading error.
69,4.0.0-beta.2,N,Library loading error.
70,4.0.0-beta.3,N,Library loading error.
71,4.0.0-beta.4,N,Library loading error.
72,4.0.0-beta.5,N,Library loading error.
73,4.0.0-beta.6,N,Library loading error.
74,4.0.0-beta.7,N,Library loading error.
75,4.0.0-beta.8,N,Library loading error.
76,4.0.0-beta.9,N,Library loading error.
77,4.0.0-rc.0,N,Library loading error.
78,4.0.0-rc.1,N,Library loading error.
79,4.0.0-rc.2,N,Library loading error.
80,4.0.1,N,Library loading error.
81,4.0.2,N,Library loading error.
82,4.0.3,N,Library loading error.
83,4.0.4,N,Library loading error.
84,4.1.0,N,Library loading error.
85,4.1.1,N,Library loading error.
86,4.1.2,N,Library loading error.
87,4.10.0,N,Library loading error.
88,4.10.1,N,Library loading error.
89,4.10.2,N,Library loading error.
90,4.11.0,Y,
91,4.11.1,Y,
92,4.11.2,N,Library loading error.
93,4.11.3,N,Library loading error.
94,4.11.4,N,Library loading error.
95,4.11.5,N,Library loading error.
96,4.11.6,N,Library loading error.
97,4.12.0,N,Library loading error.
98,4.13.0,N,Library loading error.
99,4.14.0,Y,
100,4.14.1,Y,
101,4.14.2,Y,
102,4.14.3,Y,
103,4.15.0,Y,
104,4.15.1,Y,
105,4.16.0,Y,
106,4.16.1,Y,
107,4.16.2,Y,
108,4.16.3,Y,
109,4.17.0,Y,
110,4.17.1,Y,
111,4.17.2,Y,
112,4.17.3,Y,
113,4.17.4,Y,
114,4.17.5,Y,
115,4.17.6,Y,
116,4.17.7,Y,
117,4.17.8,Y,
118,4.18.0,Y,
119,4.19.0,N,Library loading error.
120,4.19.1,N,Library loading error.
121,4.19.2,N,Library loading error.
122,4.19.3,N,Library loading error.
123,4.19.4,N,Library loading error.
124,4.19.5,N,Library loading error.
125,4.2.0,N,Library loading error.
126,4.2.1,N,Library loading error.
127,4.2.2,N,Library loading error.
128,4.20.0,N,Library loading error.
129,4.20.1,N,Library loading error.
130,4.20.2,N,Library loading error.
131,4.3.0,N,Library loading error.
132,4.3.1,N,Library loading error.
133,4.3.2,N,Library loading error.
134,4.4.0,N,Library loading error.
135,4.4.1,N,Library loading error.
136,4.5.0,N,Library loading error.
137,4.5.1,N,Library loading error.
138,4.6.0,N,Library loading error.
139,4.6.1,N,Library loading error.
140,4.7.0,N,Library loading error.
141,4.8.0,N,Library loading error.
142,4.9.0,N,Library loading error.
143,4.9.1,N,Library loading error.
144,4.9.2,N,Library loading error.
145,4.9.3,N,Library loading error.
146,4.9.4,N,Library loading error.
147,5.0.0,N,Library loading error.
148,5.0.0-alpha.1,N,Library loading error.
149,5.0.0-alpha.2,N,Library loading error.
150,5.0.0-alpha.3,N,Library loading error.
151,5.0.0-alpha.4,N,Library loading error.
152,5.0.0-alpha.5,N,Library loading error.
153,5.0.0-alpha.6,N,Library loading error.
154,5.0.0-alpha.7,N,Library loading error.
155,5.0.0-beta.0,N,Library loading error.
156,5.0.0-beta.1,N,Library loading error.
157,5.0.0-beta.2,N,Library loading error.
158,5.0.0-rc.0,N,Library loading error.
159,5.0.1,N,Library loading error.
160,5.1.0,N,Library loading error.
161,5.1.1,N,Library loading error.
162,5.1.2,N,Library loading error.
163,5.1.3,N,Library loading error.
164,5.1.4,N,Library loading error.
165,5.1.5,N,Library loading error.
166,5.2.0,N,Library loading error.
167,5.2.1,N,Library loading error.
168,5.3.0,N,Library loading error.
169,5.3.1,N,Library loading error.
170,5.3.2,N,Library loading error.
171,5.3.3,N,Library loading error.
172,5.4.0,N,Library loading error.
173,5.5.0,N,Library loading error.
174,5.5.1,N,Library loading error.
175,5.6.0,N,Library loading error.
176,5.7.0,N,Library loading error.
177,5.7.1,N,Library loading error.
178,5.7.2,N,Library loading error.
