,Version,Success,Description
0,1.0.0,Y,
1,1.1.0,Y,
2,1.1.1,Y,
3,1.1.2,Y,
4,2.0.0,Y,
5,2.0.1,Y,
6,2.1.0,Y,
7,2.1.1,Y,
8,2.1.2,Y,
9,2.2.0,Y,
10,2.3.0,Y,
11,2.3.1,Y,
12,2.3.2,Y,
13,2.3.3,Y,
14,2.4.0,Y,
15,2.4.1,Y,
16,2.4.2,Y,
17,2.5.0,Y,
18,2.5.1,Y,
19,3.0.0,Y,
20,3.1.0,Y,
21,3.2.0,Y,
22,3.3.0,Y,
23,4.0.0,N,Library loading error.
24,4.1.0,N,Library loading error.
25,4.2.0,Y,
26,4.3.0,Y,
27,4.4.0,Y,
28,5.3.2,N,Library loading error.
29,5.3.3,N,Library loading error.
30,5.3.4,N,Library loading error.
31,5.4.0,Y,
32,5.4.1,Y,
33,5.5.2,Y,
34,5.5.3,Y,
35,6.0.0,Y,
