,Version,Success,Description
0,1.0.0,N,Library loading error.
1,1.0.1,N,Library loading error.
2,1.0.2,N,Library loading error.
3,1.0.2-rc.1,N,Library loading error.
4,1.0.2-rc.1.1,N,Library loading error.
5,1.0.2-rc.2,N,Library loading error.
6,1.1.0,N,Library loading error.
7,1.1.1,N,Library loading error.
8,1.1.2,N,Library loading error.
9,1.1.3,N,Library loading error.
10,1.10.0,N,Library loading error.
11,1.2.0,N,Library loading error.
12,1.2.0-rc.1,N,Library loading error.
13,1.3.0,N,Library loading error.
14,1.3.0-rc.1,N,Library loading error.
15,1.3.0-rc.2,N,Library loading error.
16,1.3.0-rc.3,N,Library loading error.
17,1.3.0-rc.4,N,Library loading error.
18,1.3.0-rc.5,N,Library loading error.
19,1.3.0-rc.6,N,Library loading error.
20,1.3.1,N,Library loading error.
21,1.4.0,N,Library loading error.
22,1.4.1,N,Library loading error.
23,1.5.0,N,Library loading error.
24,1.5.0-RC1,N,Library loading error.
25,1.5.1,N,Library loading error.
26,1.6.0,N,Library loading error.
27,1.6.0-alpha,N,Library loading error.
28,1.6.1,N,Library loading error.
29,1.6.2,N,Library loading error.
30,1.6.3,N,Library loading error.
31,1.6.4,N,Library loading error.
32,1.7.0,N,Library loading error.
33,1.7.0-RC1,N,Library loading error.
34,1.7.0-RC2,N,Library loading error.
35,1.7.0-RC3,N,Library loading error.
36,1.7.1,N,Library loading error.
37,1.8.0,N,Library loading error.
38,1.9.0,N,Library loading error.
