,Version,Success,Description
0,1.10.0,N,Library loading error.
1,1.11.0,N,Library loading error.
2,1.11.1,N,Library loading error.
3,1.11.2,N,Library loading error.
4,1.12.0,N,Library loading error.
5,1.12.1,N,Library loading error.
6,1.12.2,N,Library loading error.
7,1.12.3,N,Library loading error.
8,1.12.4,N,Library loading error.
9,1.13.0,N,Library loading error.
10,1.13.0-alpha,N,Library loading error.
11,1.13.0-beta,N,Library loading error.
12,1.13.1,N,Library loading error.
13,1.13.10,N,Library loading error.
14,1.13.11,N,Library loading error.
15,1.13.12,N,Library loading error.
16,1.13.13,N,Library loading error.
17,1.13.14,N,Library loading error.
18,1.13.15,N,Library loading error.
19,1.13.16,N,Library loading error.
20,1.13.17,N,Library loading error.
21,1.13.18,N,Library loading error.
22,1.13.2,N,Library loading error.
23,1.13.3,N,Library loading error.
24,1.13.4,N,Library loading error.
25,1.13.5,N,Library loading error.
26,1.13.6,N,Library loading error.
27,1.13.7,N,Library loading error.
28,1.13.8,N,Library loading error.
29,1.13.9,N,Library loading error.
30,1.14.0-beta,N,Library loading error.
31,1.14.0-beta2,N,Library loading error.
32,1.14.0-beta3,N,Library loading error.
33,1.3.5,N,Library loading error.
34,1.4.1,N,Library loading error.
35,1.5.4,N,Library loading error.
36,1.6.0,N,Library loading error.
37,1.6.1,N,Library loading error.
38,1.6.2,N,Library loading error.
39,1.6.3,N,Library loading error.
40,1.6.4,N,Library loading error.
41,1.6.5,N,Library loading error.
42,1.7.0,N,Library loading error.
43,1.7.0-rc1,N,Library loading error.
44,1.7.0-rc2,N,Library loading error.
45,1.7.0-rc3,N,Library loading error.
46,1.7.0-rc4,N,Library loading error.
47,1.7.0-rc5,N,Library loading error.
48,1.7.0-rc6,N,Library loading error.
49,1.7.1,N,Library loading error.
50,1.7.2,N,Library loading error.
51,1.7.3,N,Library loading error.
52,1.7.4,N,Library loading error.
53,1.7.5,N,Library loading error.
54,1.7.7,N,Library loading error.
55,1.8.0,N,Library loading error.
56,1.8.1,N,Library loading error.
57,1.9.0,N,Library loading error.
58,1.9.1,N,Library loading error.
59,1.9.2,N,Library loading error.
60,1.9.3,N,Library loading error.
61,1.9.4,N,Library loading error.
62,2.0.0-beta1,N,Library loading error.
