,Version,Success,Description
0,1.3,N,Library loading error.
1,1.4,N,Library loading error.
2,1.5,N,Library loading error.
3,1.6,N,Library loading error.
4,1.7,N,Library loading error.
5,1.8,N,Library loading error.
6,1.9,N,Library loading error.
7,2.0.0,N,Library loading error.
8,2.0.1,N,Library loading error.
9,3.0.0,N,Library loading error.
10,3.0.0rc,N,Library loading error.
11,3.0.1,N,Library loading error.
12,3.0.2,N,Library loading error.
13,3.1.0,N,Library loading error.
14,3.2.0,N,Library loading error.
15,3.2.1,N,Library loading error.
16,3.2.2,N,Library loading error.
17,3.3.0,N,Library loading error.
18,3.3.1,N,Library loading error.
19,3.3.2,N,Library loading error.
20,3.3.3,N,Library loading error.
21,3.3.4,N,Library loading error.
22,3.3.5,Y,
23,3.4.0,Y,
24,4.0.0-alpha.1,N,Library loading error.
