,Version,Success,Description
0,2.0.0-alpha.10,Y,
1,2.0.0-alpha.11,Y,
2,2.0.0-alpha.12,Y,
3,2.0.0-alpha.3,Y,
4,2.0.0-alpha.4,Y,
5,2.0.0-alpha.5,Y,
6,2.0.0-alpha.6,Y,
7,2.0.0-alpha.7,Y,
8,2.0.0-alpha.8,Y,
9,2.0.0-alpha.9,Y,
10,2.0.0-beta.1,Y,
11,2.0.0-beta.10,N,Library loading error.
12,2.0.0-beta.11,N,Library loading error.
13,2.0.0-beta.12,N,Library loading error.
14,2.0.0-beta.13,N,Library loading error.
15,2.0.0-beta.14,N,Library loading error.
16,2.0.0-beta.15,N,Library loading error.
17,2.0.0-beta.16,N,Library loading error.
18,2.0.0-beta.17,N,Library loading error.
19,2.0.0-beta.18,N,Library loading error.
20,2.0.0-beta.19,N,Library loading error.
21,2.0.0-beta.2,Y,
22,2.0.0-beta.20,N,Library loading error.
23,2.0.0-beta.21,N,Library loading error.
24,2.0.0-beta.22,N,Library loading error.
25,2.0.0-beta.23,N,Library loading error.
26,2.0.0-beta.3,N,Library loading error.
27,2.0.0-beta.4,Y,
28,2.0.0-beta.5,Y,
29,2.0.0-beta.6,N,Library loading error.
30,2.0.0-beta.7,N,Library loading error.
31,2.0.0-beta.8,N,Library loading error.
32,2.0.0-beta.9,N,Library loading error.
