,Version,Success,Description
0,0.0.10,Y,
1,0.0.11,Y,
2,0.0.12,Y,
3,0.0.13,Y,
4,0.0.14,Y,
5,0.0.15,Y,
6,0.0.16,Y,
7,0.0.17,Y,
8,0.0.18,Y,
9,0.0.19,Y,
10,0.0.20,Y,
11,0.0.21,Y,
12,0.0.22,Y,
13,0.0.23,Y,
14,0.0.24,Y,
15,0.0.25,Y,
16,0.0.26,Y,
17,0.0.27,Y,
18,0.0.28,Y,
19,0.0.4,Y,
20,0.0.5,Y,
21,0.0.6,Y,
22,0.0.7,Y,
23,0.0.8,Y,
24,0.0.9,Y,
25,0.1.0,Y,
26,0.1.1,Y,
27,0.1.2,Y,
28,0.2.0,Y,
29,0.2.1,Y,
30,0.2.3,Y,
31,0.3.0,Y,
32,0.3.1,Y,
33,0.3.2,Y,
34,0.4.0,Y,
35,0.4.1,Y,
36,0.4.2,Y,
37,0.4.3,Y,
38,0.4.4,Y,
39,0.5.0,Y,
40,0.5.1,Y,
41,0.5.2,Y,
42,0.5.3,Y,
43,0.6.0,Y,
44,0.6.1,Y,
45,0.6.2,Y,
46,0.7.0,Y,
47,0.7.1,Y,
48,0.7.2,Y,
49,0.7.4,Y,
50,0.7.5,Y,
51,0.8.0,Y,
52,0.8.1,Y,
53,0.8.2,Y,
54,0.9.0,Y,
55,0.9.1,Y,
56,0.9.2,Y,
57,0.9.3,Y,
58,0.9.4,Y,
