,Version,Success,Description
0,4.0.100,Y,
1,4.0.101,Y,
2,4.0.102,Y,
3,4.0.103,Y,
4,4.0.104,Y,
5,4.0.105,Y,
6,4.0.106,Y,
7,4.0.107,Y,
8,4.0.108,Y,
9,4.0.109,Y,
10,4.0.110,Y,
11,4.0.111,Y,
12,4.0.112,Y,
13,4.0.88,Y,
14,4.0.89,Y,
15,4.0.90,Y,
16,4.0.91,Y,
17,4.0.93,Y,
18,4.0.94,Y,
19,4.0.95,Y,
20,4.0.96,Y,
21,4.0.97,Y,
22,4.0.98,Y,
23,4.0.99,Y,
24,4.1.1,Y,
25,4.1.10,Y,
26,4.1.100,N,Library loading error.
27,4.1.11,Y,
28,4.1.12,Y,
29,4.1.13,Y,
30,4.1.14,Y,
31,4.1.16,Y,
32,4.1.17,Y,
33,4.1.18,Y,
34,4.1.19,Y,
35,4.1.2,Y,
36,4.1.20,Y,
37,4.1.22,Y,
38,4.1.23,Y,
39,4.1.24,Y,
40,4.1.25,Y,
41,4.1.26,Y,
42,4.1.27,Y,
43,4.1.28,Y,
44,4.1.29,Y,
45,4.1.3,Y,
46,4.1.30,Y,
47,4.1.31,Y,
48,4.1.32,Y,
49,4.1.33,Y,
50,4.1.34,Y,
51,4.1.35,Y,
52,4.1.36,Y,
53,4.1.37,Y,
54,4.1.38,Y,
55,4.1.39,Y,
56,4.1.4,Y,
57,4.1.40,Y,
58,4.1.41,Y,
59,4.1.43,Y,
60,4.1.44,Y,
61,4.1.45,Y,
62,4.1.46,Y,
63,4.1.47,Y,
64,4.1.48,Y,
65,4.1.49,Y,
66,4.1.5,Y,
67,4.1.50,Y,
68,4.1.51,Y,
69,4.1.52,Y,
70,4.1.53,Y,
71,4.1.54,Y,
72,4.1.55,Y,
73,4.1.56,Y,
74,4.1.57,Y,
75,4.1.58,Y,
76,4.1.59,Y,
77,4.1.6,Y,
78,4.1.60,Y,
79,4.1.61,Y,
80,4.1.62,Y,
81,4.1.63,Y,
82,4.1.64,Y,
83,4.1.65,Y,
84,4.1.66,Y,
85,4.1.67,Y,
86,4.1.68,Y,
87,4.1.69,Y,
88,4.1.7,Y,
89,4.1.70,Y,
90,4.1.71,Y,
91,4.1.72,Y,
92,4.1.73,Y,
93,4.1.74,Y,
94,4.1.75,Y,
95,4.1.76,Y,
96,4.1.77,Y,
97,4.1.78,Y,
98,4.1.79,Y,
99,4.1.8,Y,
100,4.1.80,Y,
101,4.1.81,Y,
102,4.1.82,Y,
103,4.1.83,Y,
104,4.1.84,Y,
105,4.1.85,Y,
106,4.1.86,Y,
107,4.1.87,Y,
108,4.1.88,Y,
109,4.1.89,Y,
110,4.1.9,Y,
111,4.1.90,Y,
112,4.1.91,Y,
113,4.1.94,Y,
114,4.1.95,Y,
115,4.1.96,Y,
116,4.1.97,N,Library loading error.
117,4.1.98,N,Library loading error.
118,4.1.99,N,Library loading error.
119,4.2.1,N,Library loading error.
