,Version,Success,Description
0,1.100.0,Y,
1,1.101.0,Y,
2,1.102.0,Y,
3,1.103.0,Y,
4,1.104.0,Y,
5,1.105.0,Y,
6,1.105.1,Y,
7,1.105.2,Y,
8,1.106.0,Y,
9,1.106.1,Y,
10,1.107.0,Y,
11,1.107.1,Y,
12,1.107.2,Y,
13,1.108.0,Y,
14,1.109.0,Y,
15,1.110.0,Y,
16,1.110.1,Y,
17,1.111.0,Y,
18,1.112.0,Y,
19,1.69.0,Y,
20,1.70.0,Y,
21,1.70.1,Y,
22,1.71.0,Y,
23,1.72.0,Y,
24,1.73.0,Y,
25,1.74.0,Y,
26,1.75.0,Y,
27,1.76.0,Y,
28,1.77.0,Y,
29,1.78.0,Y,
30,1.79.0,Y,
31,1.79.1,Y,
32,1.80.0,Y,
33,1.81.0,Y,
34,1.82.0,Y,
35,1.82.1,Y,
36,1.83.0,Y,
37,1.84.0,Y,
38,1.85.0,Y,
39,1.86.0,Y,
40,1.86.1,Y,
41,1.87.0,Y,
42,1.87.1,Y,
43,1.88.0,Y,
44,1.89.0,Y,
45,1.90.0,Y,
46,1.91.0,Y,
47,1.92.0,Y,
48,1.93.0,Y,
49,1.94.0,Y,
50,1.94.1,Y,
51,1.94.2,Y,
52,1.94.3,Y,
53,1.95.0,Y,
54,1.96.0,Y,
55,1.97.0,Y,
56,1.98.0,Y,
57,1.98.1,Y,
58,1.99.0,Y,
