,Version,Success,Description
0,0.0.1,Y,
1,0.0.2,Y,
2,0.1.0,Y,
3,0.1.1,Y,
4,0.1.2,Y,
5,0.1.3,Y,
6,0.1.4,Y,
7,0.1.5,Y,
8,0.1.6,Y,
9,0.1.7,Y,
10,0.2.0,Y,
11,0.2.1,Y,
12,0.2.2,Y,
13,0.2.3,Y,
14,0.2.4,Y,
15,0.3.0,Y,
16,0.3.1,Y,
17,0.3.2,Y,
18,0.3.3,Y,
19,0.3.4,Y,
20,0.4.0,Y,
21,0.4.1,Y,
22,0.4.2,Y,
23,0.5.0,Y,
24,0.5.1,Y,
25,0.5.2,Y,
26,0.5.3,Y,
27,1.0.0,Y,
28,1.0.1,Y,
29,1.0.2,Y,
30,1.0.3,Y,
31,1.0.4,Y,
32,1.1.0,Y,
33,1.1.1,Y,
34,1.10.0,Y,
35,1.2.0,Y,
36,1.3.0,Y,
37,1.4.0,Y,
38,1.4.1,Y,
39,1.4.2,Y,
40,1.5.0,Y,
41,1.6.0,Y,
42,1.6.1,Y,
43,1.7.0,Y,
44,1.7.1,Y,
45,1.7.2,Y,
46,1.8.0,Y,
47,1.8.1,Y,
48,1.9.0,Y,
49,1.9.1,Y,
50,1.9.2,Y,
51,2.0.0,Y,
52,2.1.0,Y,
53,2.1.1,Y,
54,2.1.2,Y,
55,2.2.0,Y,
56,2.3.0,Y,
57,3.0.0,Y,
58,3.1.0,Y,
59,3.2.0,Y,
60,3.3.0,Y,
61,3.4.0,Y,
62,3.4.1,Y,
63,3.5.0,Y,
64,4.0.0,Y,
65,4.0.0-canary.1,Y,
66,4.0.0-canary.2,Y,
67,4.0.1,Y,
68,4.0.2,Y,
69,4.1.0,Y,
70,4.1.1,Y,
71,4.1.2,Y,
72,4.2.0,Y,
73,4.3.0,Y,
74,4.3.1,Y,
75,4.3.10,Y,
76,4.3.2,Y,
77,4.3.3,Y,
78,4.3.4,Y,
79,4.3.5,Y,
80,4.3.6,Y,
81,4.3.7,Y,
82,4.3.8,Y,
83,4.3.9,Y,
84,5.0.0,N,Library loading error.
85,5.0.0-alpha.0,N,Library loading error.
86,5.0.0-alpha.1,N,Library loading error.
87,5.0.0-alpha.2,N,Library loading error.
88,5.0.0-rc.0,N,Library loading error.
