,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.2.0,Y,
3,0.2.1,Y,
4,0.3.0,Y,
5,0.3.1,Y,
6,0.3.3,Y,
7,0.4.0,Y,
8,0.4.2,Y,
9,0.4.3,Y,
10,0.5.0,Y,
11,0.5.1,Y,
12,0.5.2,Y,
13,0.5.3,Y,
14,0.5.4,Y,
15,0.5.5,Y,
16,0.5.6,Y,
17,0.5.7,Y,
18,0.5.8,Y,
19,0.5.9,Y,
20,0.6.0,Y,
21,0.6.1,Y,
22,0.6.2,Y,
23,0.6.3,Y,
24,0.6.4,Y,
25,0.7.0,Y,
26,0.7.1,Y,
27,0.7.2,Y,
28,0.7.3,Y,
29,0.7.4,Y,
30,0.7.5,Y,
31,0.7.6,Y,
32,0.7.7,Y,
33,0.8.0,Y,
34,1.0.0,Y,
35,1.0.1,Y,
36,1.0.10,Y,
37,1.0.11,Y,
38,1.0.12,Y,
39,1.0.13,Y,
40,1.0.14,Y,
41,1.0.15,Y,
42,1.0.16,Y,
43,1.0.17,Y,
44,1.0.18,Y,
45,1.0.2,Y,
46,1.0.3,Y,
47,1.0.4,Y,
48,1.0.5,Y,
49,1.0.6,Y,
50,1.0.7,Y,
51,1.0.8,Y,
52,1.0.9,Y,
53,1.1.0,Y,
54,1.1.10,Y,
55,1.1.11,Y,
56,1.1.2,Y,
57,1.1.3,Y,
58,1.1.4,Y,
59,1.1.5,Y,
60,1.1.6,Y,
61,1.1.7,Y,
62,1.1.8,Y,
63,1.1.9,Y,
