,Version,Success,Description
0,0.15.0,N,Library loading error.
1,0.16.0,N,Library loading error.
2,0.17.0,N,Library loading error.
3,0.18.0,N,Library loading error.
4,0.19.0,N,Library loading error.
5,0.20.0,N,Library loading error.
6,0.22.0,N,Library loading error.
7,1.0.0-rc.1,N,Library loading error.
8,1.0.0-rc.10,N,Library loading error.
9,1.0.0-rc.11,N,Library loading error.
10,1.0.0-rc.12,N,Library loading error.
11,1.0.0-rc.2,N,Library loading error.
12,1.0.0-rc.3,N,Library loading error.
13,1.0.0-rc.4,N,Library loading error.
14,1.0.0-rc.5,N,Library loading error.
15,1.0.0-rc.6,N,Library loading error.
16,1.0.0-rc.7,Y,
17,1.0.0-rc.8,N,Library loading error.
18,1.0.0-rc.9,N,Library loading error.
