,Version,Success,Description
0,3.1.0,Y,
1,3.1.1,Y,
2,3.1.2,Y,
3,3.2.0,Y,
4,3.2.2,Y,
5,3.3.0,Y,
6,4.0.0,Y,
7,4.0.0-0,Y,
8,4.0.0-1,Y,
9,4.0.0-2,Y,
10,4.0.0-3,Y,
11,4.0.0-4,Y,
12,4.0.0-5,Y,
13,4.0.0-6,Y,
14,4.0.0-7,Y,
15,4.0.1,Y,
16,4.0.1-0,Y,
17,4.0.3,Y,
18,4.0.4,Y,
19,4.1.0,Y,
20,6.0.0,Y,
21,6.0.0-4,Y,
22,6.0.1,Y,
23,6.1.0,Y,
24,6.10.0,Y,
25,6.10.1,Y,
26,6.10.2,Y,
27,6.10.3,Y,
28,6.11.0,Y,
29,6.11.0-preview1,Y,
30,6.12.0,Y,
31,6.12.1,Y,
32,6.13.0,Y,
33,6.13.1,Y,
34,6.13.2,Y,
35,6.13.3,Y,
36,6.2.0,Y,
37,6.3.0,Y,
38,6.4.1,Y,
39,6.4.2,Y,
40,6.4.3,Y,
41,6.4.4,Y,
42,6.5.0,Y,
43,6.5.1,Y,
44,6.6.0,Y,
45,6.6.1,Y,
46,6.7.0,Y,
47,6.8.0,Y,
48,6.9.0,Y,
49,7.0.0,Y,
50,7.0.0-0,Y,
51,7.1.0,Y,
