,Version,Success,Description
0,0.10.0,Y,
1,0.10.0-alpha,Y,
2,0.10.0-alpha.2,Y,
3,0.10.0-alpha.3,Y,
4,0.10.0-alpha.4,Y,
5,0.10.0-alpha.5,Y,
6,0.10.0-alpha.6,Y,
7,0.10.0-patch,Y,
8,0.10.0-rc.1,Y,
9,0.10.1,Y,
10,0.10.10,Y,
11,0.10.11,Y,
12,0.10.12,Y,
13,0.10.13,Y,
14,0.10.14,Y,
15,0.10.15,Y,
16,0.10.16,Y,
17,0.10.17,Y,
18,0.10.18,Y,
19,0.10.19,Y,
20,0.10.2,Y,
21,0.10.20,Y,
22,0.10.21,Y,
23,0.10.22,Y,
24,0.10.23,Y,
25,0.10.24,Y,
26,0.10.25,Y,
27,0.10.26,Y,
28,0.10.27,Y,
29,0.10.28,Y,
30,0.10.3,Y,
31,0.10.4,Y,
32,0.10.5,Y,
33,0.10.6,Y,
34,0.10.7,Y,
35,0.10.8,Y,
36,0.10.8-alpha.1,Y,
37,0.10.8-alpha.2,Y,
38,0.10.9,Y,
39,0.6.0,Y,
40,0.6.0-beta.0,Y,
41,0.6.0-beta.1,Y,
42,0.6.0-beta.2,Y,
43,0.6.1,Y,
44,0.6.2,Y,
45,0.6.3,Y,
46,0.6.4,Y,
47,0.7.0,Y,
48,0.7.1,Y,
49,0.7.2,Y,
50,0.7.3,Y,
51,0.7.4,Y,
52,0.7.5,Y,
53,0.7.6,Y,
54,0.8.0,Y,
55,0.8.0-alpha,Y,
56,0.8.0-alpha2,Y,
57,0.8.0-alpha3,Y,
58,0.8.1,Y,
59,0.8.10,Y,
60,0.8.11,Y,
61,0.8.12,Y,
62,0.8.13,Y,
63,0.8.14,Y,
64,0.8.15,Y,
65,0.8.16,Y,
66,0.8.17,Y,
67,0.8.18,Y,
68,0.8.2,Y,
69,0.8.3,Y,
70,0.8.4,Y,
71,0.8.5,Y,
72,0.8.6,Y,
73,0.8.7,Y,
74,0.8.8,Y,
75,0.8.9,Y,
76,0.9.0,Y,
77,0.9.0-alpha.1,Y,
78,0.9.0-alpha.2,Y,
79,0.9.0-beta.1,Y,
80,0.9.1,Y,
81,0.9.10,Y,
82,0.9.11,Y,
83,0.9.12,Y,
84,0.9.13,Y,
85,0.9.14,Y,
86,0.9.15,Y,
87,0.9.16,Y,
88,0.9.17,Y,
89,0.9.18,Y,
90,0.9.19,Y,
91,0.9.2,Y,
92,0.9.20,Y,
93,0.9.3,Y,
94,0.9.4,Y,
95,0.9.4-patch,Y,
96,0.9.5,Y,
97,0.9.5-patch,Y,
98,0.9.6,Y,
99,0.9.7,Y,
100,0.9.8,Y,
101,0.9.9,Y,
