,Version,Success,Description
0,0.0.4,Y,
1,0.0.5,Y,
2,0.0.7,Y,
3,0.1.0,Y,
4,0.2.0,N,Library loading error.
5,0.2.1,Y,
6,0.3.0,Y,
7,0.3.2,Y,
8,0.4.0,Y,
9,0.4.1,Y,
10,0.4.10,Y,
11,0.4.11,Y,
12,0.4.2,Y,
13,0.4.3,Y,
14,0.4.5,Y,
15,0.4.6,Y,
16,0.4.7,Y,
17,0.4.8,Y,
18,0.4.9,Y,
19,0.5.0,Y,
20,0.5.1,Y,
21,0.5.2,Y,
22,0.6.0,Y,
23,0.6.1,Y,
24,0.6.10,Y,
25,0.6.11,Y,
26,0.6.12,Y,
27,0.6.14,Y,
28,0.6.2,Y,
29,0.6.3,Y,
30,0.6.5,Y,
31,0.6.7,Y,
32,0.6.9,Y,
33,0.7.0,Y,
34,0.7.10,Y,
35,0.7.11,Y,
36,0.7.12,Y,
37,0.7.14,Y,
38,0.7.15,Y,
39,0.7.16,Y,
40,0.7.17,Y,
41,0.7.20,Y,
42,0.7.21,Y,
43,0.7.22,Y,
44,0.7.23,Y,
45,0.7.3,Y,
46,0.7.4,Y,
47,0.7.5,Y,
48,0.7.6,Y,
49,0.7.7,Y,
50,0.7.8,Y,
51,0.7.9,Y,
52,0.8.0,Y,
53,0.9.0,Y,
54,0.9.1,Y,
55,0.9.2,Y,
56,1.0.0,Y,
57,1.0.1,Y,
58,1.0.10,Y,
59,1.0.2,Y,
60,1.0.3,Y,
61,1.0.4,Y,
62,1.0.5,Y,
63,1.0.6,Y,
64,1.0.7,Y,
65,1.0.8,Y,
66,1.0.9,Y,
67,1.1.0,Y,
68,1.1.1,Y,
69,1.1.2,Y,
70,1.1.3,Y,
71,1.1.4,Y,
72,1.1.5,Y,
73,1.2.0,Y,
74,1.2.1,Y,
75,1.3.0,Y,
76,1.3.1,Y,
77,1.3.2,Y,
78,1.3.3,Y,
79,1.3.4,Y,
80,1.3.5,Y,
81,1.3.6,Y,
82,1.3.7,Y,
83,1.3.8,Y,
84,1.4.0,Y,
85,1.4.1,Y,
86,1.4.10,Y,
87,1.4.2,Y,
88,1.4.3,Y,
89,1.4.4,Y,
90,1.4.6,Y,
91,1.4.7,Y,
92,1.4.8,Y,
93,1.4.9,Y,
94,1.5.0,Y,
95,1.5.1,Y,
96,1.5.10,Y,
97,1.5.2,Y,
98,1.5.3,Y,
99,1.5.4,Y,
100,1.5.6,Y,
101,1.5.7,Y,
102,1.5.8,Y,
103,1.5.9,Y,
104,1.6.0,Y,
