,Version,Success,Description
0,2.33.0,Y,
1,2.36.0,Y,
2,3.11.1,Y,
3,3.12.0,Y,
4,3.13.0,Y,
5,3.14.1,Y,
6,3.15.0,Y,
7,3.16.0,Y,
8,3.17.0,Y,
9,3.18.0,Y,
10,3.19.0,Y,
11,3.20.0,Y,
12,3.21.0,Y,
13,3.22.0,Y,
14,3.23.0,Y,
15,3.24.0,Y,
16,4.0.3,Y,
17,4.1.0,Y,
18,4.10.0,Y,
19,4.11.0,Y,
20,4.12.0,Y,
21,4.13.0,Y,
22,4.2.0,Y,
23,4.3.0,Y,
24,4.4.0,Y,
25,4.5.0,Y,
26,4.6.0,Y,
27,4.7.0,Y,
28,4.8.0,Y,
29,4.9.0,Y,
30,5.0.0,Y,
31,5.1.0,Y,
32,5.10.0,Y,
33,5.11.0,Y,
34,5.12.0,Y,
35,5.13.0,Y,
36,5.13.2,Y,
37,5.13.4,Y,
38,5.14.0,Y,
39,5.14.2,Y,
40,5.15.0,Y,
41,5.15.2,Y,
42,5.16.0,Y,
43,5.17.0,Y,
44,5.18.0,Y,
45,5.18.2,Y,
46,5.18.3,Y,
47,5.19.0,Y,
48,5.2.0,Y,
49,5.20.0,Y,
50,5.20.2,Y,
51,5.21.0,Y,
52,5.22.0,Y,
53,5.22.2,Y,
54,5.23.0,Y,
55,5.24.0,Y,
56,5.24.2,Y,
57,5.25.0,Y,
58,5.25.2,Y,
59,5.26.0,Y,
60,5.27.0,Y,
61,5.27.2,Y,
62,5.27.4,Y,
63,5.28.0,Y,
64,5.29.0,Y,
65,5.3.0,Y,
66,5.30.0,Y,
67,5.31.0,Y,
68,5.32.0,Y,
69,5.33.0,Y,
70,5.34.0,Y,
71,5.35.0,Y,
72,5.36.0,Y,
73,5.37.0,Y,
74,5.38.0,Y,
75,5.39.0,Y,
76,5.39.2,Y,
77,5.4.0,Y,
78,5.40.0,Y,
79,5.40.2,Y,
80,5.41.0,Y,
81,5.42.0,Y,
82,5.42.2,Y,
83,5.43.0,Y,
84,5.44.0,Y,
85,5.45.0,Y,
86,5.46.0,Y,
87,5.47.0,Y,
88,5.48.0,Y,
89,5.48.2,Y,
90,5.48.4,Y,
91,5.49.0,Y,
92,5.49.2,Y,
93,5.5.0,Y,
94,5.50.0,Y,
95,5.50.2,Y,
96,5.51.0,Y,
97,5.52.0,Y,
98,5.52.2,Y,
99,5.53.0,Y,
100,5.53.2,Y,
101,5.54.0,Y,
102,5.55.0,Y,
103,5.56.0,Y,
104,5.57.0,Y,
105,5.58.0,Y,
106,5.58.1,Y,
107,5.58.2,Y,
108,5.58.3,Y,
109,5.59.0,Y,
110,5.59.1,Y,
111,5.59.2,Y,
112,5.59.3,Y,
113,5.59.4,Y,
114,5.6.0,Y,
115,5.60.0,Y,
116,5.61.0,Y,
117,5.61.1,Y,
118,5.62.0,Y,
119,5.62.1,Y,
120,5.62.2,Y,
121,5.62.3,Y,
122,5.63.0,Y,
123,5.63.1,Y,
124,5.63.2,Y,
125,5.63.3,Y,
126,5.64.0,Y,
127,5.65.0,Y,
128,5.65.1,Y,
129,5.65.10,Y,
130,5.65.11,Y,
131,5.65.12,Y,
132,5.65.13,Y,
133,5.65.14,Y,
134,5.65.15,Y,
135,5.65.16,Y,
136,5.65.2,Y,
137,5.65.3,Y,
138,5.65.4,Y,
139,5.65.5,Y,
140,5.65.6,Y,
141,5.65.7,Y,
142,5.65.8,Y,
143,5.65.9,Y,
144,5.7.0,Y,
145,5.8.0,Y,
146,5.9.0,Y,
147,6.0.0,Y,
148,6.0.1,Y,
149,6.65.7,Y,
