,Version,Success,Description
0,0.1.1,Y,
1,0.1.2,Y,
2,0.1.3,Y,
3,0.1.4,Y,
4,0.1.5,Y,
5,0.2.0,Y,
6,0.2.1,Y,
7,0.2.2,Y,
8,0.2.3,Y,
9,0.2.4,Y,
10,0.2.5,Y,
11,0.3.0,Y,
12,0.3.1,Y,
13,0.3.2,Y,
14,0.3.3,Y,
15,0.4.0,Y,
16,0.4.1,Y,
17,0.4.10,Y,
18,0.4.2,Y,
19,0.4.3,Y,
20,0.4.4,Y,
21,0.4.5,Y,
22,0.4.6,Y,
23,0.4.7,Y,
24,0.4.8,Y,
25,0.4.9,Y,
26,0.5.0,Y,
27,0.5.1,Y,
28,0.5.2,Y,
29,0.5.3,Y,
30,0.5.4,Y,
31,0.6.0,Y,
32,0.6.1,Y,
33,0.7.0,N,Library loading error.
34,0.7.1,N,Library loading error.
35,0.7.2,N,Library loading error.
36,0.8.0,Y,
37,0.8.1,Y,
38,0.8.2,Y,
39,0.8.3,Y,
40,0.8.4,Y,
41,0.9.0,Y,
42,0.9.1,Y,
43,0.9.10,Y,
44,0.9.11,Y,
45,0.9.12,Y,
46,0.9.13,Y,
47,0.9.14,Y,
48,0.9.15,Y,
49,0.9.16,Y,
50,0.9.17,Y,
51,0.9.18,Y,
52,0.9.2,Y,
53,0.9.3,Y,
54,0.9.4,Y,
55,0.9.5,Y,
56,0.9.6,Y,
57,0.9.7,Y,
58,0.9.8,Y,
59,0.9.9,Y,
60,1.0.0,Y,
61,1.0.1,Y,
62,1.1.0,Y,
63,1.1.1,Y,
64,1.1.2,Y,
65,1.1.3,Y,
66,1.1.4,Y,
67,1.2.0,Y,
68,1.2.1,Y,
69,1.2.2,Y,
70,1.2.3,Y,
71,1.2.4,Y,
72,1.2.5,Y,
73,1.2.6,Y,
74,1.2.7,Y,
75,2.0.0,Y,
76,2.0.0-alpha,Y,
77,2.0.0-beta,Y,
78,2.0.0-beta.2,Y,
79,2.0.1,Y,
80,2.0.2,Y,
81,2.0.3,Y,
82,2.1.0,Y,
83,2.1.1,Y,
84,2.1.2,Y,
85,2.1.3,Y,
86,2.1.4,Y,
87,2.1.5,Y,
88,2.2.0,Y,
89,2.2.1,Y,
90,2.2.2,Y,
91,2.3.0,Y,
92,2.4.0,Y,
93,2.4.1,Y,
94,2.5.0,Y,
95,2.5.1,Y,
96,2.5.2,Y,
97,2.5.3,Y,
98,2.5.4,Y,
99,2.5.5,Y,
100,2.5.6,Y,
101,2.5.7,Y,
102,2.6.0,Y,
103,2.6.1,Y,
104,2.6.10,Y,
105,2.6.11,Y,
106,2.6.2,Y,
107,2.6.3,Y,
108,2.6.4,Y,
109,2.6.5,Y,
110,2.6.6,Y,
111,2.6.7,Y,
112,2.6.8,Y,
113,2.6.9,Y,
114,3.10.0,Y,
115,3.10.1,Y,
116,3.10.2,Y,
117,3.11.0,Y,
118,3.11.1,Y,
119,3.11.2,Y,
120,3.11.3,Y,
121,3.12.0,Y,
122,3.12.1,Y,
123,3.13.0,Y,
124,3.13.1,Y,
125,3.14.0,Y,
126,3.15.0,Y,
127,3.15.1,Y,
128,3.15.2,Y,
129,3.16.0,Y,
130,3.16.1,Y,
131,3.16.2,Y,
132,3.16.3,Y,
133,3.16.4,Y,
134,3.17.0,Y,
135,3.17.1,Y,
136,3.17.2,Y,
137,3.17.3,Y,
138,3.18.0,Y,
139,3.18.1,Y,
140,3.18.2,Y,
141,3.18.3,Y,
142,3.19.0,Y,
143,3.19.1,Y,
144,3.19.2,Y,
145,3.19.3,Y,
146,3.20.0,Y,
147,3.20.1,Y,
148,3.20.2,Y,
149,3.20.3,Y,
150,3.21.0,Y,
151,3.21.1,Y,
152,3.22.0,Y,
153,3.22.1,Y,
154,3.22.2,Y,
155,3.22.3,Y,
156,3.22.4,Y,
157,3.22.5,Y,
158,3.22.6,Y,
159,3.22.7,Y,
160,3.22.8,Y,
161,3.23.0,Y,
162,3.23.1,Y,
163,3.23.2,Y,
164,3.23.3,Y,
165,3.23.4,Y,
166,3.23.5,Y,
167,3.24.0,Y,
168,3.24.1,Y,
169,3.25.0,Y,
170,3.25.1,Y,
171,3.25.2,Y,
172,3.25.3,Y,
173,3.25.4,Y,
174,3.25.5,Y,
175,3.26.0,Y,
176,3.26.1,Y,
177,3.27.0,Y,
178,3.27.1,Y,
179,3.27.2,Y,
180,3.28.0,Y,
181,3.29.0,Y,
182,3.29.1,Y,
183,3.30.0,Y,
184,3.30.1,Y,
185,3.30.2,Y,
186,3.31.0,Y,
187,3.31.1,Y,
188,3.32.0,Y,
189,3.32.1,Y,
190,3.32.2,Y,
191,3.33.0,Y,
192,3.4.6,Y,
193,3.4.7,Y,
194,3.4.8,Y,
195,3.5.0,Y,
196,3.6.0,Y,
197,3.6.1,Y,
198,3.6.2,Y,
199,3.6.3,Y,
200,3.6.4,Y,
201,3.6.5,Y,
202,3.7.0,Y,
203,3.8.0,Y,
204,3.8.1,Y,
205,3.8.2,Y,
206,3.8.3,Y,
207,3.9.0,Y,
208,3.9.1,Y,
