,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.2.0,Y,
3,0.2.1,Y,
4,0.3.0,Y,
5,0.3.1,Y,
6,0.3.2,Y,
7,0.3.3,Y,
8,0.4.0,Y,
9,0.5.0,Y,
10,0.5.1,Y,
11,0.5.2,Y,
12,0.5.3,Y,
13,0.5.4,Y,
14,0.5.5,Y,
15,0.5.6,Y,
16,0.6.0,Y,
17,0.7.0,Y,
18,0.7.1,Y,
19,0.7.2,Y,
20,0.8.0,Y,
21,0.8.1,Y,
22,1.0.0,Y,
23,1.0.0-alpha,Y,
24,1.0.0-beta,Y,
25,1.0.0-beta.1,Y,
26,1.0.0-beta.2,Y,
27,1.0.0-rc,Y,
28,1.0.0-rc.1,N,Library loading error.
29,1.0.0-rc.2,N,Library loading error.
30,1.0.0-rc.3,N,Library loading error.
31,1.1.0,Y,
32,1.1.1,Y,
33,1.1.2,Y,
34,1.1.3,Y,
35,1.2.0,Y,
36,1.2.1,Y,
37,1.2.2,Y,
38,1.3.0,Y,
39,1.3.1,Y,
40,1.3.2,Y,
41,1.3.3,Y,
42,1.3.4,Y,
43,1.3.5,Y,
44,1.3.6,Y,
45,1.4.0,Y,
46,1.4.1,Y,
47,1.4.2,Y,
48,1.4.3,Y,
49,1.5.0,Y,
50,1.5.1,Y,
51,1.5.10,Y,
52,1.5.11,Y,
53,1.5.12,Y,
54,1.5.13,Y,
55,1.5.2,Y,
56,1.5.3,Y,
57,1.5.4,Y,
58,1.5.5,Y,
59,1.5.6,Y,
60,1.5.7,Y,
61,1.5.8,Y,
62,1.5.9,Y,
63,1.6.0,Y,
64,1.6.1,Y,
65,2.0.0-alpha,Y,
66,2.0.0-alpha.1,Y,
67,2.0.0-alpha.2,Y,
68,2.0.0-beta,N,Library loading error.
69,2.0.0-beta.1,N,Library loading error.
70,2.0.0-beta.2,N,Library loading error.
71,2.0.0-beta.3,N,Library loading error.
72,2.0.0-beta.4,N,Library loading error.
