,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.1.2,Y,
3,0.1.3,Y,
4,0.1.4,Y,
5,0.1.5,Y,
6,0.1.6,Y,
7,0.1.7,Y,
8,0.1.8,Y,
9,0.1.9,Y,
10,0.10.0,Y,
11,0.11.0,Y,
12,0.11.1,Y,
13,0.11.2,Y,
14,0.11.3,Y,
15,0.12.0,Y,
16,0.12.1,Y,
17,0.12.2,Y,
18,0.13.0,Y,
19,0.13.1,Y,
20,0.13.10,Y,
21,0.13.2,Y,
22,0.13.3,Y,
23,0.13.4,Y,
24,0.13.5,Y,
25,0.13.6,Y,
26,0.13.7,Y,
27,0.13.8,Y,
28,0.13.9,Y,
29,0.14.0,Y,
30,0.14.1,Y,
31,0.14.2,Y,
32,0.15.0,Y,
33,0.15.1,Y,
34,0.15.2,Y,
35,0.15.3,Y,
36,0.16.0,Y,
37,0.16.1,Y,
38,0.17.0,Y,
39,0.17.1,Y,
40,0.17.2,Y,
41,0.17.3,Y,
42,0.17.4,Y,
43,0.18.0,Y,
44,0.18.1,Y,
45,0.19.0,Y,
46,0.19.1,Y,
47,0.19.2,Y,
48,0.2.0,Y,
49,0.2.1,Y,
50,0.2.2,Y,
51,0.2.3,Y,
52,0.20.0,Y,
53,0.20.1,Y,
54,0.20.2,Y,
55,0.21.0,Y,
56,0.21.1,Y,
57,0.21.2,Y,
58,0.21.3,Y,
59,0.21.4,Y,
60,0.21.5,Y,
61,0.21.6,Y,
62,0.22.0,Y,
63,0.23.0,Y,
64,0.23.1,Y,
65,0.24.0,Y,
66,0.24.1,Y,
67,0.24.2,Y,
68,0.24.3,Y,
69,0.24.4,Y,
70,0.25.0,Y,
71,0.25.1,Y,
72,0.25.2,Y,
73,0.26.0,Y,
74,0.26.1,Y,
75,0.26.2,Y,
76,0.26.3,Y,
77,0.26.4,Y,
78,0.27.0,Y,
79,0.27.1,Y,
80,0.27.2,Y,
81,0.27.3,Y,
82,0.27.4,Y,
83,0.28.0,Y,
84,0.28.1,Y,
85,0.28.2,Y,
86,0.29.0,Y,
87,0.29.1,Y,
88,0.29.2,Y,
89,0.29.3,Y,
90,0.29.4,Y,
91,0.3.0,Y,
92,0.3.1,Y,
93,0.3.2,Y,
94,0.30.0,Y,
95,0.30.1,Y,
96,0.30.10,Y,
97,0.30.2,Y,
98,0.30.3,Y,
99,0.30.4,Y,
100,0.30.5,Y,
101,0.30.6,Y,
102,0.30.7,Y,
103,0.30.8,Y,
104,0.30.9,Y,
105,0.31.0,Y,
106,0.31.1,Y,
107,0.31.2,Y,
108,0.32.0,Y,
109,0.32.1,Y,
110,0.32.2,Y,
111,0.33.0,Y,
112,0.33.1,Y,
113,0.34.0,Y,
114,0.34.1,Y,
115,0.34.10,Y,
116,0.34.11,Y,
117,0.34.2,Y,
118,0.34.3,Y,
119,0.34.4,Y,
120,0.34.5,Y,
121,0.34.6,Y,
122,0.34.7,Y,
123,0.34.8,Y,
124,0.34.9,Y,
125,0.35.0,Y,
126,0.35.1,Y,
127,0.36.0,Y,
128,0.37.0,Y,
129,0.37.1,Y,
130,0.37.2,Y,
131,0.37.3,Y,
132,0.37.4,Y,
133,0.4.0,Y,
134,0.4.1,Y,
135,0.4.10,Y,
136,0.4.11,Y,
137,0.4.2,Y,
138,0.4.3,Y,
139,0.4.4,Y,
140,0.4.5,Y,
141,0.4.6,Y,
142,0.4.7,Y,
143,0.4.8,Y,
144,0.4.9,Y,
145,0.5.0,Y,
146,0.5.1,Y,
147,0.6.0,Y,
148,0.6.1,Y,
149,0.6.2,Y,
150,0.7.0,Y,
151,0.7.1,Y,
152,0.7.2,Y,
153,0.7.3,Y,
154,0.7.4,Y,
155,0.7.5,Y,
156,0.7.6,Y,
157,0.7.7,Y,
158,0.8.0,Y,
159,0.8.1,Y,
160,0.8.2,Y,
161,0.8.5,Y,
162,0.9.0,Y,
163,0.9.1,Y,
164,0.9.2,Y,
165,0.9.3,Y,
