,Version,Success,Description
0,0.1.0,Y,
1,0.10.0,Y,
2,0.10.1,Y,
3,0.11.0,Y,
4,0.11.1,Y,
5,0.12.0,Y,
6,0.12.1,Y,
7,0.13.0,Y,
8,0.14.0,Y,
9,0.14.1,Y,
10,0.14.2,Y,
11,0.14.3,Y,
12,0.14.4,Y,
13,0.15.0,Y,
14,0.15.1,Y,
15,0.15.2,Y,
16,0.15.3,Y,
17,0.16.0,Y,
18,0.16.1,Y,
19,0.16.2,Y,
20,0.16.3,Y,
21,0.17.0,Y,
22,0.17.1,Y,
23,0.18.0,Y,
24,0.18.1,Y,
25,0.18.2,Y,
26,0.19.0,Y,
27,0.2.0,Y,
28,0.20.0,Y,
29,0.20.1,Y,
30,0.20.2,Y,
31,0.20.3,Y,
32,0.20.4,Y,
33,0.21.0,Y,
34,0.21.1,Y,
35,0.21.2,Y,
36,0.22.0,Y,
37,0.23.0,Y,
38,0.23.1,Y,
39,0.24.0,Y,
40,0.24.1,Y,
41,0.3.0,Y,
42,0.3.1,Y,
43,0.3.2,Y,
44,0.3.3,Y,
45,0.3.4,Y,
46,0.4.0,Y,
47,0.5.0,Y,
48,0.5.1,Y,
49,0.5.2,Y,
50,0.6.0,Y,
51,0.6.1,Y,
52,0.6.2,Y,
53,0.6.3,Y,
54,0.6.4,Y,
55,0.6.5,Y,
56,0.6.6,Y,
57,0.6.7,Y,
58,0.6.8,Y,
59,0.6.9,Y,
60,0.7.0,Y,
61,0.8.0,Y,
62,0.8.1,Y,
63,0.9.0,Y,
64,0.9.1,Y,
65,0.9.2,Y,
66,1.0.0,Y,
67,1.0.0-rc1,Y,
68,1.0.1,Y,
69,1.0.2,Y,
70,2.0.0,Y,
71,2.0.1,Y,
72,3.0.0,Y,
73,3.1.0,Y,
74,4.0.0,Y,
75,4.0.1,Y,
76,5.0.0,N,Library loading error.
77,5.0.1,Y,
78,6.0.0,Y,
79,6.0.0-rc1,Y,
80,6.0.0-rc2,Y,
81,6.0.1,N,Library loading error.
82,6.0.2,Y,
83,6.0.3,Y,
84,7.0.0,N,Library loading error.
85,7.0.0-rc1,N,Library loading error.
86,7.0.0-rc7,N,Library loading error.
87,7.0.0-rc8,N,Library loading error.
