,Version,Success,Description
0,1.29.5,Y,
1,2.1.3,Y,
2,2.10.0,Y,
3,2.2.1,Y,
4,2.3.0,Y,
5,2.3.2,Y,
6,2.3.3,Y,
7,2.3.4,Y,
8,2.4.0,Y,
9,2.4.1,Y,
10,2.4.2,Y,
11,2.5.1,Y,
12,2.5.2,Y,
13,2.6.0,Y,
14,2.7.0,Y,
15,2.7.2,Y,
16,2.7.3,Y,
17,2.7.4,Y,
18,2.7.5,Y,
19,2.8.1,Y,
20,3.0.0,Y,
21,3.0.2,Y,
22,3.0.3,Y,
23,3.0.4,Y,
24,3.0.5,Y,
25,3.0.6,Y,
26,3.0.7,Y,
27,3.0.8,Y,
28,3.1.0,Y,
29,3.1.1,Y,
30,3.1.10,Y,
31,3.1.2,Y,
32,3.1.3,Y,
33,3.1.4,Y,
34,3.1.5,Y,
35,3.1.6,Y,
36,3.1.7,Y,
37,3.1.8,Y,
38,3.1.9,Y,
39,3.2.0,Y,
40,3.2.1,Y,
41,3.2.2,Y,
42,3.2.3,Y,
43,3.2.4,Y,
44,3.2.5,Y,
45,3.2.6,Y,
46,3.2.7,Y,
47,3.2.8,Y,
48,3.3.0,Y,
49,3.3.1,Y,
50,3.3.10,Y,
51,3.3.11,Y,
52,3.3.12,Y,
53,3.3.13,Y,
54,3.3.2,Y,
55,3.3.3,Y,
56,3.3.4,Y,
57,3.3.5,Y,
58,3.3.6,Y,
59,3.3.7,Y,
60,3.3.8,Y,
61,3.3.9,Y,
62,3.4.0,Y,
63,3.4.1,Y,
64,3.4.10,Y,
65,3.4.11,Y,
66,3.4.12,Y,
67,3.4.13,Y,
68,3.4.2,Y,
69,3.4.3,Y,
70,3.4.4,Y,
71,3.4.5,Y,
72,3.4.6,Y,
73,3.4.7,Y,
74,3.4.8,Y,
75,3.4.9,Y,
76,3.5.0,Y,
77,3.5.1,Y,
78,3.5.10,Y,
79,3.5.11,Y,
80,3.5.12,Y,
81,3.5.13,Y,
82,3.5.14,Y,
83,3.5.15,Y,
84,3.5.16,Y,
85,3.5.17,Y,
86,3.5.2,Y,
87,3.5.3,Y,
88,3.5.4,Y,
89,3.5.5,Y,
90,3.5.6,Y,
91,3.5.7,Y,
92,3.5.8,Y,
93,3.5.9,Y,
94,4.0.0,Y,
95,4.0.0-alpha.1,Y,
96,4.0.0-alpha.10,Y,
97,4.0.0-alpha.11,Y,
98,4.0.0-alpha.12,Y,
99,4.0.0-alpha.13,Y,
100,4.0.0-alpha.14,Y,
101,4.0.0-alpha.15,Y,
102,4.0.0-alpha.16,Y,
103,4.0.0-alpha.17,Y,
104,4.0.0-alpha.18,Y,
105,4.0.0-alpha.19,Y,
106,4.0.0-alpha.2,Y,
107,4.0.0-alpha.20,Y,
108,4.0.0-alpha.21,Y,
109,4.0.0-alpha.22,Y,
110,4.0.0-alpha.23,Y,
111,4.0.0-alpha.24,Y,
112,4.0.0-alpha.25,Y,
113,4.0.0-alpha.26,Y,
114,4.0.0-alpha.27,Y,
115,4.0.0-alpha.28,Y,
116,4.0.0-alpha.29,Y,
117,4.0.0-alpha.3,Y,
118,4.0.0-alpha.30,Y,
119,4.0.0-alpha.31,Y,
120,4.0.0-alpha.32,Y,
121,4.0.0-alpha.33,Y,
122,4.0.0-alpha.34,Y,
123,4.0.0-alpha.35,Y,
124,4.0.0-alpha.36,Y,
125,4.0.0-alpha.37,Y,
126,4.0.0-alpha.38,Y,
127,4.0.0-alpha.39,Y,
128,4.0.0-alpha.4,Y,
129,4.0.0-alpha.40,Y,
130,4.0.0-alpha.41,Y,
131,4.0.0-alpha.42,Y,
132,4.0.0-alpha.43,Y,
133,4.0.0-alpha.44,Y,
134,4.0.0-alpha.45,Y,
135,4.0.0-alpha.46,Y,
136,4.0.0-alpha.47,Y,
137,4.0.0-alpha.48,Y,
138,4.0.0-alpha.49,Y,
139,4.0.0-alpha.5,Y,
140,4.0.0-alpha.50,Y,
141,4.0.0-alpha.6,Y,
142,4.0.0-alpha.7,Y,
143,4.0.0-alpha.9,Y,
144,4.0.0-rc.1,Y,
145,4.0.0-rc.2,Y,
146,4.1.0,Y,
147,4.1.1,Y,
148,4.10.0,Y,
149,4.10.1,Y,
150,4.10.2,Y,
151,4.11.0,Y,
152,4.12.0,Y,
153,4.12.1,Y,
154,4.12.2,Y,
155,4.13.0,Y,
156,4.2.0,Y,
157,4.2.1,Y,
158,4.2.2,Y,
159,4.2.3,Y,
160,4.2.4,Y,
161,4.2.5,Y,
162,4.2.6,Y,
163,4.2.7,Y,
164,4.2.8,Y,
165,4.3.0,Y,
166,4.4.0,Y,
167,4.4.1,Y,
168,4.4.2,Y,
169,4.4.3,Y,
170,4.4.4,Y,
171,4.5.0,Y,
172,4.5.1,Y,
173,4.6.0,Y,
174,4.7.0,Y,
175,4.7.1,Y,
176,4.7.2,Y,
177,4.7.3,Y,
178,4.7.4,Y,
179,4.8.0,Y,
180,4.9.0,Y,
181,4.9.1,Y,
182,5.0.0,Y,
183,5.0.0-rc.1,Y,
184,5.0.0-rc.2,Y,
185,5.0.0-rc.3,Y,
186,5.0.0-rc.4,Y,
187,5.0.1,Y,
188,5.0.2,Y,
189,5.1.0,Y,
190,5.10.0,Y,
191,5.10.1,Y,
192,5.11.0,Y,
193,5.12.0,Y,
194,5.13.0,Y,
195,5.13.1,Y,
196,5.14.0,Y,
197,5.14.1,Y,
198,5.14.2,Y,
199,5.15.0,Y,
200,5.15.1,Y,
201,5.16.0,Y,
202,5.2.0,Y,
203,5.3.0,Y,
204,5.4.0,Y,
205,5.5.0,Y,
206,5.6.0,Y,
207,5.7.0,Y,
208,5.8.0,Y,
209,5.8.1,Y,
210,5.8.2,Y,
211,5.9.0,Y,
212,5.9.1,Y,
213,5.9.2,Y,
214,5.9.3,Y,
215,5.9.4,Y,
216,5.9.5,Y,
217,5.9.6,Y,
218,5.9.7,Y,
219,6.0.0,Y,
220,6.0.0-rc.1,Y,
221,6.0.0-rc.2,Y,
222,6.0.0-rc.3,Y,
223,6.0.0-rc.4,Y,
224,6.1.0,Y,
225,6.1.1,Y,
226,6.2.0,Y,
227,6.3.0,Y,
228,6.3.1,Y,
229,6.4.0,Y,
230,6.5.0,Y,
231,6.6.0,Y,
232,6.6.1,Y,
233,6.6.2,Y,
234,6.7.0,Y,
235,7.0.0,Y,
236,7.0.1,Y,
237,7.0.2,Y,
238,7.0.3,Y,
239,7.0.4,Y,
240,7.1.0,Y,
241,7.1.1,Y,
242,7.2.0,Y,
243,7.2.1,Y,
244,7.3.0,Y,
245,7.4.0,Y,
246,7.4.1,Y,
247,7.4.2,Y,
248,7.4.3,Y,
249,7.4.4,Y,
250,7.4.5,Y,
251,7.5.0,Y,
252,7.6.0,Y,
253,7.6.1,Y,
254,7.7.0,Y,
255,7.8.0,Y,
256,7.8.1,Y,
257,7.8.2,Y,
258,7.8.3,Y,
259,7.8.4,Y,
260,7.8.5,Y,
