,Version,Success,Description
0,0.2.4,Y,
1,0.2.5,Y,
2,1.0.0,Y,
3,1.1.2,Y,
4,1.2.0,Y,
5,1.3.0,Y,
6,1.4,Y,
7,1.5.0,Y,
8,1.5.1,Y,
9,1.6.0,Y,
10,2.0.0,Y,
11,2.0.0-rc4,Y,
12,2.0.0-rc5,Y,
13,2.1.0,Y,
14,2.1.1,Y,
15,2.2.0,Y,
16,2.3.0,Y,
17,2.4.0,Y,
18,2.4.1,Y,
19,2.5.0,Y,
20,2.6.0,Y,
21,2.6.1,Y,
22,2.6.2,Y,
23,2.6.3,Y,
24,2.6.4,Y,
25,2.6.5,Y,
26,2.6.6,Y,
27,2.6.7,Y,
28,2.6.8,Y,
29,2.7.0,Y,
30,2.8.0,Y,
31,2.9.0,Y,
32,2.9.1,Y,
33,2.9.2,Y,
34,2.9.3,Y,
35,3.0.0,Y,
36,3.0.1,Y,
37,3.0.2,Y,
38,3.0.3,Y,
39,3.1.0,Y,
40,3.1.1,Y,
41,3.1.2,Y,
42,3.1.3,Y,
43,3.2.0,Y,
44,3.2.1,Y,
45,3.2.2,Y,
46,4.0.0-npm,Y,
47,4.0.1,Y,
48,4.1.0,Y,
49,4.2.0,Y,
50,4.2.1,Y,
51,4.3.0,Y,
52,4.4.0,Y,
53,4.4.1,Y,
54,4.5.0,Y,
55,4.5.1,Y,
56,4.5.2,Y,
57,4.6.0,Y,
58,4.7.0,Y,
59,4.7.1,Y,
60,4.7.2,Y,
61,4.7.3,Y,
