,Version,Success,Description
0,0.14.0,Y,
1,0.14.1,Y,
2,0.14.10,Y,
3,0.14.11,Y,
4,0.14.2,Y,
5,0.14.3,Y,
6,0.14.4,Y,
7,0.14.5,Y,
8,0.14.6,Y,
9,0.14.7,Y,
10,0.14.8,Y,
11,0.14.9,Y,
12,0.15.0,Y,
13,0.16.0,Y,
14,0.17.0,Y,
15,1.0.0,Y,
16,1.0.0-alpha1,Y,
17,1.0.0-alpha2,Y,
18,1.0.0-alpha3,Y,
19,1.0.0-alpha4,Y,
20,1.0.0-rc1,Y,
21,1.0.0-rc10,Y,
22,1.0.0-rc11,Y,
23,1.0.0-rc12,Y,
24,1.0.0-rc13,Y,
25,1.0.0-rc14,Y,
26,1.0.0-rc15,Y,
27,1.0.0-rc16,Y,
28,1.0.0-rc17,Y,
29,1.0.0-rc18,Y,
30,1.0.0-rc19,Y,
31,1.0.0-rc2,Y,
32,1.0.0-rc20,Y,
33,1.0.0-rc21,Y,
34,1.0.0-rc22,Y,
35,1.0.0-rc3,Y,
36,1.0.0-rc4,Y,
37,1.0.0-rc5,Y,
38,1.0.0-rc6,Y,
39,1.0.0-rc7,Y,
40,1.0.0-rc8,Y,
41,1.0.0-rc9,Y,
42,1.1.0,Y,
43,1.1.1,Y,
44,1.10.0,Y,
45,1.11.0,Y,
46,1.11.1,Y,
47,1.11.2,Y,
48,1.12.0,Y,
49,1.12.1,Y,
50,1.13.0,Y,
51,1.14.0,Y,
52,1.14.1,Y,
53,1.15.0,Y,
54,1.15.1,Y,
55,1.16.0,Y,
56,1.17.0,Y,
57,1.18.0,Y,
58,1.19.0,Y,
59,1.2.0,Y,
60,1.20.0,Y,
61,1.20.1,Y,
62,1.21.0,Y,
63,1.21.1,Y,
64,1.22.0,Y,
65,1.23.0,Y,
66,1.24.0,Y,
67,1.25.0,Y,
68,1.26.0,Y,
69,1.27.0,Y,
70,1.27.1,Y,
71,1.27.2,Y,
72,1.28.0,Y,
73,1.28.1,Y,
74,1.28.2,Y,
75,1.28.3,Y,
76,1.28.4,Y,
77,1.28.5,Y,
78,1.29.0,Y,
79,1.3.0,Y,
80,1.30.0,Y,
81,1.30.1,Y,
82,1.4.0,Y,
83,1.5.0,Y,
84,1.5.1,Y,
85,1.5.2,Y,
86,1.6.0,Y,
87,1.7.0,Y,
88,1.8.0,Y,
89,1.8.1,Y,
90,1.9.0,Y,
91,123,Y,
92,2.0.0-alpha0,Y,
93,2.20.0,Y,
94,2.20.1,Y,
95,2.20.2,Y,
96,2.20.3,Y,
97,2.21.0,Y,
98,2.21.1,Y,
99,2.21.2,Y,
100,2.21.3,Y,
101,2.22.0,Y,
102,2.22.1,Y,
103,2.23.0,Y,
104,2.24.0,Y,
105,2.25.0,Y,
106,2.26.0,Y,
107,2.27.0,Y,
108,2.28.0,Y,
109,2.29.0,Y,
110,2.29.1,Y,
111,2.29.2,Y,
112,2.29.3,Y,
113,2.30.0,Y,
114,3.0.0,Y,
115,3.0.1,Y,
116,3.0.2,Y,
117,3.0.3,Y,
118,3.0.4,Y,
119,3.0.5,Y,
120,3.0.6,Y,
