,Version,Success,Description
0,1.10.0,Y,
1,1.10.1,Y,
2,1.10.2,Y,
3,1.10.3,Y,
4,1.10.4,Y,
5,1.10.5,Y,
6,1.10.6,Y,
7,1.10.7,Y,
8,1.10.8,Y,
9,1.11.0,Y,
10,1.11.1,Y,
11,1.11.10,Y,
12,1.11.2,Y,
13,1.11.3,Y,
14,1.11.4,Y,
15,1.11.5,Y,
16,1.11.6,Y,
17,1.11.7,Y,
18,1.11.8,Y,
19,1.11.9,Y,
20,1.4.1,Y,
21,1.4.2,Y,
22,1.4.3,Y,
23,1.5.0,Y,
24,1.5.1,Y,
25,1.5.10,Y,
26,1.5.11,Y,
27,1.5.12,Y,
28,1.5.13,Y,
29,1.5.14,Y,
30,1.5.15,Y,
31,1.5.16,Y,
32,1.5.17,Y,
33,1.5.18,Y,
34,1.5.19,Y,
35,1.5.2,Y,
36,1.5.20,Y,
37,1.5.21,Y,
38,1.5.22,Y,
39,1.5.23,Y,
40,1.5.24,Y,
41,1.5.3,Y,
42,1.5.4,Y,
43,1.5.5,Y,
44,1.5.6,Y,
45,1.5.8,Y,
46,1.5.9,Y,
47,1.6.0,Y,
48,1.6.1,Y,
49,1.6.10,Y,
50,1.6.2,Y,
51,1.6.3,Y,
52,1.6.4,Y,
53,1.6.5,Y,
54,1.6.6,Y,
55,1.6.7,Y,
56,1.6.8,Y,
57,1.6.9,Y,
58,1.7.0,Y,
59,1.7.1,Y,
60,1.7.2,Y,
61,1.7.3,Y,
62,1.7.4,Y,
63,1.7.5,Y,
64,1.7.6,Y,
65,1.7.7,Y,
66,1.7.8,Y,
67,1.8.0,Y,
68,1.8.1,Y,
69,1.8.10,Y,
70,1.8.11,Y,
71,1.8.12,Y,
72,1.8.13,Y,
73,1.8.14,Y,
74,1.8.15,Y,
75,1.8.16,Y,
76,1.8.17,Y,
77,1.8.19,Y,
78,1.8.2,Y,
79,1.8.20,Y,
80,1.8.21,Y,
81,1.8.22,Y,
82,1.8.23,Y,
83,1.8.24,Y,
84,1.8.25,Y,
85,1.8.26,Y,
86,1.8.27,Y,
87,1.8.28,Y,
88,1.8.29,Y,
89,1.8.3,Y,
90,1.8.30,Y,
91,1.8.31,Y,
92,1.8.32,Y,
93,1.8.33,Y,
94,1.8.34,Y,
95,1.8.35,Y,
96,1.8.36,Y,
97,1.8.4,Y,
98,1.8.5,Y,
99,1.8.6,Y,
100,1.8.7,Y,
101,1.8.8,Y,
102,1.8.9,Y,
103,1.9.0,Y,
104,1.9.1,Y,
105,1.9.2,Y,
106,1.9.3,Y,
107,1.9.4,Y,
108,1.9.5,Y,
109,1.9.6,Y,
110,1.9.7,Y,
111,1.9.8,Y,
112,2.0.0-alpha.1,Y,
113,2.0.0-alpha.2,Y,
114,2.0.0-alpha.3,Y,
115,2.0.0-alpha.4,Y,
