,Version,Success,Description
0,0.4.0,Y,
1,0.5.0,Y,
2,0.6.0,Y,
3,0.7.0,Y,
4,0.7.1,Y,
5,0.8.0,Y,
6,0.8.1,Y,
7,0.9.0,Y,
8,0.9.1,Y,
9,1.0.0,Y,
10,1.1.0,Y,
11,1.2.0,Y,
12,1.3.0,Y,
13,1.4.0,Y,
14,1.5.0,Y,
15,1.6.0,Y,
16,1.7.0,Y,
17,1.7.1,Y,
18,1.7.2,Y,
19,1.7.3,Y,
20,1.7.4,Y,
21,1.7.5,Y,
22,2.0.0,Y,
23,2.0.0-alpha.2,Y,
24,2.0.0-alpha.3,Y,
25,2.0.0-alpha.4,Y,
26,2.0.0-alpha.5,Y,
27,2.0.0-beta.1,Y,
28,2.0.0-beta.10,Y,
29,2.0.0-beta.11,Y,
30,2.0.0-beta.12,Y,
31,2.0.0-beta.14,Y,
32,2.0.0-beta.18,Y,
33,2.0.0-beta.19,Y,
34,2.0.0-beta.20,Y,
35,2.0.0-beta.21,Y,
36,2.0.0-beta.22,Y,
37,2.0.0-beta.23,Y,
38,2.0.0-beta.25,Y,
39,2.0.0-beta.26,Y,
40,2.0.0-beta.27,Y,
41,2.0.0-beta.28,Y,
42,2.0.0-beta.29,Y,
43,2.0.0-beta.3,Y,
44,2.0.0-beta.30,Y,
45,2.0.0-beta.31,Y,
46,2.0.0-beta.32,Y,
47,2.0.0-beta.33,Y,
48,2.0.0-beta.9,Y,
49,2.0.1,Y,
50,2.0.2,Y,
51,2.0.3,Y,
52,2.0.4,Y,
53,2.0.5,Y,
54,2.1.0,Y,
55,2.1.0-dev,Y,
56,2.1.1,Y,
57,2.1.10,Y,
58,2.1.2,Y,
59,2.1.3,Y,
60,2.1.4,Y,
61,2.1.5,Y,
62,2.1.6,Y,
63,2.1.7,Y,
64,2.1.8,Y,
65,2.1.9,Y,
66,2.2.0,Y,
67,2.2.1,Y,
68,2.2.2,Y,
69,3.0.0,Y,
70,3.0.0-beta.1,Y,
71,3.0.0-beta.2,Y,
72,3.0.10,Y,
73,3.0.11,Y,
74,3.0.12,Y,
75,3.0.2,Y,
76,3.0.3,Y,
77,3.0.4,Y,
78,3.0.5,Y,
79,3.0.6,Y,
80,3.0.7,Y,
81,3.0.8,Y,
82,3.0.9,Y,
83,3.1.0,Y,
84,3.1.1,Y,
85,3.1.2,Y,
86,3.1.3,Y,
87,3.1.4,Y,
88,3.1.5,Y,
89,3.1.6,Y,
90,3.1.7,Y,
91,3.1.8,Y,
92,3.1.9,Y,
93,3.2.0,Y,
94,3.2.1,Y,
95,4.0.0,Y,
96,4.0.0-beta.2,Y,
97,4.0.0-beta.3,Y,
98,4.0.0-beta.4,Y,
99,4.0.0-beta.5,Y,
100,4.0.1,Y,
101,4.0.2,Y,
102,4.0.3,Y,
103,4.0.4,Y,
104,4.0.5,Y,
105,4.1.0,Y,
106,4.1.1,Y,
107,4.2.0,Y,
108,4.2.3,Y,
109,4.2.4,Y,
110,4.2.5,Y,
111,4.2.6,Y,
112,4.2.7,Y,
