,Version,Success,Description
0,0.10.0,Y,
1,0.10.1,Y,
2,0.11.0,Y,
3,0.12.0,Y,
4,0.12.1,Y,
5,0.12.2,Y,
6,0.9.0,Y,
7,0.9.1,Y,
8,0.9.2,Y,
9,1.0.0,Y,
10,1.0.1,Y,
11,1.0.2,Y,
12,1.0.3,Y,
13,1.0.4,Y,
14,1.0.5,Y,
15,2.0.0,Y,
16,2.0.1,Y,
17,2.0.2,Y,
18,2.0.3,Y,
19,2.1.2,Y,
20,2.1.3,Y,
21,2.1.4,Y,
22,2.10.0-alpha.1,Y,
23,2.10.0-alpha.2,Y,
24,2.10.0-alpha.3,Y,
25,2.11.2,Y,
26,2.11.3,Y,
27,2.11.4,Y,
28,2.11.5,Y,
29,2.11.6,Y,
30,2.11.8,Y,
31,2.12.0,Y,
32,2.12.1,Y,
33,2.13.6,Y,
34,2.13.7,Y,
35,2.14.0,Y,
36,2.14.0-alpha.2,Y,
37,2.14.0-beta.1,Y,
38,2.14.0-beta.2,Y,
39,2.14.0-rc.1,Y,
40,2.14.0-rc.2,Y,
41,2.14.0-rc.3,Y,
42,2.14.1,Y,
43,2.14.2,Y,
44,2.14.3,Y,
45,2.15.0,Y,
46,2.15.0-alpha.1,Y,
47,2.15.0-alpha.2,Y,
48,2.15.0-alpha.3,Y,
49,2.15.0-alpha.4,Y,
50,2.15.0-alpha.5,Y,
51,2.15.0-alpha.6,Y,
52,2.15.0-beta.1,Y,
53,2.15.1,Y,
54,2.15.2,Y,
55,2.15.3,Y,
56,2.15.4,Y,
57,2.15.5,Y,
58,2.15.6,Y,
59,2.15.7,Y,
60,2.15.8,Y,
61,2.15.9,Y,
62,2.16.0,Y,
63,2.16.0-alpha.1,Y,
64,2.16.0-alpha.2,Y,
65,2.16.0-alpha.3,Y,
66,2.16.0-alpha.4,Y,
67,2.16.0-alpha.5,Y,
68,2.16.0-beta.1,Y,
69,2.16.0-beta.2,Y,
70,2.16.0-rc.1,Y,
71,2.16.1,Y,
72,2.16.2,Y,
73,2.17.0,Y,
74,2.17.0-alpha.1,Y,
75,2.17.0-alpha.2,Y,
76,2.17.0-alpha.3,Y,
77,2.17.0-alpha.5,Y,
78,2.17.0-alpha.6,Y,
79,2.17.0-beta.1,Y,
80,2.17.0-rc.1,Y,
81,2.17.0-rc.2,Y,
82,2.17.1,Y,
83,2.17.2,Y,
84,2.17.3,Y,
85,2.17.4,Y,
86,2.17.5,Y,
87,2.18.0,Y,
88,2.18.0-alpha.1,Y,
89,2.18.0-alpha.2,Y,
90,2.18.0-beta.1,Y,
91,2.18.0-beta.2,Y,
92,2.18.1,Y,
93,2.19.0,Y,
94,2.19.0-alpha.2,Y,
95,2.19.0-beta.1,Y,
96,2.19.0-beta.1.1,Y,
97,2.2.0,Y,
98,2.2.1,Y,
99,2.2.2,Y,
100,2.20.0,Y,
101,2.20.0-alpha.2,Y,
102,2.20.0-beta.1,Y,
103,2.20.0-rc.1,Y,
104,2.20.1,Y,
105,2.21.0,Y,
106,2.21.0-alpha.1,Y,
107,2.21.0-alpha.2,Y,
108,2.21.0-beta.1,Y,
109,2.21.0-beta.2,Y,
110,2.21.0-rc.1,Y,
111,2.21.1,Y,
112,2.21.2,Y,
113,2.21.2-fix,Y,
114,2.21.3,Y,
115,2.21.3-wcag,Y,
116,2.21.4,Y,
117,2.21.4-fix,Y,
118,2.21.5,Y,
119,2.21.5-wcag,Y,
120,2.22.0,Y,
121,2.22.0-alpha.1,Y,
122,2.22.0-alpha.2,Y,
123,2.22.0-beta.1,Y,
124,2.22.0-rc.1,Y,
125,2.22.1,Y,
126,2.22.2,Y,
127,2.23.0,Y,
128,2.23.0-alpha.1,Y,
129,2.23.0-alpha.2,Y,
130,2.23.0-alpha.3,Y,
131,2.23.0-alpha.4,Y,
132,2.23.0-alpha.5,Y,
133,2.23.0-beta.1,Y,
134,2.3.0,Y,
135,2.3.1,Y,
136,2.4.0-rc.3,Y,
137,2.4.1,Y,
138,2.4.2,Y,
139,2.4.3,Y,
140,2.4.4,Y,
141,2.4.5,Y,
142,2.5.0,Y,
143,2.5.0-alpha.11,Y,
144,2.5.2,Y,
145,2.6.0,Y,
146,2.6.0-alpha,Y,
147,2.6.1,Y,
148,2.6.2,Y,
149,2.7.0,Y,
150,2.7.1,Y,
151,2.7.2,Y,
152,2.7.4,Y,
153,2.7.5,Y,
154,2.8.0,Y,
155,2.8.0-alpha.7,Y,
156,2.8.1,Y,
157,2.8.2,Y,
158,2.8.3,Y,
159,2.9.0,Y,
160,2.9.0-alpha.4,Y,
161,2.9.0-alpha.5,Y,
162,2.9.0-alpha.6,Y,
163,2.9.0-beta.1,Y,
164,2.9.0-beta.2,Y,
165,2.9.0-beta.3,Y,
166,2.9.0-dev,Y,
167,2.9.1,Y,
168,2.9.2,Y,
169,2.9.3,Y,
170,2.9.4,Y,
171,2.9.5,Y,
172,3.0.0-alpha.1,Y,
173,3.0.0-alpha.2,Y,
174,3.0.0-alpha.3,Y,
175,3.0.0-alpha.4,Y,
176,3.0.0-dev,Y,
