,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.1.2,Y,
3,0.1.3,Y,
4,0.1.4,Y,
5,0.1.5,Y,
6,0.1.6,Y,
7,0.1.7,Y,
8,0.2.0,Y,
9,0.3.0,Y,
10,0.3.1,Y,
11,1.0.1,Y,
12,1.0.2,Y,
13,1.0.3,Y,
14,1.0.4,Y,
15,1.1.0,Y,
16,1.1.1,Y,
17,1.1.2,Y,
18,1.1.3,Y,
19,1.2.0,Y,
20,1.3.0,Y,
21,1.4.0,Y,
22,1.5.0,Y,
23,1.5.1,Y,
24,1.6.0,Y,
25,1.7.0,Y,
26,1.8.0,Y,
27,1.8.1,Y,
28,1.9.0,Y,
29,1.9.1,Y,
30,2.0.0-alpha.1,Y,
31,2.0.0-alpha.10,Y,
32,2.0.0-alpha.11,Y,
33,2.0.0-alpha.12,Y,
34,2.0.0-alpha.13,Y,
35,2.0.0-alpha.14,Y,
36,2.0.0-alpha.2,Y,
37,2.0.0-alpha.3,Y,
38,2.0.0-alpha.4,Y,
39,2.0.0-alpha.5,Y,
40,2.0.0-alpha.6,Y,
41,2.0.0-alpha.7,Y,
42,2.0.0-alpha.8,Y,
43,2.0.0-alpha.9,Y,
