,Version,Success,Description
0,1.10.0,Y,
1,1.10.1,Y,
2,1.10.2,Y,
3,1.10.3,Y,
4,1.10.4,Y,
5,1.11.0-rc1,Y,
6,1.11.0-rc2,Y,
7,1.11.0-rc3,Y,
8,1.11.0-rc4,Y,
9,1.11.0-rc5,Y,
10,1.11.12,Y,
11,1.12.10,Y,
12,1.13.8,Y,
13,1.13.9,Y,
14,1.14.7,Y,
15,1.14.8,Y,
16,1.15.4,Y,
17,1.15.5,Y,
18,1.15.6,Y,
19,1.16.2,Y,
20,1.16.3,Y,
21,1.16.4,Y,
22,1.16.5,Y,
23,1.17.0,Y,
24,1.17.1,Y,
25,1.17.2,Y,
26,1.17.3,Y,
27,1.3.0,Y,
28,1.3.1,Y,
29,1.3.2,Y,
30,1.3.3,Y,
31,1.4.0,Y,
32,1.4.1,Y,
33,1.4.2,Y,
34,1.4.3,Y,
35,1.4.4,Y,
36,1.4.5,Y,
37,1.4.6,Y,
38,1.5.0,Y,
39,1.5.1,Y,
40,1.5.2,Y,
41,1.5.3,Y,
42,1.5.4,Y,
43,1.6.0,Y,
44,1.6.1,Y,
45,1.6.2,Y,
46,1.6.3,Y,
47,1.7.0,Y,
48,1.7.1,Y,
49,1.7.2,Y,
50,1.7.3,Y,
51,1.7.4,Y,
52,1.7.5,Y,
53,1.7.6,Y,
54,1.7.7,Y,
55,1.7.8,Y,
56,1.8.0,Y,
57,1.8.1,Y,
58,1.8.10,Y,
59,1.8.2,Y,
60,1.8.3,Y,
61,1.8.4,Y,
62,1.8.5,Y,
63,1.8.6,Y,
64,1.8.7,Y,
65,1.8.8,Y,
66,1.8.9,Y,
67,1.9.0,Y,
68,1.9.1,Y,
69,1.9.2,Y,
70,1.9.3,Y,
71,1.9.4,Y,
72,1.9.5,Y,
73,1.9.6,Y,
74,1.9.7,Y,
