,Version,Success,Description
0,0.7.0,Y,
1,0.7.1,Y,
2,0.7.2,Y,
3,0.7.3,Y,
4,0.7.4,Y,
5,0.8.0,Y,
6,0.8.1,Y,
7,0.8.2,Y,
8,0.8.3,Y,
9,0.8.4,Y,
10,0.8.5,Y,
11,0.8.6,Y,
12,0.8.7,Y,
13,0.8.8,Y,
14,0.8.9,Y,
15,0.9.0,Y,
16,1.0.0,Y,
17,1.0.1,Y,
18,1.0.10,Y,
19,1.0.11,Y,
20,1.0.2,Y,
21,1.0.3,Y,
22,1.0.4,Y,
23,1.0.5,Y,
24,1.0.6,Y,
25,1.0.7,Y,
26,1.0.8,Y,
27,1.0.9,Y,
28,2.0.0,Y,
29,2.0.1,Y,
30,2.0.10,Y,
31,2.0.11,Y,
32,2.0.12,Y,
33,2.0.13,Y,
34,2.0.14,Y,
35,2.0.15,Y,
36,2.0.16,Y,
37,2.0.17,Y,
38,2.0.2,Y,
39,2.0.3,Y,
40,2.0.4,Y,
41,2.0.5,Y,
42,2.0.6,Y,
43,2.0.7,Y,
44,2.0.8,Y,
45,2.0.9,Y,
46,2.1.0,Y,
47,2.1.1,Y,
48,2.2.0,Y,
49,2.2.1,Y,
50,2.2.2,Y,
51,2.2.3,Y,
52,2.2.4,Y,
53,2.2.6,Y,
54,2.2.7,Y,
55,2.2.8,Y,
56,2.2.9,Y,
57,2.3.0,Y,
58,2.3.1,Y,
59,2.3.10,Y,
60,2.3.11,Y,
61,2.3.12,Y,
62,2.3.2,Y,
63,2.3.3,Y,
64,2.3.4,Y,
65,2.3.5,Y,
66,2.3.6,Y,
67,2.3.7,Y,
68,2.3.8,Y,
69,2.3.9,Y,
70,2.4.0,Y,
71,2.4.1,Y,
72,2.4.2,Y,
73,2.4.3,Y,
74,2.4.4,Y,
75,2.4.5,Y,
76,2.4.6,Y,
77,2.4.7,Y,
78,3.0.0,Y,
79,3.0.1,Y,
80,3.0.2,Y,
81,3.0.3,Y,
82,3.0.4,Y,
83,3.0.5,Y,
84,3.0.6,Y,
