,Version,Success,Description
0,0.0.0-snapshot-release-20230925134331,Y,
1,0.0.0-snapshot-release-20230925200927,Y,
2,0.0.0-snapshot-release-20230925203902,Y,
3,0.0.0-snapshot-release-20230925215731,Y,
4,0.0.0-snapshot-release-20230926234920,Y,
5,0.0.0-snapshot-release-20230927003422,Y,
6,0.0.0-snapshot-release-20230928004141,Y,
7,0.0.0-snapshot-release-20230928012257,Y,
8,1.0.0,Y,
9,1.0.0-beta,Y,
10,1.0.0-beta.10,Y,
11,1.0.0-beta.11,Y,
12,1.0.0-beta.12,Y,
13,1.0.0-beta.13,Y,
14,1.0.0-beta.2,Y,
15,1.0.0-beta.3,Y,
16,1.0.0-beta.4,Y,
17,1.0.0-beta.5,Y,
18,1.0.0-beta.6,Y,
19,1.0.0-beta.7,Y,
20,1.0.0-beta.8,Y,
21,1.0.0-beta.9,Y,
22,1.0.1,Y,
23,1.1.0,Y,
24,1.1.1,Y,
25,1.1.2,Y,
26,1.1.3,Y,
