,Version,Success,Description
0,1.0.0,Y,
1,1.0.1,Y,
2,1.1.0,Y,
3,1.1.1,Y,
4,1.1.2,Y,
5,1.1.3,Y,
6,1.1.4,Y,
7,1.2.0,Y,
8,1.2.1,Y,
9,1.2.2,Y,
10,1.2.3,Y,
11,1.2.4,Y,
12,1.3.0,Y,
13,1.4.0,Y,
14,1.4.1,Y,
15,1.4.2,Y,
16,1.5.0,Y,
17,1.5.1,Y,
18,1.5.2,Y,
19,1.6.0,Y,
20,1.6.1,Y,
21,1.7.0,Y,
22,2.0.0,Y,
23,2.0.1,Y,
24,2.0.2,Y,
25,2.0.3,Y,
26,2.0.4,Y,
27,2.0.5,Y,
28,2.0.6,Y,
29,2.0.7,Y,
30,2.1.0,Y,
31,2.1.1,Y,
32,2.1.2,Y,
33,3.0.0,Y,
34,3.0.1,Y,
35,3.0.2,Y,
36,3.0.3,Y,
37,3.0.4,Y,
38,3.0.5,Y,
39,3.0.6,Y,
40,3.0.7,Y,
41,3.1.0,Y,
42,3.2.0,Y,
43,3.3.0,Y,
44,3.3.1,Y,
45,3.3.2,Y,
46,3.3.3,Y,
47,3.4.0,Y,
48,3.4.1,Y,
49,3.5.0,Y,
50,3.5.1,Y,
51,3.5.2,Y,
52,3.5.3,Y,
53,3.5.4,Y,
54,3.6.0,Y,
55,3.6.1,Y,
56,3.6.2,Y,
57,3.6.3,Y,
58,3.6.4,Y,
59,3.6.5,Y,
60,3.6.6,Y,
61,3.6.7,Y,
62,3.6.8,Y,
63,3.7.0,Y,
64,3.7.1,Y,
65,3.7.2,Y,
66,3.7.3,Y,
