,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.1.2,Y,
3,0.1.3,Y,
4,0.1.4,Y,
5,0.1.5,Y,
6,0.1.6,Y,
7,0.1.7,Y,
8,0.2.0,Y,
9,0.2.1,Y,
10,0.2.2,Y,
11,0.2.3,Y,
12,0.2.4,Y,
13,0.3.0,Y,
14,0.3.1,Y,
15,0.3.2,Y,
16,0.3.3,Y,
17,0.3.4,Y,
18,0.3.5,Y,
19,0.3.6,Y,
20,0.3.7,Y,
21,0.3.8,Y,
22,0.3.9,Y,
23,0.4.0,Y,
24,0.5.0,Y,
25,0.5.1,Y,
26,0.5.2,Y,
27,0.6.0,Y,
28,0.6.1,Y,
29,0.6.2,Y,
30,0.7.0,Y,
31,0.7.1,Y,
32,0.8.0,Y,
33,0.8.1,Y,
34,0.9.0,Y,
35,0.9.1,Y,
36,0.9.2,Y,
37,0.9.3,Y,
38,0.9.4,Y,
39,0.9.5,Y,
40,0.9.6,Y,
41,0.9.7,Y,
42,0.9.8,Y,
43,1.0.0,Y,
44,1.0.0-next.0,Y,
45,1.0.1,Y,
46,1.0.3,Y,
47,1.0.4,Y,
48,1.0.5,Y,
49,1.1.0,Y,
50,1.1.0-next.0,Y,
51,1.1.1-next.0,Y,
52,1.1.10-next.0,Y,
53,1.1.11-next.0,Y,
54,1.1.2-next.0,Y,
55,1.1.3-next.0,Y,
56,1.1.4-next.0,Y,
57,1.1.5-next.0,Y,
58,1.1.6-next.0,Y,
59,1.1.7-next.0,Y,
60,1.1.8-next.0,Y,
61,1.1.9-next.0,Y,
62,1.2.0,Y,
63,1.2.1,Y,
64,1.3.0,Y,
65,1.3.1,Y,
