,Version,Success,Description
0,1.0.2-beta.31,N,Library loading error.
1,1.0.2-beta.32,N,Library loading error.
2,1.0.2-beta.33,N,Library loading error.
3,1.0.2-beta.34,N,Library loading error.
4,1.0.2-beta.35,N,Library loading error.
5,1.0.2-beta.36,N,Library loading error.
6,1.0.2-beta.37,N,Library loading error.
7,1.0.2-beta.38,N,Library loading error.
8,1.0.2-beta.39,N,Library loading error.
9,1.0.2-beta.40,N,Library loading error.
10,1.0.2-beta.41,N,Library loading error.
11,1.0.2-beta.42,N,Library loading error.
12,1.0.2-beta.43,N,Library loading error.
13,1.0.2-beta.44,N,Library loading error.
14,1.0.2-beta.45,N,Library loading error.
15,1.0.2-beta.46,N,Library loading error.
16,1.0.2-beta.47,N,Library loading error.
17,1.0.2-beta.48,N,Library loading error.
18,1.0.2-beta.49,N,Library loading error.
19,1.0.2-beta.50,N,Library loading error.
20,1.0.2-beta.51,N,Library loading error.
21,1.0.2-beta.52,N,Library loading error.
22,1.0.2-beta.53,N,Library loading error.
23,1.0.2-beta.54,N,Library loading error.
24,1.0.2-beta.55,N,Library loading error.
25,1.0.2-beta.56,N,Library loading error.
26,1.0.2-beta.57,N,Library loading error.
27,1.0.2-beta.58,N,Library loading error.
28,1.0.2-beta.59,N,Library loading error.
29,1.0.2-beta.60,N,Library loading error.
30,1.0.2-beta.61,N,Library loading error.
31,1.0.2-beta.62,N,Library loading error.
32,1.0.2-beta.63,N,Library loading error.
33,1.0.2-beta.64,N,Library loading error.
34,1.0.2-beta.65,N,Library loading error.
35,1.0.2-beta.66,N,Library loading error.
36,1.0.2-beta.67,N,Library loading error.
37,1.0.2-beta.68,N,Library loading error.
38,1.0.2-beta.69,N,Library loading error.
39,1.0.2-beta.70,N,Library loading error.
40,1.0.2-beta.71,N,Library loading error.
41,1.1.0-beta.1,Y,
42,1.1.0-beta.10,Y,
43,1.1.0-beta.11,Y,
44,1.1.0-beta.12,Y,
45,1.1.0-beta.13,Y,
46,1.1.0-beta.14,Y,
47,1.1.0-beta.15,Y,
48,1.1.0-beta.16,Y,
49,1.1.0-beta.17,Y,
50,1.1.0-beta.18,Y,
51,1.1.0-beta.19,Y,
52,1.1.0-beta.2,Y,
53,1.1.0-beta.20,Y,
54,1.1.0-beta.21,Y,
55,1.1.0-beta.22,Y,
56,1.1.0-beta.23,Y,
57,1.1.0-beta.24,Y,
58,1.1.0-beta.3,Y,
59,1.1.0-beta.4,Y,
60,1.1.0-beta.5,Y,
61,1.1.0-beta.6,Y,
62,1.1.0-beta.7,Y,
63,1.1.0-beta.8,Y,
64,1.1.0-beta.9,Y,
65,1.2.0-beta.1,Y,
66,1.2.0-beta.2,Y,
67,1.2.0-beta.3,Y,
68,1.2.0-beta.4,Y,
69,1.2.0-beta.5,Y,
70,1.2.0-beta.6,Y,
71,1.3.0-beta.1,Y,
72,1.3.0-beta.10,Y,
73,1.3.0-beta.2,Y,
74,1.3.0-beta.3,Y,
75,1.3.0-beta.4,Y,
76,1.3.0-beta.5,Y,
77,1.3.0-beta.6,Y,
78,1.3.0-beta.7,Y,
79,1.3.0-beta.8,Y,
80,1.3.0-beta.9,Y,
81,2.0.0,N,Library loading error.
82,2.0.1,N,Library loading error.
83,2.0.2,N,Library loading error.
84,2.0.3,N,Library loading error.
85,2.0.4,N,Library loading error.
86,2.0.5,N,Library loading error.
87,2.0.6,N,Library loading error.
88,2.1.0,N,Library loading error.
89,2.1.1,N,Library loading error.
90,2.1.10,N,Library loading error.
91,2.1.11,N,Library loading error.
92,2.1.2,N,Library loading error.
93,2.1.3,N,Library loading error.
94,2.1.4,N,Library loading error.
95,2.1.5,N,Library loading error.
96,2.1.6,N,Library loading error.
97,2.1.7,N,Library loading error.
98,2.1.8,N,Library loading error.
99,2.1.9,N,Library loading error.
100,2.2.0,N,Library loading error.
101,2.2.1,N,Library loading error.
102,2.2.10,N,Library loading error.
103,2.2.11,N,Library loading error.
104,2.2.12,N,Library loading error.
105,2.2.13,N,Library loading error.
106,2.2.14,N,Library loading error.
107,2.2.15,N,Library loading error.
108,2.2.16,N,Library loading error.
109,2.2.17,N,Library loading error.
110,2.2.18,N,Library loading error.
111,2.2.19,N,Library loading error.
112,2.2.2,N,Library loading error.
113,2.2.20,N,Library loading error.
114,2.2.21,N,Library loading error.
115,2.2.22,N,Library loading error.
116,2.2.23,N,Library loading error.
117,2.2.24,N,Library loading error.
118,2.2.25,N,Library loading error.
119,2.2.26,N,Library loading error.
120,2.2.27,N,Library loading error.
121,2.2.28,N,Library loading error.
122,2.2.29,N,Library loading error.
123,2.2.3,N,Library loading error.
124,2.2.30,N,Library loading error.
125,2.2.31,N,Library loading error.
126,2.2.32,N,Library loading error.
127,2.2.33,N,Library loading error.
128,2.2.34,N,Library loading error.
129,2.2.35,N,Library loading error.
130,2.2.36,N,Library loading error.
131,2.2.4,N,Library loading error.
132,2.2.5,N,Library loading error.
133,2.2.6,N,Library loading error.
134,2.2.7,N,Library loading error.
135,2.2.8,N,Library loading error.
136,2.2.9,N,Library loading error.
137,2.3.0,N,Library loading error.
138,2.3.1,N,Library loading error.
139,2.3.10,N,Library loading error.
140,2.3.12,N,Library loading error.
141,2.3.14,N,Library loading error.
142,2.3.2,N,Library loading error.
143,2.3.3,N,Library loading error.
144,2.3.4,N,Library loading error.
145,2.3.5,N,Library loading error.
146,2.3.6,N,Library loading error.
147,2.3.7,N,Library loading error.
148,2.3.8,N,Library loading error.
149,2.3.9,N,Library loading error.
150,2.4.0,N,Library loading error.
151,2.4.1,N,Library loading error.
152,2.4.2,N,Library loading error.
153,2.4.3,N,Library loading error.
154,2.4.4,N,Library loading error.
