,Version,Success,Description
0,0.1.1,Y,
1,0.1.2,N,Library loading error.
2,0.1.3,N,Library loading error.
3,0.1.4,N,Library loading error.
4,0.1.5,N,Library loading error.
5,0.1.6,N,Library loading error.
6,0.1.7,N,Library loading error.
7,0.1.8,N,Library loading error.
8,0.1.9,N,Library loading error.
9,0.2.0,N,Library loading error.
10,0.2.1,N,Library loading error.
11,0.2.2,N,Library loading error.
12,0.2.3,N,Library loading error.
13,0.2.4,N,Library loading error.
14,0.2.5,N,Library loading error.
15,0.2.6,N,Library loading error.
16,1.0.0,N,Library loading error.
17,1.0.0-rc.1,N,Library loading error.
18,1.0.0-rc.2,N,Library loading error.
19,1.0.0-rc.3,N,Library loading error.
20,1.0.0-rc.4,N,Library loading error.
21,1.0.0-rc.5,N,Library loading error.
22,1.0.0-rc.6,N,Library loading error.
23,1.0.0-rc.7,N,Library loading error.
24,1.0.0-rc.8,N,Library loading error.
25,1.0.0-rc.9,N,Library loading error.
26,1.0.1,N,Library loading error.
27,1.0.2,N,Library loading error.
28,1.0.3,N,Library loading error.
29,1.0.4,N,Library loading error.
30,1.0.5,N,Library loading error.
31,1.0.6,N,Library loading error.
32,1.0.7,N,Library loading error.
33,1.0.8,N,Library loading error.
34,1.0.9,N,Library loading error.
35,1.1.0,N,Library loading error.
36,1.1.1,N,Library loading error.
37,1.1.2,N,Library loading error.
38,1.1.3,N,Library loading error.
39,1.1.4,N,Library loading error.
40,1.1.5,N,Library loading error.
41,1.1.6,N,Library loading error.
42,1.2.0,N,Library loading error.
43,1.2.1,N,Library loading error.
44,1.2.2,N,Library loading error.
45,1.2.3,N,Library loading error.
46,1.2.4,N,Library loading error.
47,1.2.5,N,Library loading error.
48,1.2.6,N,Library loading error.
49,1.2.7,N,Library loading error.
50,1.2.8,N,Library loading error.
51,1.2.9,N,Library loading error.
52,1.3.0,N,Library loading error.
53,1.3.0-beta.1,N,Library loading error.
54,1.3.0-beta.2,N,Library loading error.
55,1.3.0-beta.3,N,Library loading error.
56,1.3.1,N,Library loading error.
57,1.3.2,N,Library loading error.
58,1.3.3,N,Library loading error.
59,1.3.4,N,Library loading error.
60,1.3.5,N,Library loading error.
61,1.3.6,N,Library loading error.
62,1.3.7,N,Library loading error.
63,1.4.0,N,Library loading error.
64,1.4.0-beta.1,N,Library loading error.
65,1.4.1,N,Library loading error.
66,1.4.10,N,Library loading error.
67,1.4.11,N,Library loading error.
68,1.4.12,N,Library loading error.
69,1.4.13,N,Library loading error.
70,1.4.2,N,Library loading error.
71,1.4.3,N,Library loading error.
72,1.4.4,N,Library loading error.
73,1.4.5,N,Library loading error.
74,1.4.6,N,Library loading error.
75,1.4.7,N,Library loading error.
76,1.4.8,N,Library loading error.
77,1.4.9,N,Library loading error.
78,2.0.0,N,Library loading error.
79,2.0.0-alpha.1,N,Library loading error.
80,2.0.0-alpha.2,N,Library loading error.
81,2.0.0-alpha.3,N,Library loading error.
82,2.0.0-beta.1,N,Library loading error.
83,2.0.0-rc.1,N,Library loading error.
84,2.0.1,N,Library loading error.
85,2.0.10,N,Library loading error.
86,2.0.11,N,Library loading error.
87,2.0.2,N,Library loading error.
88,2.0.3,N,Library loading error.
89,2.0.4,N,Library loading error.
90,2.0.5,N,Library loading error.
91,2.0.6,N,Library loading error.
92,2.0.7,N,Library loading error.
93,2.0.8,N,Library loading error.
94,2.0.9,N,Library loading error.
95,2.1.0,N,Library loading error.
96,2.10.0,N,Library loading error.
97,2.10.1,N,Library loading error.
98,2.11.0,N,Library loading error.
99,2.11.1,N,Library loading error.
100,2.12.0,N,Library loading error.
101,2.13.0,N,Library loading error.
102,2.13.1,N,Library loading error.
103,2.13.2,N,Library loading error.
104,2.14.0,N,Library loading error.
105,2.14.1,N,Library loading error.
106,2.15.0,N,Library loading error.
107,2.15.1,N,Library loading error.
108,2.15.10,N,Library loading error.
109,2.15.11,Y,
110,2.15.12,N,Library loading error.
111,2.15.13,N,Library loading error.
112,2.15.14,N,Library loading error.
113,2.15.2,N,Library loading error.
114,2.15.3,N,Library loading error.
115,2.15.4,N,Library loading error.
116,2.15.5,N,Library loading error.
117,2.15.6,N,Library loading error.
118,2.15.7,N,Library loading error.
119,2.15.8,N,Library loading error.
120,2.15.9,N,Library loading error.
121,2.2.0,N,Library loading error.
122,2.2.1,N,Library loading error.
123,2.2.2,N,Library loading error.
124,2.3.0,N,Library loading error.
125,2.3.1,N,Library loading error.
126,2.3.2,N,Library loading error.
127,2.3.3,N,Library loading error.
128,2.3.4,N,Library loading error.
129,2.3.5,N,Library loading error.
130,2.3.6,N,Library loading error.
131,2.3.7,N,Library loading error.
132,2.3.8,N,Library loading error.
133,2.3.9,N,Library loading error.
134,2.4.0,N,Library loading error.
135,2.4.1,N,Library loading error.
136,2.4.10,N,Library loading error.
137,2.4.11,N,Library loading error.
138,2.4.2,N,Library loading error.
139,2.4.3,N,Library loading error.
140,2.4.4,N,Library loading error.
141,2.4.5,N,Library loading error.
142,2.4.6,N,Library loading error.
143,2.4.7,N,Library loading error.
144,2.4.8,N,Library loading error.
145,2.4.9,N,Library loading error.
146,2.5.0,N,Library loading error.
147,2.5.1,N,Library loading error.
148,2.5.2,N,Library loading error.
149,2.5.3,N,Library loading error.
150,2.5.4,N,Library loading error.
151,2.6.0,N,Library loading error.
152,2.6.1,N,Library loading error.
153,2.6.2,N,Library loading error.
154,2.6.3,N,Library loading error.
155,2.7.0,N,Library loading error.
156,2.7.1,N,Library loading error.
157,2.7.2,N,Library loading error.
158,2.8.0,N,Library loading error.
159,2.8.1,N,Library loading error.
160,2.8.2,N,Library loading error.
161,2.9.0,N,Library loading error.
162,2.9.1,N,Library loading error.
163,2.9.2,N,Library loading error.
