,Version,Success,Description
0,0.0.1,Y,
1,0.0.2,Y,
2,0.0.3,Y,
3,0.0.4,Y,
4,0.0.5,Y,
5,0.0.6,Y,
6,0.0.7,Y,
7,0.1.0,Y,
8,0.1.1,Y,
9,0.1.2,Y,
10,0.2.0,Y,
11,0.2.1,Y,
12,0.2.2,Y,
13,0.3.0,Y,
14,0.3.1,Y,
15,0.3.2,Y,
16,0.3.3,Y,
17,0.3.4,Y,
18,0.4.0,Y,
19,0.5.0,Y,
20,0.5.1,Y,
21,0.5.2,Y,
22,0.5.3,Y,
23,0.5.4,Y,
24,0.5.5,Y,
25,0.5.6,Y,
26,0.5.7,Y,
27,0.5.8,Y,
28,0.5.9,Y,
29,0.6.0,Y,
30,0.6.1,Y,
31,0.6.2,Y,
32,0.6.3,Y,
33,0.6.4,Y,
34,0.6.5,Y,
35,0.7.0,Y,
36,0.7.1,Y,
37,1.0.0,Y,
38,1.0.1,Y,
39,1.0.2,Y,
40,1.0.3,Y,
41,1.0.4,Y,
42,1.0.5,Y,
43,1.0.6,Y,
44,1.0.7,Y,
45,1.1.0,Y,
46,1.1.1,Y,
47,1.1.2,Y,
48,1.1.3,Y,
49,1.10.0,Y,
50,1.10.1,Y,
51,1.10.2,Y,
52,1.10.3,Y,
53,1.2.0,Y,
54,1.2.1,Y,
55,1.2.2,Y,
56,1.2.3,Y,
57,1.2.4,Y,
58,1.2.5,Y,
59,1.2.6,Y,
60,1.3.0,Y,
61,1.3.1,Y,
62,1.3.2,Y,
63,1.4.0,Y,
64,1.4.1,Y,
65,1.4.2,Y,
66,1.4.3,Y,
67,1.4.4,Y,
68,1.5.0,Y,
69,1.5.1,Y,
70,1.5.2,Y,
71,1.5.3,Y,
72,1.5.4,Y,
73,1.5.5,Y,
74,1.5.6,Y,
75,1.5.7,Y,
76,1.5.8,Y,
77,1.6.0,Y,
78,1.6.1,Y,
79,1.6.2,Y,
80,1.6.3,Y,
81,1.7.0,Y,
82,1.7.1,Y,
83,1.7.2,Y,
84,1.8.0,Y,
85,1.8.1,Y,
86,1.9.0,Y,
87,1.9.1,Y,
88,1.9.2,Y,
89,2.0.0,Y,
90,2.0.1,Y,
91,2.0.2,Y,
92,2.1.0,Y,
93,2.10.0,Y,
94,2.11.0,Y,
95,2.11.1,Y,
96,2.11.2,Y,
97,2.11.3,Y,
98,2.2.0,Y,
99,2.2.1,Y,
100,2.2.2,Y,
101,2.3.0,Y,
102,2.3.1,Y,
103,2.3.2,Y,
104,2.3.3,Y,
105,2.4.0,Y,
106,2.4.1,Y,
107,2.5.0,Y,
108,2.6.0,Y,
109,2.6.1,Y,
110,2.6.2,Y,
111,2.7.0,Y,
112,2.7.1,Y,
113,2.7.2,Y,
114,2.7.3,Y,
115,2.7.4,Y,
116,2.8.0,Y,
117,2.8.1,Y,
118,2.8.2,Y,
119,2.8.3,Y,
120,2.9.0,Y,
121,2.9.1,Y,
122,3.0.0,Y,
123,3.0.1,Y,
