,Version,Success,Description
0,4.0.49,Y,
1,5.1.2,N,Library loading error.
2,5.1.3,N,Library loading error.
3,5.1.4,N,Library loading error.
4,5.2.0,N,Library loading error.
5,5.3.0,N,Library loading error.
6,5.3.1,N,Library loading error.
7,5.4.0,N,Library loading error.
8,5.4.1,N,Library loading error.
9,5.4.2,N,Library loading error.
10,5.4.3,N,Library loading error.
11,5.4.4,N,Library loading error.
12,5.4.5,N,Library loading error.
13,5.4.6,N,Library loading error.
14,5.4.7,N,Library loading error.
15,5.5.0,N,Library loading error.
16,5.5.1,N,Library loading error.
17,5.5.2,N,Library loading error.
18,5.5.3,N,Library loading error.
19,5.5.4,N,Library loading error.
20,5.6.0,N,Library loading error.
21,5.6.1,N,Library loading error.
22,5.6.2,N,Library loading error.
23,5.6.3,N,Library loading error.
24,5.6.4,N,Library loading error.
25,5.6.5,N,Library loading error.
26,5.6.6,N,Library loading error.
27,5.6.7,N,Library loading error.
28,5.6.8,N,Library loading error.
29,5.6.9,N,Library loading error.
30,5.7.0,N,Library loading error.
31,5.7.1,N,Library loading error.
32,5.7.2,N,Library loading error.
33,6.0.0,N,Library loading error.
34,6.0.0-beta-exports.0,N,Library loading error.
35,6.0.0-beta-exports.1,N,Library loading error.
36,6.0.0-beta-exports.10,N,Library loading error.
37,6.0.0-beta-exports.11,N,Library loading error.
38,6.0.0-beta-exports.12,N,Library loading error.
39,6.0.0-beta-exports.13,N,Library loading error.
40,6.0.0-beta-exports.14,N,Library loading error.
41,6.0.0-beta-exports.15,N,Library loading error.
42,6.0.0-beta-exports.16,N,Library loading error.
43,6.0.0-beta-exports.2,N,Library loading error.
44,6.0.0-beta-exports.3,N,Library loading error.
45,6.0.0-beta-exports.4,N,Library loading error.
46,6.0.0-beta-exports.5,N,Library loading error.
47,6.0.0-beta-exports.6,N,Library loading error.
48,6.0.0-beta-exports.7,N,Library loading error.
49,6.0.0-beta-exports.8,N,Library loading error.
50,6.0.0-beta-exports.9,N,Library loading error.
51,6.0.0-beta.1,N,Library loading error.
52,6.0.0-beta.2,N,Library loading error.
53,6.0.0-beta.3,N,Library loading error.
54,6.0.0-beta.4,N,Library loading error.
55,6.0.0-beta.5,N,Library loading error.
56,6.0.0-beta.6,N,Library loading error.
57,6.0.0-beta.7,N,Library loading error.
58,6.0.0-beta.8,N,Library loading error.
59,6.0.0-beta.9,N,Library loading error.
60,6.0.1,N,Library loading error.
61,6.0.2,N,Library loading error.
62,6.0.3,N,Library loading error.
63,6.0.4,N,Library loading error.
64,6.0.5,N,Library loading error.
65,6.0.6,N,Library loading error.
66,6.0.7,N,Library loading error.
67,6.0.8,N,Library loading error.
68,6.1.0,N,Library loading error.
69,6.2.0,N,Library loading error.
70,6.2.1,N,Library loading error.
71,6.2.2,N,Library loading error.
72,6.2.3,N,Library loading error.
73,6.3.0,N,Library loading error.
74,6.4.0,N,Library loading error.
75,6.4.1,N,Library loading error.
76,6.4.2,N,Library loading error.
77,6.5.0,N,Library loading error.
78,6.5.1,N,Library loading error.
79,6.6.0,N,Library loading error.
80,6.6.1,N,Library loading error.
81,6.6.2,N,Library loading error.
82,6.6.3,N,Library loading error.
83,6.6.4,N,Library loading error.
84,6.6.5,N,Library loading error.
85,6.6.6,N,Library loading error.
86,6.6.7,N,Library loading error.
87,6.7.0,N,Library loading error.
88,6.7.1,N,Library loading error.
89,6.8.0,N,Library loading error.
90,6.8.1,N,Library loading error.
91,6.9.0,N,Library loading error.
92,6.9.1,N,Library loading error.
