,Version,Success,Description
0,0.9.35,Y,
1,1.0.13,Y,
2,1.1.0,Y,
3,1.2.0,Y,
4,1.3.0,Y,
5,1.3.7,Y,
6,1.4.0,Y,
7,1.4.10,Y,
8,1.4.11,Y,
9,1.4.12,Y,
10,1.4.13,Y,
11,1.4.4,Y,
12,1.4.5,Y,
13,1.4.6,Y,
14,1.4.7,Y,
15,1.4.8,Y,
16,1.4.9,Y,
17,1.5.0,Y,
18,1.6.0,Y,
19,1.6.0-rc.1,Y,
20,1.6.1,Y,
21,1.6.2,Y,
22,1.6.3,Y,
23,1.6.4,Y,
24,1.6.5,Y,
25,1.6.6,Y,
26,1.6.7,Y,
27,1.7.0,Y,
28,1.7.1,Y,
29,1.7.10,Y,
30,1.7.11,Y,
31,1.7.12,Y,
32,1.7.13,Y,
33,1.7.14,Y,
34,1.7.15,Y,
35,1.7.16,Y,
36,1.7.17,Y,
37,1.7.18,Y,
38,1.7.19,Y,
39,1.7.2,Y,
40,1.7.20,Y,
41,1.7.21,Y,
42,1.7.22,Y,
43,1.7.3,Y,
44,1.7.4,Y,
45,1.7.5,Y,
46,1.7.6,Y,
47,1.7.7,Y,
48,1.7.8,Y,
49,1.7.9,Y,
50,2.0.0,Y,
51,2.0.0-beta.1,Y,
52,2.0.0-beta.3,Y,
53,2.0.0-beta.4,Y,
54,2.0.0-beta.6,Y,
55,2.0.0-beta.7,Y,
56,2.0.0-rc.1,Y,
57,2.0.0-rc.2,Y,
58,2.0.0-rc.3,Y,
59,2.0.0-rc.4,Y,
60,2.0.1,Y,
61,2.0.2,Y,
62,2.0.3,Y,
63,2.1.0,Y,
64,2.2.0,Y,
65,2.2.1,Y,
66,2.2.2,Y,
67,2.2.3,Y,
68,2.2.4,Y,
69,2.3.0,Y,
70,2.3.1,Y,
71,2.3.2,Y,
72,2.3.3,Y,
73,2.3.4,Y,
74,2.3.5,Y,
75,2.3.6,Y,
76,2.4.0,Y,
77,2.4.1,Y,
78,2.4.2,Y,
79,2.4.2-b,Y,
80,2.4.3,Y,
81,2.4.4,Y,
82,2.4.5,Y,
83,2.4.6,Y,
84,2.5.0,Y,
85,2.6.0,Y,
86,2.7.0,Y,
87,3.0.0,Y,
88,3.1.0,Y,
89,3.2.0,Y,
90,3.3.2,Y,
91,3.4.0,Y,
92,3.5.0,Y,
93,3.6.0,Y,
94,3.6.1,Y,
95,3.6.2,Y,
96,3.6.3,Y,
97,3.6.4,Y,
98,3.6.5,Y,
99,3.6.6,Y,
100,4.0.0,Y,
101,4.0.0-beta.1,Y,
102,4.0.0-beta.10,Y,
103,4.0.0-beta.11,Y,
104,4.0.0-beta.12,Y,
105,4.0.0-beta.2,Y,
106,4.0.0-beta.3,Y,
107,4.0.0-beta.4,Y,
108,4.0.0-beta.5,Y,
109,4.0.0-beta.6,Y,
110,4.0.0-beta.7,Y,
111,4.0.0-beta.8,Y,
112,4.0.0-beta.9,Y,
113,4.0.0-rc.1,Y,
114,4.1.0,Y,
115,4.2.0,Y,
116,4.3.0,Y,
117,4.3.1,Y,
118,4.4.0,Y,
119,4.5.0,Y,
120,451,Y,
121,460,Y,
122,5.2.3,Y,
123,5.2.4,Y,
124,5.3.0,Y,
125,5.3.1,Y,
126,500,Y,
127,510,Y,
128,520,Y,
129,521,Y,
130,6.0.0-rc.1,Y,
