,Version,Success,Description
0,0.0.10,Y,
1,0.0.11,Y,
2,0.0.12,Y,
3,0.0.13,Y,
4,0.0.14,Y,
5,0.0.15,Y,
6,0.0.16,Y,
7,0.0.17,Y,
8,0.0.21,Y,
9,0.0.22,Y,
10,0.0.4,Y,
11,0.0.5,Y,
12,0.0.6,Y,
13,0.0.7,Y,
14,0.0.8,Y,
15,0.0.9,Y,
16,0.1.0,Y,
17,0.1.11,Y,
18,0.1.12,Y,
19,0.1.13,Y,
20,0.1.14,Y,
21,0.1.15,Y,
22,0.1.17,Y,
23,1.0.0,Y,
24,1.0.0-rc1,Y,
25,1.0.1,Y,
26,1.0.2,Y,
27,1.0.3,Y,
28,1.1.0,Y,
29,2.0.0,Y,
30,2.0.0-rc2,Y,
31,2.0.0-rc3,Y,
32,2.0.0-rc4,Y,
33,2.0.1,Y,
34,2.0.2,Y,
35,2.0.3,Y,
36,2.0.3-schema-support-1,Y,
37,2.0.4,Y,
38,2.0.5,Y,
39,2.0.6,Y,
40,2.0.7,Y,
41,2.1.0,Y,
42,2.2.0,Y,
43,2.2.1,Y,
44,2.2.2,Y,
45,2.3.0,Y,
46,2.3.1,Y,
47,2.3.2,Y,
48,windows3202017,Y,
