,Version,Success,Description
0,4.3.10,N,Library loading error.
1,4.3.11,N,Library loading error.
2,4.4.0,N,Library loading error.
3,4.4.1,N,Library loading error.
4,4.4.3,N,Library loading error.
5,4.5.0,N,Library loading error.
6,4.5.1,N,Library loading error.
7,4.5.10,N,Library loading error.
8,4.5.11,N,Library loading error.
9,4.5.12,N,Library loading error.
10,4.5.15,N,Library loading error.
11,4.5.16,N,Library loading error.
12,4.5.17,N,Library loading error.
13,4.5.2,N,Library loading error.
14,4.5.3,N,Library loading error.
15,4.5.5,N,Library loading error.
16,4.5.7,N,Library loading error.
17,4.5.8,N,Library loading error.
18,4.5.9,N,Library loading error.
19,5.0.0,N,Library loading error.
20,5.0.0-beta.0,N,Library loading error.
21,5.0.0-beta.1,N,Library loading error.
22,5.0.0-pre.0,N,Library loading error.
23,5.0.0-pre.1,N,Library loading error.
24,5.0.0-pre.10,N,Library loading error.
25,5.0.0-pre.11,N,Library loading error.
26,5.0.0-pre.14,N,Library loading error.
27,5.0.0-pre.15,N,Library loading error.
28,5.0.0-pre.16,N,Library loading error.
29,5.0.0-pre.17,N,Library loading error.
30,5.0.0-pre.18,N,Library loading error.
31,5.0.0-pre.19,N,Library loading error.
32,5.0.0-pre.2,N,Library loading error.
33,5.0.0-pre.20,N,Library loading error.
34,5.0.0-pre.21,N,Library loading error.
35,5.0.0-pre.22,N,Library loading error.
36,5.0.0-pre.23,N,Library loading error.
37,5.0.0-pre.24,N,Library loading error.
38,5.0.0-pre.25,N,Library loading error.
39,5.0.0-pre.26,N,Library loading error.
40,5.0.0-pre.27,N,Library loading error.
41,5.0.0-pre.28,N,Library loading error.
42,5.0.0-pre.29,N,Library loading error.
43,5.0.0-pre.3,N,Library loading error.
44,5.0.0-pre.30,N,Library loading error.
45,5.0.0-pre.31,N,Library loading error.
46,5.0.0-pre.32,N,Library loading error.
47,5.0.0-pre.33,N,Library loading error.
48,5.0.0-pre.34,N,Library loading error.
49,5.0.0-pre.35,N,Library loading error.
50,5.0.0-pre.36,N,Library loading error.
51,5.0.0-pre.37,N,Library loading error.
52,5.0.0-pre.38,N,Library loading error.
53,5.0.0-pre.4,N,Library loading error.
54,5.0.0-pre.5,N,Library loading error.
55,5.0.0-pre.6,N,Library loading error.
56,5.0.0-pre.9,N,Library loading error.
57,5.0.1,N,Library loading error.
58,5.0.10,N,Library loading error.
59,5.0.11,N,Library loading error.
60,5.0.12,N,Library loading error.
61,5.0.3,N,Library loading error.
62,5.0.4,N,Library loading error.
63,5.0.5,N,Library loading error.
64,5.0.6,N,Library loading error.
65,5.0.7,N,Library loading error.
66,5.0.8,N,Library loading error.
67,5.0.9,N,Library loading error.
