,Version,Success,Description
0,2.1.2,Y,
1,3.1.1,N,Library loading error.
2,3.2.0,Y,
3,3.3.0,Y,
4,3.3.1,Y,
5,3.4.0,Y,
6,3.4.1,Y,
7,3.5.0,Y,
8,3.6.0,Y,
9,3.6.1,Y,
10,3.6.2,Y,
11,3.6.3,Y,
12,3.6.4,Y,
13,3.7.0,Y,
14,5.1.1,Y,
15,5.1.2,Y,
16,5.1.3,Y,
17,5.10.0,Y,
18,5.10.1,Y,
19,5.11.0,Y,
20,5.11.1,Y,
21,5.11.10,Y,
22,5.11.10-beta,Y,
23,5.11.2,Y,
24,5.11.3,Y,
25,5.11.4,Y,
26,5.11.5,Y,
27,5.11.6,Y,
28,5.11.7,Y,
29,5.11.8,Y,
30,5.11.9,Y,
31,5.12.0,Y,
32,5.12.0-alpha,Y,
33,5.13.0,Y,
34,5.14.0,Y,
35,5.14.0-beta1,Y,
36,5.14.0-beta2,Y,
37,5.14.0-beta3,Y,
38,5.14.1,Y,
39,5.14.2,Y,
40,5.14.2-rc1,Y,
41,5.14.3,Y,
42,5.14.4,Y,
43,5.14.5,Y,
44,5.15.0,Y,
45,5.15.1,Y,
46,5.15.2,Y,
47,5.15.3,Y,
48,5.15.4,Y,
49,5.15.5,Y,
50,5.15.6,Y,
51,5.15.7,Y,
52,5.16.0,Y,
53,5.16.0-RC1,Y,
54,5.16.0-RC2,Y,
55,5.16.0-RC3,Y,
56,5.16.0-RC4,Y,
57,5.16.0-alpha.0,Y,
58,5.16.0-alpha.1,Y,
59,5.16.0-alpha.10,Y,
60,5.16.0-alpha.11,Y,
61,5.16.0-alpha.12,Y,
62,5.16.0-alpha.13,Y,
63,5.16.0-alpha.14,Y,
64,5.16.0-alpha.15,Y,
65,5.16.0-alpha.16,Y,
66,5.16.0-alpha.17,Y,
67,5.16.0-alpha.2,Y,
68,5.16.0-alpha.3,Y,
69,5.16.0-alpha.4,Y,
70,5.16.0-alpha.5,Y,
71,5.16.0-alpha.6,Y,
72,5.16.0-alpha.7,Y,
73,5.16.0-alpha.8,Y,
74,5.16.0-alpha.9,Y,
75,5.16.0-beta.0,Y,
76,5.16.1,Y,
77,5.16.2,Y,
78,5.2.0,Y,
79,5.2.0-22,Y,
80,5.2.1,Y,
81,5.2.2,Y,
82,5.3.0,Y,
83,5.3.0-10,Y,
84,5.3.0-11,Y,
85,5.3.1,Y,
86,5.3.2,Y,
87,5.4.0,Y,
88,5.4.1,Y,
89,5.5.0,Y,
90,5.5.1,Y,
91,5.5.2,Y,
92,5.6.0,Y,
93,5.7.0,Y,
94,5.7.1,Y,
95,5.8.0,Y,
96,5.8.0-beta1,Y,
97,5.9.0,Y,
