,Version,Success,Description
0,0.1.1,Y,
1,0.1.2,Y,
2,0.1.3,Y,
3,0.1.4,Y,
4,0.2.0,Y,
5,0.2.1,Y,
6,0.3.0,Y,
7,0.4.0,Y,
8,0.5.0,Y,
9,0.5.1,Y,
10,0.6.0,Y,
11,0.7.0,Y,
12,0.7.1,Y,
13,0.7.2,Y,
14,0.7.3,Y,
15,0.7.4,Y,
16,0.7.5,Y,
17,0.8.0,Y,
18,0.9.0,Y,
19,1.0.0,Y,
20,1.0.0-rc1,Y,
21,1.0.0-rc2,Y,
22,1.0.0-rc3,Y,
23,1.0.1,Y,
24,1.0.2,Y,
25,1.0.3,Y,
26,1.1.0,Y,
27,1.1.1,Y,
28,1.1.2,Y,
29,1.1.3,Y,
30,1.1.4,Y,
31,1.2.0,Y,
32,1.3.0,Y,
33,1.4.0,Y,
34,1.4.1,Y,
35,1.4.2,Y,
36,1.4.3,Y,
37,1.4.4,Y,
38,1.4.5,Y,
39,1.5.0,Y,
40,1.5.1,Y,
41,1.6.0,Y,
42,1.6.1,Y,
43,1.7.0,Y,
44,1.8.0,Y,
45,1.8.1,Y,
46,1.8.2,Y,
47,1.8.4,Y,
48,1.8.5,Y,
49,1.8.6,Y,
50,2.0.0,Y,
51,2.0.1,Y,
52,2.0.3,Y,
53,2.0.5,Y,
54,2.0.6,Y,
55,2.1.0,Y,
56,2.1.1,Y,
57,2.1.2,Y,
58,2.1.3,Y,
59,2.1.4,Y,
60,2.1.5,Y,
61,3.0.7,Y,
62,3.1.0,Y,
63,3.1.0-dev.0,Y,
64,3.1.0-dev.1,Y,
65,3.1.0-dev.2,Y,
66,3.1.0-dev.3,Y,
67,3.1.0-dev.4,Y,
68,3.1.0-dev.5,Y,
69,3.1.1,Y,
70,3.1.2,Y,
71,3.1.3,Y,
72,3.2.0,Y,
73,3.2.0-dev.0,Y,
74,3.3.0,Y,
75,3.3.1,Y,
76,3.3.2,Y,
77,3.3.3,Y,
78,3.3.4,Y,
79,3.3.5,Y,
80,3.3.6,Y,
81,3.4.0,Y,
82,3.4.1,Y,
83,3.4.2,Y,
84,4.0.0,Y,
85,4.0.1,Y,
86,4.1.0,Y,
87,4.2.0,Y,
88,4.2.1,Y,
