,Version,Success,Description
0,0.1.0,Y,
1,0.2.0,Y,
2,0.3.0,Y,
3,0.4.0,Y,
4,0.5.0,Y,
5,0.5.1,Y,
6,0.6.0,Y,
7,0.6.1,Y,
8,0.6.2,Y,
9,0.6.3,Y,
10,0.6.4,Y,
11,0.6.5,Y,
12,0.7.0,Y,
13,0.7.1,Y,
14,0.8.0,Y,
15,0.8.1,Y,
16,0.8.2,Y,
17,0.8.3,Y,
18,0.8.4,Y,
19,0.8.5,Y,
20,0.8.6,Y,
21,1.0.0,Y,
22,1.1.0,Y,
23,1.2.0,Y,
24,1.3.0,Y,
25,1.4.0,Y,
26,2.0.0,Y,
27,2.1.0,Y,
28,2.2.0,Y,
29,2.3.0,Y,
30,2.3.1,Y,
31,2.4.0,Y,
32,2.5.0,Y,
33,2.6.0,Y,
34,2.7.0,Y,
35,2.8.0,Y,
36,2.9.0,Y,
37,3.0.0,Y,
38,3.1.0,Y,
39,3.2.0,Y,
40,3.2.1,Y,
41,3.3.0,Y,
42,3.4.0,Y,
43,3.4.1,Y,
44,3.4.2,Y,
45,3.4.3,Y,
46,3.4.4,Y,
47,3.4.5,Y,
48,3.4.6,Y,
49,3.5.0,Y,
50,4.1.0,Y,
51,4.1.1,Y,
52,4.1.2,Y,
53,4.1.3,Y,
54,4.1.4,Y,
55,4.1.5,Y,
56,6.10.0,Y,
57,6.10.1,Y,
58,6.11.0,Y,
59,6.11.1,Y,
60,6.11.2,Y,
61,6.12.0,Y,
62,6.13.0,Y,
63,6.13.1,Y,
64,6.13.2,Y,
65,6.14.0,Y,
66,6.15.0,Y,
67,6.2.0,Y,
68,6.3.0,Y,
69,6.4.0,Y,
70,6.4.1,Y,
71,6.4.2,Y,
72,6.4.3,Y,
73,6.4.4,Y,
74,6.4.5,Y,
75,6.4.6,Y,
76,6.5.0,Y,
77,6.5.1,Y,
78,6.6.0,Y,
79,6.6.1,Y,
80,6.6.2,Y,
81,6.6.3,Y,
82,6.6.4,Y,
83,6.6.5,Y,
84,6.6.6,Y,
85,6.7.0,Y,
86,6.8.0,Y,
87,6.9.0,Y,
88,6.9.1,Y,
89,6.9.2,Y,
90,6.9.3,Y,
91,6.9.4,Y,
92,6.9.5,Y,
93,7.0.0,Y,
94,7.0.1,Y,
95,7.0.2,Y,
96,7.0.3,Y,
97,7.1.0,Y,
