,Version,Success,Description
0,1.5.0,Y,
1,1.5.1,Y,
2,1.5.2,Y,
3,1.6.0,Y,
4,1.6.2,Y,
5,1.6.3,Y,
6,1.6.4,Y,
7,1.6.5,Y,
8,1.6.7,Y,
9,1.6.8,Y,
10,1.6.9,Y,
11,1.7.0,Y,
12,1.7.1,Y,
13,1.7.2,Y,
14,1.7.2-1,Y,
15,1.7.2-2,Y,
16,1.7.3,Y,
17,1.7.5,Y,
18,1.7.5-1,Y,
19,1.7.5-2,Y,
20,1.7.6,Y,
21,1.7.7,Y,
22,1.7.8,Y,
23,1.7.9,Y,
24,1.8.0,Y,
25,1.8.1,Y,
26,1.8.2,Y,
27,1.8.2-1,Y,
28,1.8.3,Y,
29,1.8.4,Y,
30,1.8.5,Y,
31,1.8.6,Y,
32,1.8.7,Y,
33,1.8.8,Y,
34,1.8.9,N,Library loading error.
35,1.9.0,N,Library loading error.
36,1.9.1,N,Library loading error.
37,2.0.0,Y,
38,2.0.0-beta.1,N,Library loading error.
39,2.0.0-rc.1,N,Library loading error.
40,2.0.0-rc.2,N,Library loading error.
41,2.0.0-rc.3,N,Library loading error.
42,2.0.0-rc.4,Y,
43,2.0.0-rc.5,Y,
44,2.0.0-rc.6,Y,
45,2.0.0-rc.7,Y,
46,2.0.0-rc.8,Y,
47,2.0.1,Y,
48,2.0.2,Y,
49,2.0.3,Y,
50,2.0.3-1,Y,
51,2.0.3-2,Y,
52,2.0.4,Y,
53,2.0.5,Y,
54,2.0.6,Y,
55,2.0.7,Y,
56,2.0.8,Y,
57,2.0.9,Y,
58,2.1.0,Y,
59,2.1.1,Y,
60,2.2.0,Y,
61,2.2.1,Y,
62,2.2.2,Y,
63,2.2.3,Y,
64,2.2.4,Y,
65,2.2.5,Y,
66,2.2.6,Y,
67,2.2.7,Y,
68,2.2.8,Y,
69,2.2.9,Y,
70,2.3.0,Y,
71,2.3.0-1,Y,
72,2.3.0-2,Y,
73,2.3.0-3,Y,
74,2.3.1,Y,
75,2.3.1-1,Y,
76,2.3.2,Y,
77,2.3.3,Y,
78,2.3.3-1,Y,
79,2.3.4,Y,
80,2.3.5,Y,
81,2.3.6,Y,
82,2.3.7,Y,
83,2.4.0,Y,
84,2.4.1,Y,
85,2.4.10,Y,
86,2.4.2,Y,
87,2.4.3,Y,
88,2.4.4,Y,
89,2.4.5,Y,
90,2.4.6,Y,
91,2.4.7,Y,
92,2.4.8,Y,
93,2.4.9,Y,
94,2.5.0,Y,
95,2.5.1,Y,
96,2.5.2,Y,
97,2.5.3,Y,
98,2.5.4,Y,
99,2.5.5,Y,
100,2.5.6,Y,
101,2.5.7,Y,
102,2.5.8,Y,
103,2.5.9,Y,
104,2.6.0,Y,
105,2.6.1,Y,
106,2.6.2,Y,
107,2.6.3,Y,
108,3.0.0,Y,
109,3.0.1,Y,
110,3.0.2,Y,
111,3.0.3,Y,
112,3.0.4,Y,
113,3.0.4-1,Y,
114,3.0.5,Y,
115,3.0.5-1,Y,
116,3.0.6,Y,
117,3.0.7,Y,
118,3.1.0,Y,
119,3.1.1,Y,
120,3.1.2,Y,
121,3.1.3,Y,
122,3.1.4,Y,
123,3.1.5,Y,
124,4.0.0,Y,
125,4.0.1,Y,
126,4.0.2,Y,
127,4.0.3,Y,
128,4.0.4,Y,
129,4.0.5,Y,
130,4.0.6,Y,
131,4.0.7,Y,
132,4.0.8,Y,
133,4.1.0,Y,
134,4.1.1,Y,
135,4.1.2,Y,
136,4.1.3,Y,
137,4.1.4,Y,
138,4.2.0,Y,
139,4.2.1,Y,
140,4.2.2,Y,
141,4.2.3,Y,
142,4.2.4,Y,
143,4.3.0,Y,
144,4.3.1,Y,
145,4.3.2,Y,
146,4.4.0,Y,
147,4.4.1,Y,
148,4.4.2,Y,
149,4.4.3,Y,
150,4.4.4,Y,
151,4.4.5,Y,
152,4.4.6,Y,
153,4.4.7,Y,
154,4.5.0,Y,
155,4.5.1,Y,
156,4.5.2,Y,
157,4.5.3,Y,
158,4.5.4,Y,
159,4.5.5,Y,
160,4.5.6,Y,
161,4.5.7,Y,
162,4.6.0,Y,
163,4.6.1,Y,
164,4.6.10,Y,
165,4.6.11,Y,
166,4.6.13,Y,
167,4.6.2,Y,
168,4.6.3,Y,
169,4.6.5,Y,
170,4.6.6,Y,
171,4.6.7,Y,
172,4.6.8,Y,
173,4.6.9,Y,
